Entity,Year,Number of Internet Users by Country (World Bank (2015))
Afghanistan,2002,22202.806
Afghanistan,2003,23116.142
Afghanistan,2005,298330.26
Afghanistan,2006,538256.922
Afghanistan,2007,500635.617
Afghanistan,2008,486579.546
Afghanistan,2009,997494.732
Afghanistan,2010,1135912.48
Afghanistan,2011,1164219.2
Afghanistan,2012,1491226.8
Afghanistan,2013,1680342.07
Albania,1998,3128.53
Albania,1999,3108.778
Albania,2000,3089.027
Albania,2001,9180.519
Albania,2002,12204.04
Albania,2003,30396.16
Albania,2004,72646.536
Albania,2005,180689.22
Albania,2006,287284.512
Albania,2007,445502.55
Albania,2008,704408.046
Albania,2009,1206137.828
Albania,2010,1310859.45
Albania,2011,1307151
Albania,2012,1421239.61
Albania,2013,1584859.202
Algeria,1999,62552.59
Algeria,2000,158597.245
Algeria,2001,192901.188
Algeria,2002,521167.632
Algeria,2003,726075.724
Algeria,2004,1539221.87
Algeria,2005,1969732.374
Algeria,2006,2553533.836
Algeria,2007,3334219.085
Algeria,2008,3643988.454
Algeria,2009,4074929.824
Algeria,2010,4632852.5
Algeria,2011,4720370.25
Algeria,2012,5387438.7
Algeria,2013,5959645.488
Andorra,1996,964.11
Andorra,1997,1986.79
Andorra,1998,4402.131
Andorra,1999,4870.384
Andorra,2000,6866.895
Andorra,2002,8095.207
Andorra,2003,10211.805
Andorra,2004,21188.08
Andorra,2005,30539.848
Andorra,2006,40037.853
Andorra,2007,57636.028
Andorra,2008,55978.3
Andorra,2009,61747.315
Andorra,2010,63104.67
Andorra,2011,63070.65
Andorra,2012,63471.6
Andorra,2013,68444.352
Angola,1999,13510.616
Angola,2000,13924.93
Angola,2001,14385.283
Angola,2002,44659.722
Angola,2003,61684.3
Angola,2004,79883.575
Angola,2005,181988.136
Angola,2006,325325.771
Angola,2007,566810.368
Angola,2008,842464.286
Angola,2009,1135599
Angola,2010,1954912.4
Angola,2011,2018049
Angola,2012,3081437.7
Angola,2013,3628703.442
Antigua and Barbuda,1995,1503.678
Antigua and Barbuda,1996,2037.105
Antigua and Barbuda,1997,2528.12
Antigua and Barbuda,1998,3042.446
Antigua and Barbuda,1999,4030.173
Antigua and Barbuda,2000,5047.12
Antigua and Barbuda,2001,7028.508
Antigua and Barbuda,2002,10003.75
Antigua and Barbuda,2003,13915.488
Antigua and Barbuda,2004,19857.474
Antigua and Barbuda,2005,22292.55
Antigua and Barbuda,2006,25040.1
Antigua and Barbuda,2007,28694.98
Antigua and Barbuda,2008,32432.62
Antigua and Barbuda,2009,36246
Antigua and Barbuda,2010,40999.51
Antigua and Barbuda,2011,41431.44
Antigua and Barbuda,2012,47206.57
Antigua and Barbuda,2013,53091.15
Argentina,1995,34833.168
Argentina,1996,35264.07
Argentina,1997,107072.334
Argentina,1998,288874.736
Argentina,1999,1204980.414
Argentina,2000,2583214.69
Argentina,2001,3652789.378
Argentina,2002,4101402.405
Argentina,2003,4518478.909
Argentina,2004,6129404.64
Argentina,2005,6840670.158
Argentina,2006,8148684.907
Argentina,2007,10186821.46
Argentina,2008,11148979.32
Argentina,2009,13608037.94
Argentina,2010,18168400.8
Argentina,2011,18327932.1
Argentina,2012,20954332.77
Argentina,2013,23127005.27
Armenia,1995,3223.173
Armenia,1996,3173.425
Armenia,1997,3137.652
Armenia,1998,3112.958
Armenia,1999,30938.2
Armenia,2000,39989.274
Armenia,2001,48959.36
Armenia,2002,60940.04
Armenia,2003,139657.472
Armenia,2004,148256.948
Armenia,2005,159790.601
Armenia,2006,168163.016
Armenia,2007,179392.92
Armenia,2008,184604.256
Armenia,2009,454127.562
Armenia,2010,740874
Armenia,2011,741030
Armenia,2012,950105.92
Armenia,2013,1166813.872
Australia,1990,102390.6
Australia,1991,190124
Australia,1992,314910
Australia,1993,353340
Australia,1994,392810
Australia,1995,506016
Australia,1996,604263
Australia,1997,3036788
Australia,1998,5762988
Australia,1999,7721808
Australia,2000,8963604
