Entity,Year,Human Development Index (without GDP metric)
Afghanistan,1950,0.02
Afghanistan,1955,0.02
Afghanistan,1960,0.02
Afghanistan,1965,0.04
Afghanistan,1970,0.05
Afghanistan,1975,0.05
Afghanistan,1980,0.06
Afghanistan,1985,0.06
Afghanistan,1990,0.07
Afghanistan,1995,0.08
Afghanistan,2000,0.07
Afghanistan,2005,0.11
Afghanistan,2007,0.11
Afghanistan,2010,0.12
Afghanistan,2015,0.19
Albania,1913,0.03
Albania,1925,0.04
Albania,1929,0.04
Albania,1933,0.04
Albania,1938,0.07
Albania,1950,0.17
Albania,1955,0.19
Albania,1960,0.21
Albania,1965,0.24
Albania,1970,0.29
Albania,1975,0.32
Albania,1980,0.32
Albania,1985,0.32
Albania,1990,0.33
Albania,1995,0.33
Albania,2000,0.37
Albania,2005,0.40
Albania,2007,0.45
Albania,2010,0.48
Albania,2015,0.56
Algeria,1870,0.02
Algeria,1880,0.02
Algeria,1890,0.02
Algeria,1900,0.02
Algeria,1913,0.03
Algeria,1925,0.03
Algeria,1929,0.03
Algeria,1933,0.03
Algeria,1938,0.04
Algeria,1950,0.06
Algeria,1955,0.07
Algeria,1960,0.08
Algeria,1965,0.10
Algeria,1970,0.12
Algeria,1975,0.15
Algeria,1980,0.17
Algeria,1985,0.20
Algeria,1990,0.23
Algeria,1995,0.26
Algeria,2000,0.28
Algeria,2005,0.32
Algeria,2007,0.33
Algeria,2010,0.35
Algeria,2015,0.40
Angola,1870,0.01
Angola,1880,0.01
Angola,1890,0.01
Angola,1900,0.01
Angola,1913,0.01
Angola,1925,0.01
Angola,1929,0.01
Angola,1933,0.01
Angola,1938,0.01
Angola,1950,0.01
Angola,1955,0.02
Angola,1960,0.03
Angola,1965,0.03
Angola,1970,0.05
Angola,1975,0.06
Angola,1980,0.10
Angola,1985,0.10
Angola,1990,0.10
Angola,1995,0.10
Angola,2000,0.12
Angola,2005,0.17
Angola,2007,0.18
Angola,2010,0.18
Angola,2015,0.21
Argentina,1870,0.04
Argentina,1880,0.05
Argentina,1890,0.07
Argentina,1900,0.09
Argentina,1913,0.12
Argentina,1925,0.15
Argentina,1929,0.16
Argentina,1933,0.18
Argentina,1938,0.19
Argentina,1950,0.24
Argentina,1955,0.27
Argentina,1960,0.29
Argentina,1965,0.29
Argentina,1970,0.33
Argentina,1975,0.35
Argentina,1980,0.37
Argentina,1985,0.40
Argentina,1990,0.43
Argentina,1995,0.44
Argentina,2000,0.49
Argentina,2005,0.56
Argentina,2007,0.57
Argentina,2010,0.60
Argentina,2015,0.67
Armenia,1980,0.38
Armenia,1985,0.39
Armenia,1990,0.39
Armenia,1995,0.41
Armenia,2000,0.46
Armenia,2005,0.46
Armenia,2007,0.48
Armenia,2010,0.49
Armenia,2015,0.49
Australia,1870,0.15
Australia,1880,0.18
Australia,1890,0.19
Australia,1900,0.22
Australia,1913,0.27
Australia,1925,0.30
Australia,1929,0.31
Australia,1933,0.32
Australia,1938,0.34
Australia,1950,0.39
Australia,1955,0.41
Australia,1960,0.43
Australia,1965,0.43
Australia,1970,0.45
Australia,1975,0.46
Australia,1980,0.48
Australia,1985,0.50
Australia,1990,0.53
Australia,1995,0.74
Australia,2000,0.78
Australia,2005,0.82
Australia,2007,0.83
Australia,2010,0.85
Australia,2015,0.89
Austria,1870,0.08
Austria,1880,0.11
Austria,1890,0.13
Austria,1900,0.16
Austria,1913,0.18
Austria,1925,0.23
Austria,1929,0.26
Austria,1933,0.28
