Entity,Year,J. Doyne Farmer and François Lafond (2016)
AcrylicFiber,1960,132.9867076
AcrylicFiber,1961,120.4459184
AcrylicFiber,1962,107.4759468
AcrylicFiber,1963,107.4759468
AcrylicFiber,1964,100.6190965
AcrylicFiber,1965,91.29513185
AcrylicFiber,1966,79.36309524
AcrylicFiber,1967,72.85034014
AcrylicFiber,1968,57.67211538
AcrylicFiber,1969,51.82092366
AcrylicFiber,1970,49.7124774
AcrylicFiber,1971,45.5588994
AcrylicFiber,1972,40.19262982
Acrylonitrile,1959,26.82868937
Acrylonitrile,1960,22.92535787
Acrylonitrile,1961,17.9255102
Acrylonitrile,1962,15.19959058
Acrylonitrile,1963,14.20061412
Acrylonitrile,1964,16.10882957
Acrylonitrile,1965,16.1693712
Acrylonitrile,1966,12.55357143
Acrylonitrile,1967,11.4548105
Acrylonitrile,1968,11.53942308
Acrylonitrile,1969,11.06503299
Acrylonitrile,1970,9.886980108
Acrylonitrile,1971,8.890799656
Acrylonitrile,1972,8.968174204
Aluminum,1956,28.13528139
Aluminum,1957,28.55140187
Aluminum,1958,28.04692388
Aluminum,1959,27.75748194
Aluminum,1960,26.58179959
Aluminum,1961,26.02857143
Aluminum,1962,24.46571136
Aluminum,1963,23.13306039
Aluminum,1964,24.32135524
Aluminum,1965,24.85598377
Aluminum,1966,24.31349206
Aluminum,1967,24.29834791
Aluminum,1968,24.625
Aluminum,1969,25.63053723
Aluminum,1970,25.95207957
Aluminum,1971,24.927773
Aluminum,1972,22.0360134
Ammonia,1960,3.526584867
Ammonia,1961,3.644897959
Ammonia,1962,3.550665302
Ammonia,1963,3.491299898
Ammonia,1964,3.459958932
Ammonia,1965,3.387423935
Ammonia,1966,3.096230159
Ammonia,1967,2.700680272
Ammonia,1968,2.048076923
Ammonia,1969,1.603204524
Ammonia,1970,1.545207957
Ammonia,1971,1.512467756
Ammonia,1972,1.515075377
Aniline,1961,16.10612245
Aniline,1962,13.58955988
Aniline,1963,14.18628454
Aniline,1964,14.13039014
Aniline,1965,13.2515213
Aniline,1966,11.42757937
Aniline,1967,10.57434402
Aniline,1968,10.36826923
Aniline,1969,9.942507069
Aniline,1970,10.38426763
Aniline,1971,9.6216681
Aniline,1972,7.320770519
Automotive (US),1985,4.055818099
Automotive (US),1986,3.260255864
Automotive (US),1987,2.783143561
Automotive (US),1988,2.469480741
Automotive (US),1989,2.201498477
Automotive (US),1990,1.979837503
Automotive (US),1991,1.792564166
Automotive (US),1992,1.671241261
Automotive (US),1993,1.549617383
Automotive (US),1994,1.452879768
Automotive (US),1995,1.371466742
Automotive (US),1996,1.29883902
Automotive (US),1997,1.240950928
Automotive (US),1998,1.185530477
Automotive (US),1999,1.130290622
Automotive (US),2000,1.080004718
Automotive (US),2001,1.033314987
Automotive (US),2002,0.992943876
Automotive (US),2003,0.948995338
Automotive (US),2004,0.921007672
Automotive (US),2005,0.880772517
Beer (Japan),1951,72.34
Beer (Japan),1952,76.44
Beer (Japan),1953,65.6
Beer (Japan),1954,67.53
Beer (Japan),1955,66.42
Beer (Japan),1956,63
Beer (Japan),1957,60.33
Beer (Japan),1958,60.83
Beer (Japan),1959,58.96
Beer (Japan),1960,55.73
Beer (Japan),1961,51.97
Beer (Japan),1962,50.41
Beer (Japan),1963,48.14
Beer (Japan),1964,45.97
Beer (Japan),1965,46.86
Beer (Japan),1966,44.76
Beer (Japan),1967,43.03
Beer (Japan),1968,43.17
Benzene,1952,0.434
Benzene,1953,0.464
Benzene,1954,0.458
Benzene,1955,0.407
Benzene,1956,0.383
Benzene,1957,0.359
Benzene,1958,0.33
Benzene,1959,0.286
Benzene,1960,0.3
Benzene,1961,0.306
Benzene,1962,0.232
Benzene,1963,0.215
Benzene,1964,0.202
Benzene,1965,0.216
Benzene,1966,0.211
Benzene,1967,0.205
Benzene,1968,0.199
BisphenolA,1959,28.00825593
BisphenolA,1960,27.72290389
BisphenolA,1961,27.66632653
BisphenolA,1962,26.08290686
BisphenolA,1963,25.28659161
BisphenolA,1964,22.20533881
BisphenolA,1965,21.09634888
BisphenolA,1966,20.12599206
BisphenolA,1967,20.01360544
BisphenolA,1968,18.18846154
BisphenolA,1969,17.63336475
BisphenolA,1970,15.1238698
BisphenolA,1971,13.69475494
BisphenolA,1972,12.97068677
Caprolactam,1962,41.64892528
Caprolactam,1963,38.21699079
Caprolactam,1964,34.61704312
Caprolactam,1965,31.82048682
Caprolactam,1966,24.48412698
Caprolactam,1967,19.87366375
Caprolactam,1968,18.26153846
Caprolactam,1969,16.75683318
Caprolactam,1970,16.26853526
Caprolactam,1971,15.10490112
Caprolactam,1972,14.80067002
CarbonBlack,1964,7.195071869
CarbonBlack,1965,7.157200811
CarbonBlack,1966,7.114087302
CarbonBlack,1967,6.968901846
CarbonBlack,1968,7.041346154
CarbonBlack,1969,6.839773798
CarbonBlack,1970,6.857142857
CarbonBlack,1971,6.613069647
CarbonBlack,1972,6.499162479
CarbonDisulfide,1963,4.17604913
CarbonDisulfide,1964,4.126283368
CarbonDisulfide,1965,4.055780933
CarbonDisulfide,1966,4.067460317
CarbonDisulfide,1967,3.8202138
CarbonDisulfide,1968,4.241346154
CarbonDisulfide,1969,4.128180961
CarbonDisulfide,1970,3.77034358
CarbonDisulfide,1971,3.431642304
CarbonDisulfide,1972,3.332495812
CCGT Power,1987,599.3
CCGT Power,1988,514.3
CCGT Power,1989,631.8
CCGT Power,1990,521.6
CCGT Power,1991,641.6
CCGT Power,1992,607.3
CCGT Power,1993,533.4
CCGT Power,1994,450.4
CCGT Power,1995,467.4
CCGT Power,1996,432.6
Concentrating Solar,1980,76.06514658
Concentrating Solar,1981,64.39694656
Concentrating Solar,1982,54.73170732
Concentrating Solar,1983,45.4535809
Concentrating Solar,1984,34.62962963
Concentrating Solar,1985,28.8
Concentrating Solar,1986,24.96359223
Concentrating Solar,1987,22.30434783
Concentrating Solar,1988,20.23809524
Concentrating Solar,1989,19.03797468
Concentrating Solar,1990,17.83783784
Concentrating Solar,1991,16.95774648
Concentrating Solar,1992,16.87943262
Concentrating Solar,1993,16.61870504
Concentrating Solar,1994,16.35766423
Concentrating Solar,1995,15.93984962
Concentrating Solar,1996,15.51937984
Concentrating Solar,1997,15.20063694
Concentrating Solar,1998,14.96103896
Concentrating Solar,1999,14.78547855
Concentrating Solar,2000,14.68891478
Concentrating Solar,2001,14.6080402
Concentrating Solar,2002,14.53872054
Concentrating Solar,2003,14.3955707
Concentrating Solar,2004,13.71428571
Concentrating Solar,2005,12.69230769
Corn (US),1975,11.67
Corn (US),1976,11.48
Corn (US),1977,11.26
Corn (US),1978,9.95
Corn (US),1979,9.12
Corn (US),1980,11.09
Corn (US),1981,9.15
Corn (US),1982,8.79
Corn (US),1983,12.7
Corn (US),1984,9.45
Corn (US),1985,8.53
Corn (US),1986,8.44
