Entity,Year,Health
Australia,1980,3.7
Australia,1985,4.3
Australia,1990,4.3
Australia,1995,4.6
Australia,2000,5.2
Australia,2005,5.5
Australia,2010,5.8
Australia,2013,6.3
Australia,2014,6.4
Australia,2015,..
Austria,1980,4.7
Austria,1985,4.5
Austria,1990,5
Austria,1995,5.6
Austria,2000,5.9
Austria,2005,6.2
Austria,2010,6.5
Austria,2013,6.5
Austria,2014,..
Austria,2015,..
Belgium,1980,5.1
Belgium,1985,5.6
Belgium,1990,6.3
Belgium,1995,5.7
Belgium,2000,5.9
Belgium,2005,6.9
Belgium,2010,7.7
Belgium,2013,8
Belgium,2014,..
Belgium,2015,..
Canada,1980,4.8
Canada,1985,5.7
Canada,1990,6.2
Canada,1995,6
Canada,2000,5.7
Canada,2005,6.3
Canada,2010,7.3
Canada,2013,7.1
Canada,2014,7.1
Canada,2015,..
Chile,1980,..
Chile,1985,..
Chile,1990,0
Chile,1995,2.5
Chile,2000,3.3
Chile,2005,2.4
Chile,2010,3
Chile,2013,3.4
Chile,2014,3.8
Chile,2015,4.2
Czech Republic,1980,..
Czech Republic,1985,..
Czech Republic,1990,3.6
Czech Republic,1995,5.2
Czech Republic,2000,5.1
Czech Republic,2005,5.6
Czech Republic,2010,5.8
Czech Republic,2013,5.9
Czech Republic,2014,..
Czech Republic,2015,..
Denmark,1980,5.1
Denmark,1985,4.6
Denmark,1990,4.4
Denmark,1995,4.3
Denmark,2000,5.1
Denmark,2005,5.8
Denmark,2010,6.7
Denmark,2013,6.7
Denmark,2014,..
Denmark,2015,..
Estonia,1980,..
Estonia,1985,..
Estonia,1990,..
Estonia,1995,..
Estonia,2000,3.9
Estonia,2005,3.7
Estonia,2010,4.8
Estonia,2013,4.5
Estonia,2014,..
Estonia,2015,..
Finland,1980,4.6
Finland,1985,5
Finland,1990,5.6
Finland,1995,4.4
Finland,2000,4
Finland,2005,4.9
Finland,2010,5.4
Finland,2013,5.8
Finland,2014,..
Finland,2015,..
