Entity,Year,"Share of calories lost or wasted by food group (WRI, 2013)","Share of global food loss and waste by region (WRI, 2013)","Per capita food loss or waste (kcal per day)(WRI, 2013)"
Cereals,2009,26,,
Europe,2009,,14,748
Fish and seafood,2009,24,,
Fruits and vegetables,2009,42,,
Industrialized Asia,2009,,28,746
Latin America,2009,,6,453
Meat,2009,19,,
Milk,2009,18,,
"North Africa, West and Central Asia",2009,,7,594
North America and Oceania,2009,,14,1520
Oilseeds and Pulses,2009,10,,
Roots and tubers,2009,63,,
South and Southeast Asia,2009,,23,414
Sub-Saharan Africa,2009,,9,545
