Entity,Year,Gender-equal inheritance for women (How Was Life (2014))
Afghanistan,1920,0
Albania,1920,0
Algeria,1920,0
Algeria,1980,0
Algeria,2000,0
Angola,1920,1
Angola,1980,1
Angola,2000,1
Argentina,1920,0
Argentina,1980,1
Argentina,2000,1
Armenia,1920,0
Australia,1920,1
Australia,1980,1
Australia,2000,1
Austria,1980,1
Austria,2000,1
Azerbaijan,1920,0
Bangladesh,1920,0
Bangladesh,1980,0
Bangladesh,2000,0
Belarus,1920,0
Belarus,1980,1
Belarus,2000,1
Belgium,1980,1
Belgium,2000,1
Belize,1920,0
Benin,1920,0
Benin,1980,0
Benin,2000,0
Bhutan,1920,0
Bolivia,1920,0
Bolivia,1980,1
Bolivia,2000,1
Botswana,1920,0
Brazil,1920,1
Brazil,1980,1
Brazil,2000,1
Brunei,1920,0
Bulgaria,1920,0
Bulgaria,1980,1
Bulgaria,2000,1
Burkina Faso,1920,0
Burkina Faso,1980,1
Burkina Faso,2000,1
Burundi,1920,0
Cambodia,1980,1
Cambodia,2000,1
Cameroon,1920,0
Cameroon,1980,1
Cameroon,2000,1
Canada,1920,0
Cape Verde,1920,0
Central African Republic,1920,0
Central African Republic,1980,1
Central African Republic,2000,1
Chad,1920,0
Chile,1920,0
Chile,1980,1
Chile,2000,1
China,1920,0
China,1980,0
China,2000,1
Cocos Islands,1920,1
Colombia,1980,1
Colombia,2000,1
Comoros,1920,1
Congo,1920,1
Cook Islands,1920,1
Costa Rica,1980,1
Costa Rica,2000,1
Cote d'Ivoire,1920,0
Cote d'Ivoire,1980,1
Cote d'Ivoire,2000,1
Cyprus,1920,1
Czech Republic,1920,0
Democratic Republic of Congo,1920,0
Democratic Republic of Congo,2000,1
Djibouti,1920,0
Dominican Republic,1980,1
Dominican Republic,2000,1
Egypt,1920,0
Egypt,1980,0
Egypt,2000,0
Equatorial Guinea,1920,0
Estonia,1920,0
Ethiopia,1920,0
Ethiopia,1980,1
Ethiopia,2000,1
Fiji,1920,0
Fiji,1980,1
Fiji,2000,1
France,1920,0
France,1980,1
France,2000,1
French Guiana,1920,0
French Polynesia,1920,0
Gabon,1920,0
Gabon,1980,1
Gabon,2000,1
Gambia,1920,0
Georgia,1920,0
Georgia,1980,1
Georgia,2000,1
Germany,1980,1
Germany,2000,1
Ghana,1920,1
Ghana,1980,0
Ghana,2000,1
Greece,1920,1
Guam,1920,1
Guatemala,1920,0
Guatemala,1980,1
Guatemala,2000,1
Guinea,1920,0
Guinea-Bissau,1920,0
Haiti,1920,1
Honduras,1980,1
Honduras,2000,1
Hungary,1980,1
Hungary,2000,1
Iceland,1920,0
