Entity,Year,Life Expectancy (1950-2015) (UN Population Division (2015))
Afghanistan,1955,28.6
Afghanistan,1960,31.1
Afghanistan,1965,33.4
Afghanistan,1970,35.6
Afghanistan,1975,37.8
Afghanistan,1980,40.4
Afghanistan,1985,43.6
Afghanistan,1990,47.7
Afghanistan,1995,51.8
Afghanistan,2000,54.2
Afghanistan,2005,56
Afghanistan,2010,58
Afghanistan,2015,59.8
Africa,1955,37.3
Africa,1960,39.9
Africa,1965,42.2
Africa,1970,44.3
Africa,1975,46.4
Africa,1980,48.6
Africa,1985,50.5
Africa,1990,51.8
Africa,1995,51.7
Africa,2000,52.2
Africa,2005,53.3
Africa,2010,56.5
Africa,2015,59.5
Albania,1955,55.3
Albania,1960,59.3
Albania,1965,64.8
Albania,1970,66.2
Albania,1975,67.7
Albania,1980,69.7
Albania,1985,70.6
Albania,1990,72
Albania,1995,71.7
Albania,2000,73
Albania,2005,75.3
Albania,2010,76.3
Albania,2015,77.5
Algeria,1955,42.9
Algeria,1960,45
Algeria,1965,47.3
Algeria,1970,49.5
Algeria,1975,51.5
Algeria,1980,54.9
Algeria,1985,61.6
Algeria,1990,65.9
Algeria,1995,67.2
Algeria,2000,69.2
Algeria,2005,71.2
Algeria,2010,73.1
Algeria,2015,74.4
Angola,1955,30
Angola,1960,32
Angola,1965,34
Angola,1970,36
Angola,1975,38
Angola,1980,39.8
Angola,1985,40.4
Angola,1990,41.1
Angola,1995,41.4
Angola,2000,43.3
Angola,2005,47.2
Angola,2010,49.6
Angola,2015,51.7
Antigua and Barbuda,1955,58.5
Antigua and Barbuda,1960,60.9
Antigua and Barbuda,1965,63.2
Antigua and Barbuda,1970,65
Antigua and Barbuda,1975,66.7
Antigua and Barbuda,1980,68.2
Antigua and Barbuda,1985,69.5
Antigua and Barbuda,1990,70.8
Antigua and Barbuda,1995,71.9
Antigua and Barbuda,2000,73
Antigua and Barbuda,2005,74.1
Antigua and Barbuda,2010,75
Antigua and Barbuda,2015,75.8
Argentina,1955,62.5
Argentina,1960,64.5
Argentina,1965,65.3
Argentina,1970,65.8
Argentina,1975,67.2
Argentina,1980,68.7
Argentina,1985,70.2
Argentina,1990,71
Argentina,1995,72.1
Argentina,2000,73.3
Argentina,2005,74.3
Argentina,2010,75.2
Argentina,2015,76
Armenia,1955,62.8
Armenia,1960,64.9
Armenia,1965,67
Armenia,1970,69.2
Armenia,1975,70.8
Armenia,1980,70.6
Armenia,1985,70.9
Armenia,1990,68.4
Armenia,1995,68.1
Armenia,2000,70.2
Armenia,2005,72.7
Armenia,2010,74
Armenia,2015,74.4
Aruba,1955,60.4
Aruba,1960,64.4
Aruba,1965,66.6
Aruba,1970,68.2
Aruba,1975,70
Aruba,1980,71.5
Aruba,1985,72.9
Aruba,1990,73.3
Aruba,1995,73.6
Aruba,2000,73.7
Aruba,2005,74
Aruba,2010,74.7
Aruba,2015,75.4
Asia,1955,42.1
Asia,1960,44.3
Asia,1965,46.3
Asia,1970,52.6
Asia,1975,56.4
Asia,1980,59.2
Asia,1985,61.4
Asia,1990,63.4
Asia,1995,65.1
Asia,2000,66.6
Asia,2005,68.5
Asia,2010,70.1
Asia,2015,71.6
Australia,1955,69.4
Australia,1960,70.5
Australia,1965,71
Australia,1970,71
Australia,1975,71.7
Australia,1980,73.5
Australia,1985,75.2
Australia,1990,76.1
Australia,1995,77.6
Australia,2000,78.7
Australia,2005,80.2
Australia,2010,81.4
Australia,2015,82.1
Austria,1955,66.3
Austria,1960,67.9
Austria,1965,69.5
Austria,1970,70.1
Austria,1975,70.7
Austria,1980,72
Austria,1985,73.1
Austria,1990,74.8
Austria,1995,76
Austria,2000,77.4
Austria,2005,78.8
