Entity,Year,Land under cereal production (World Bank (2017)),Land spared by yield gains (hectares) (World Bank (2017))
World,1961,624561286,
World,1962,626873569,29682807.62
World,1963,634654267,33137774.47
World,1964,642102781,62174540.85
World,1965,640791585,61641966.98
World,1966,645454696,113074810.8
World,1967,657841063,132863835
World,1968,662370467,154078653.6
World,1969,663609863,160098425.6
World,1970,656236355,182601856.7
World,1971,668885147,245331954.3
World,1972,657738601,227505197.5
World,1973,674343531,280213150.3
World,1974,674550530,258575889.9
World,1975,683824468,272693996.4
World,1976,694988344,334620889.2
World,1977,689251434,335175765.9
World,1978,687079932,425750406.6
World,1979,680943397,400571947.3
World,1980,691110844,399134449.5
World,1981,702481738,445774844.3
World,1982,692206982,498366026.5
World,1983,685703216,458729766.9
World,1984,697883917,558990781.5
World,1985,704648757,576455635
World,1986,703491970,586603346.8
World,1987,684723353,561412721.6
World,1988,689888966,525365792.3
World,1989,702900135,613456339.5
World,1990,699807130,673082477.5
World,1991,698266492,631859516.1
World,1992,704254583,684252625.9
World,1993,693586482,646756264.2
World,1994,692073236,683280520.5
World,1995,684098089,652203396.9
World,1996,699024671,754014639.6
World,1997,699025091,775974872.5
World,1998,678301841,789793357.4
World,1999,667797828,797104003.7
World,2000,670662748,778071476.4
World,2001,670619522,814191867.2
World,2002,659291088,771601453.8
World,2003,669809741,799886419.7
World,2004,675718079,926924697
World,2005,689894087,907953493.4
World,2006,678531273,892687447.2
World,2007,697079516,958933751.8
World,2008,713610347,1069268225
World,2009,700234670,1055387669
World,2010,693922078,1042465746
World,2011,706084064,1111844337
World,2012,707079325,1092291746
World,2013,719573721,1224196708
World,2014,721395893,1261231069
