Entity,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data),Number of people employed in agriculture  (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in services (Herrendorf et al. data)
Belgium,1835,20.58,34.55,44.87,,,
Belgium,1836,19.34,36.64,44.02,,,
Belgium,1837,18.74,36.25,45.01,,,
Belgium,1838,19.64,34.82,45.54,,,
Belgium,1839,20.78,35.16,44.06,,,
Belgium,1840,21.61,35.69,42.71,,,
Belgium,1841,21.47,36.03,42.5,,,
Belgium,1842,22.41,37.37,40.22,,,
Belgium,1843,23.08,37.41,39.51,,,
Belgium,1844,22.18,36.57,41.26,,,
Belgium,1845,21.89,36.1,42.01,,,
Belgium,1846,24.22,35.72,40.06,681000,414000,178000
Belgium,1847,31.28,31.5,37.22,,,
Belgium,1848,22.27,37.86,39.87,,,
Belgium,1849,22.77,36.58,40.65,,,
Belgium,1850,20.11,38.81,41.08,,,
Belgium,1851,20.43,38.2,41.37,,,
Belgium,1852,21.07,38.38,40.55,,,
Belgium,1853,21.42,40.59,37.99,,,
Belgium,1854,25.24,39.72,35.04,,,
Belgium,1855,22.06,42.97,34.97,,,
Belgium,1856,22.44,43.3,34.25,712000,525000,211000
Belgium,1857,20.44,43.62,35.94,,,
Belgium,1858,18.26,44.09,37.65,,,
Belgium,1859,16.01,45.6,38.39,,,
Belgium,1860,18.41,44.97,36.63,,,
Belgium,1861,18.53,44.65,36.82,,,
Belgium,1862,19.15,44.64,36.21,,,
Belgium,1863,18.64,44.24,37.12,,,
Belgium,1864,16.41,46.45,37.15,,,
Belgium,1865,15.13,46.56,38.31,,,
Belgium,1866,15.27,47.75,36.99,705000,627000,242000
Belgium,1867,17.12,45.87,37.01,,,
Belgium,1868,19.3,44.19,36.51,,,
Belgium,1869,14.51,48.53,36.95,,,
Belgium,1870,14.73,48.68,36.59,,,
Belgium,1871,14.12,48.69,37.19,,,
Belgium,1872,13.12,52.22,34.67,,,
Belgium,1873,11.18,54.62,34.2,,,
Belgium,1874,14.17,50.62,35.21,,,
Belgium,1875,12.1,48.19,39.71,,,
Belgium,1876,14.3,45.4,40.29,,,
Belgium,1877,14.55,45.36,40.09,,,
Belgium,1878,12.72,46.25,41.03,,,
Belgium,1879,13.01,44.86,42.14,,,
Belgium,1880,12.58,46.69,40.73,674000,701000,384000
Belgium,1881,12.85,46.75,40.4,,,
Belgium,1882,12.65,46.34,41.01,,,
Belgium,1883,12.39,45.44,42.17,,,
Belgium,1884,11.89,44.19,43.92,,,
Belgium,1885,11.87,42.46,45.66,,,
Belgium,1886,12.27,41.09,46.63,,,
Belgium,1887,11.42,42.97,45.61,,,
Belgium,1888,11.11,42.72,46.17,,,
Belgium,1889,11.4,43.45,45.15,,,
Belgium,1890,10.96,43.95,45.09,640000,827000,526000
Belgium,1891,11.68,42.41,45.91,,,
Belgium,1892,11.72,42.07,46.21,,,
Belgium,1893,11.84,41.42,46.74,,,
Belgium,1894,11.33,41.05,47.62,,,
Belgium,1895,10.89,41.44,47.67,,,
Belgium,1896,10.07,42.06,47.87,,,
Belgium,1897,11.08,42,46.92,,,
Belgium,1898,10.72,42.03,47.25,,,
Belgium,1899,9.56,43.73,46.71,,,
Belgium,1900,10.04,44.03,45.93,616000,1046000,607000
Belgium,1901,10.6,42.03,47.37,,,
Belgium,1902,10.81,41.54,47.65,,,
Belgium,1903,10.38,41.61,48.01,,,
Belgium,1904,10.54,41.73,47.74,,,
Belgium,1905,10.61,41.11,48.28,,,
Belgium,1906,10.19,41.86,47.95,,,
Belgium,1907,10.09,42.52,47.39,,,
Belgium,1908,10.64,41,48.36,,,
Belgium,1909,10.44,39.68,49.87,,,
Belgium,1910,10.67,39.41,49.92,585000,1184000,622000
Belgium,1911,10.3,39.47,50.23,,,
Belgium,1912,9.43,40.27,50.3,,,
Belgium,1913,9.1,40.45,50.46,,,
Belgium,1920,18.34,32.29,49.37,525000,1173000,605000
Belgium,1921,15.73,34.93,49.34,,,
Belgium,1922,11.76,36.52,51.72,,,
Belgium,1923,14.54,36.32,49.14,,,
Belgium,1924,13.38,38.33,48.29,,,
Belgium,1925,12.6,38.6,48.8,,,
Belgium,1926,12.77,40.06,47.18,,,
Belgium,1927,10.91,42.86,46.23,,,
Belgium,1928,10.83,42.98,46.2,,,
Belgium,1929,10.11,43.36,46.53,,,
Belgium,1930,8.79,41.99,49.22,505000,1426000,823000
Belgium,1931,7.95,40.42,51.62,,,
Belgium,1932,8.4,36.93,54.68,,,
Belgium,1933,8.73,36.68,54.59,,,
Belgium,1934,7.61,36.7,55.69,,,
Belgium,1935,3.86,38.58,57.56,,,
Belgium,1936,3.09,40.61,56.3,,,
Belgium,1937,7.41,40.45,52.14,,,
Belgium,1938,7.99,38.78,53.23,,,
Belgium,1939,8.16,37.97,53.87,,,
Belgium,1946,10.41,38.67,50.92,,,
Belgium,1947,8.21,41.47,50.32,364000,1347000,893000
Belgium,1948,7.57,41.69,50.75,,,
Belgium,1949,8.45,42.76,48.79,,,
Belgium,1950,7.42,42.9,49.68,,,
Belgium,1951,7.28,43.09,49.62,,,
Belgium,1952,6.9,41.87,51.23,,,
Belgium,1953,7.74,41.88,50.38,,,
Belgium,1954,7.59,42.82,49.6,,,
Belgium,1955,7.43,42.55,50.02,,,
Belgium,1956,6.82,43.22,49.96,,,
Belgium,1957,7.14,43.6,49.26,,,
Belgium,1958,6.84,41.97,51.19,,,
Belgium,1959,6.86,40.87,52.26,,,
Belgium,1960,6.6,41.72,51.68,,,
Belgium,1961,6.82,41.68,51.5,213000,1316000,972000
Belgium,1962,6.11,42.06,51.83,,,
Belgium,1963,6.02,41.98,52,,,
Belgium,1964,5.68,43.36,50.96,,,
Belgium,1965,5.51,42.22,52.27,,,
Belgium,1966,4.87,41.95,53.18,,,
Belgium,1967,4.69,41.34,53.97,,,
Belgium,1968,4.75,40.84,54.4,,,
Belgium,1969,4.73,41.28,53.99,,,
Belgium,1970,3.67,43.27,53.06,197477.8225,1493903.32,2018394.876
Belgium,1971,3.54,41.23,55.23,184101.572,1492296.724,2060225.873
Belgium,1972,4.09,40.8,55.12,172728.0139,1470163.404,2095485.288
Belgium,1973,3.9,41.04,55.06,165111.1874,1471072.89,2133861.039
Belgium,1974,2.82,41.73,55.45,160353.8201,1473849.089,2181319.428
Belgium,1975,3,39.18,57.82,155935.2554,1418280.507,2209577.294
Belgium,1976,2.92,38.75,58.33,147979.635,1372726.628,2244537.298
Belgium,1977,2.42,38.3,59.28,141885.2497,1331691.968,2281863.341
Belgium,1978,2.5,37.53,59.97,138862.5693,1288703.447,2333681.472
Belgium,1979,2.39,37.36,60.25,138367.4551,1259537.994,2390219.796
Belgium,1980,2.28,36.37,61.35,132237.6211,1224876.319,2423309.236
Belgium,1981,2.44,33.55,64.01,129056.875,1155856.946,2433417.054
Belgium,1982,2.48,33.56,63.97,127686.875,1100688.103,2441924.147
Belgium,1983,2.63,33.15,64.23,127287.875,1059261.097,2436561.528
Belgium,1984,2.53,32.74,64.73,127051,1038256.382,2456067.868
Belgium,1985,2.34,32.78,64.88,126152.375,1022604.297,2490729.578
Belgium,1986,2.26,32.1,65.65,124604.5,1008453.207,2530800.168
Belgium,1987,2.06,31.11,66.84,122167.625,989850.4249,2579206.075
Belgium,1988,2.03,31.54,66.42,120207.875,989735.0486,2653365.451
Belgium,1989,2.32,32.13,65.55,119377,1005249.523,2697631.227
Belgium,1990,1.94,32.07,65.99,118489.75,1011963.002,2734407.998
Belgium,1991,2.12,28.47,69.41,117296.25,1004797.925,2756438.075
Belgium,1992,2.02,26.64,71.34,114539.125,986736.2257,2773621.274
Belgium,1993,1.88,26.05,72.08,112992.625,952280.8939,2788374.231
Belgium,1994,1.79,25.01,73.2,110751.125,928597.948,2801515.802
Belgium,1995,1.72,24.94,73.34,108951.875,918136.375,2840925
Belgium,1996,1.52,25.49,72.99,104785.5,905219.75,2871121.5
Belgium,1997,1.55,25.04,73.41,102043.75,893630.625,2903721.375
Belgium,1998,1.56,25.31,73.12,100278.125,894696.625,2964989.5
Belgium,1999,1.46,24.91,73.63,98864.75,888789.625,3024268.125
Belgium,2000,1.29,24.36,74.35,94837.625,899754.625,3096733.375
Belgium,2001,1.38,24.39,74.23,91850.875,908691.75,3149220.875
Belgium,2002,1.32,23.56,75.12,89107.25,879646.625,3175551.375
Belgium,2003,1.18,23.08,75.74,86255.25,859808.5,3199953.375
Belgium,2004,1.12,22.38,76.5,85034.75,846886.625,3242231.375
Belgium,2005,1.11,22.39,76.49,84544.75,843837.642,3300567.026
Belgium,2006,0.83,22.04,77.12,84147.625,846903.1429,3356015.302
Belgium,2007,0.79,22.14,77.07,82858.625,850901.912,3430756.197
Belgium,2008,0.79,21.79,77.42,,,
Finland,1805,,,,702000,31000,122000
Finland,1860,61.66,15.87,22.46,,,
Finland,1861,67.43,16.8,15.77,,,
Finland,1862,57.29,15.84,26.87,,,
Finland,1863,64.14,16.09,19.78,,,
Finland,1864,59.35,15.98,24.67,,,
Finland,1865,61.69,17.33,20.99,,,
Finland,1866,56.01,15.69,28.3,,,
Finland,1867,48.41,14.73,36.86,,,
Finland,1868,66.93,18.31,14.76,,,
Finland,1869,61.79,18.26,19.96,,,
Finland,1870,60.12,18.16,21.71,,,
Finland,1871,60.66,18.56,20.79,,,
Finland,1872,61.88,20.03,18.08,,,
Finland,1873,63.18,21.44,15.38,,,
Finland,1874,62.92,21.27,15.81,,,
Finland,1875,58.42,18.69,22.89,,,
Finland,1876,62.59,18.87,18.54,,,
Finland,1877,55.04,18.16,26.8,,,
Finland,1878,47.38,15.1,37.51,,,
Finland,1879,52.98,16.01,31.01,,,
Finland,1880,61.93,19.49,18.58,358000,48000,96000
Finland,1881,54.48,19.68,25.84,,,
Finland,1882,58.28,20.78,20.94,,,
Finland,1883,56.85,19.02,24.13,,,
Finland,1884,53.92,18.28,27.8,,,
Finland,1885,53.4,18.68,27.92,,,
Finland,1886,52.74,18.6,28.66,,,
Finland,1887,53.76,18.27,27.97,,,
Finland,1888,54.91,19.76,25.33,,,
Finland,1889,57.87,23.11,19.02,,,
Finland,1890,54.59,22.48,22.94,,,
Finland,1891,57.24,20.9,21.86,,,
Finland,1892,51.43,19.28,29.29,,,
Finland,1893,54.28,18.65,27.07,,,
Finland,1894,54.64,19.91,25.44,,,
Finland,1895,54.72,20.57,24.71,,,
Finland,1896,55.85,22.62,21.53,,,
Finland,1897,56.28,24.01,19.7,,,
Finland,1898,54.9,24.48,20.62,,,
Finland,1899,50.26,23.47,26.27,,,
Finland,1900,52.07,24.76,23.18,429000,95000,107000
Finland,1901,47.43,21.74,30.84,,,
Finland,1902,45.49,21.74,32.77,,,
Finland,1903,52.57,24.02,23.41,,,
Finland,1904,48.08,22.7,29.22,,,
Finland,1905,49.1,24.12,26.78,,,
Finland,1906,48.13,25.52,26.35,,,
Finland,1907,47.28,25.87,26.85,,,
Finland,1908,45.38,23.65,30.97,,,
Finland,1909,45.45,24.02,30.53,,,
Finland,1910,44.55,24.68,30.77,897000,175000,109000
Finland,1911,46.04,25.3,28.65,,,
Finland,1912,46.87,25.51,27.62,,,
Finland,1913,45.08,25.02,29.9,,,
Finland,1914,42.08,23.8,34.12,,,
Finland,1915,41.7,29.1,29.2,,,
Finland,1916,51.39,42.08,6.54,,,
Finland,1920,,,,1032000,192000,164000
Finland,1921,55.05,27.32,17.63,,,
Finland,1922,45.72,28.32,25.96,,,
Finland,1923,40.13,29.76,30.1,,,
Finland,1924,40.18,29.24,30.59,,,
Finland,1925,40.5,29.05,30.45,,,
Finland,1926,37.62,29.67,32.71,,,
Finland,1927,40.32,32.19,27.49,,,
Finland,1928,36.11,33.15,30.74,,,
Finland,1929,30.61,29.29,40.1,,,
Finland,1930,26.49,26.02,47.49,1107000,252000,228000
Finland,1931,24.55,24.45,51,,,
Finland,1932,30.11,27.65,42.25,,,
Finland,1933,31.73,29.41,38.87,,,
Finland,1934,35.17,32.54,32.28,,,
Finland,1935,32.98,30.42,36.6,,,
Finland,1936,34.5,32.8,32.69,,,
Finland,1937,39.13,36.89,23.98,,,
Finland,1938,36.15,32.26,31.59,,,
Finland,1939,29.33,29.2,41.47,,,
