Entity,Year,Number of people living in extreme poverty (OWID based on World Bank (2016) and Bourguignon and Morrisson (2002)),Number of people not in extreme poverty (OWID based on World Bank (2016) and Bourguignon and Morrisson (2002))
World,1820,1021749077,60612233.36
World,1850,1167980918,94701155.55
World,1870,1253753639,145524976
World,1890,1334533068,222681713.8
World,1910,1442000000,308000000
World,1929,1552138336,492839708.8
World,1950,1811880000,708120000
World,1960,1945719892,1080283050
World,1970,2218394742,1472777874
World,1981,1986377458,2532224584
World,1984,1946294548,2819363014
World,1987,1860494307,3173310637
World,1990,1959798348,3349869351
World,1993,1937818788,3632226592
World,1996,1731823828,4083568477
World,1999,1759108873,4290096330
World,2002,1651617135,4630684632
World,2005,1363907820,5155728030
World,2008,1261436182,5502296697
World,2010,1127466264,5802258779
World,2011,990295899.7,6023131152
World,2012,903511807.7,6193988645
World,2015,705549321.5,6643922777
