Entity,Year,"Sumatran Rhino population (AfRSG & other sources, 2019)","Indian Rhino population (AfRSG & other sources, 2019)","Javan Rhino population (AfRSG & other sources, 2019)","Southern White Rhino population (AfRSG & other sources, 2019)","Northern White Rhino population (AfRSG & other sources, 2019)","White Rhino population (AfRSG & other sources, 2019)","Black Rhino population (AfRSG & other sources, 2019)"
Angola,1980,,,,,,,300
Angola,1984,,,,,,,90
Angola,1987,,,,,,,0
Angola,1991,,,,,,,50
Angola,1992,,,,,,,50
Angola,1993,,,,,,,10
Angola,1995,,,,,,,0
Angola,1997,,,,,,,0
Angola,2010,,,,,,,1
Botswana,1895,,,,0,,,
Botswana,1929,,,,0,,,
Botswana,1948,,,,0,,,
Botswana,1968,,,,0,,,
Botswana,1980,,,,,,,30
Botswana,1984,,,,190,,,10
Botswana,1987,,,,125,,,10
Botswana,1991,,,,56,,,10
Botswana,1992,,,,27,,,5
Botswana,1993,,,,18,,,4
Botswana,1995,,,,20,,,0
Botswana,1997,,,,23,,,0
Botswana,2005,,,,99,,,5
Botswana,2010,,,,135,,,7
Botswana,2017,,,,452,,,50
Cameroon,1980,,,,,,,110
Cameroon,1984,,,,,,,110
Cameroon,1987,,,,,,,30
Cameroon,1991,,,,,,,50
Cameroon,1992,,,,,,,35
Cameroon,1993,,,,,,,27
Cameroon,1995,,,,,,,7
Cameroon,1997,,,,,,,10
Cameroon,2005,,,,,,,0
Central African Republic,1980,,,,,,,3000
Central African Republic,1984,,,,,,,170
Central African Republic,1987,,,,,,,10
Central African Republic,1991,,,,,,,5
Central African Republic,1992,,,,,,,0
Chad,1980,,,,,,,25
Chad,1984,,,,,,,5
Chad,1987,,,,,,,3
Chad,1991,,,,,,,0
Chad,1992,,,,,,,0
Cote d'Ivoire,2017,,,,1,,,0
Democratic Republic of Congo,1960,,,,,1150,,
Democratic Republic of Congo,1971,,,,,250,,
Democratic Republic of Congo,1976,,,,,490,,
Democratic Republic of Congo,1981,,,,,50,,
Democratic Republic of Congo,1983,,,,,20,,
Democratic Republic of Congo,1991,,,,,30,,
Democratic Republic of Congo,1995,,,,,31,,
Democratic Republic of Congo,1998,,,,,25,,
Democratic Republic of Congo,2005,,,,,4,,
Ethiopia,1980,,,,,,,20
Ethiopia,1984,,,,,,,10
Ethiopia,1991,,,,,,,0
Ethiopia,1992,,,,,,,0
Ethiopia,1993,,,,,,,5
Ethiopia,1995,,,,,,,1
Ethiopia,1997,,,,,,,0
India,1986,,1334,,,,,
India,2007,,2150,,,,,
India,2009,,2363,,,,,
India,2016,,2912,,,,,
India,2018,,2939,,,,,
Indonesia,2007,180,,45,,,,
Indonesia,2009,170,,40,,,,
Indonesia,2010,,,40,,,,
Indonesia,2012,,,58,,,,
Indonesia,2016,76,,,,,,
Indonesia,2017,,,68,,,,
Indonesia,2018,76,,50,,,,
Ivory Coast,1895,,,,0,,,
Ivory Coast,1929,,,,0,,,
Ivory Coast,1948,,,,0,,,
Ivory Coast,1968,,,,0,,,
Ivory Coast,1984,,,,0,,,
Ivory Coast,1987,,,,0,,,
Ivory Coast,1991,,,,5,,,
Ivory Coast,1992,,,,5,,,
Ivory Coast,1993,,,,5,,,
Ivory Coast,1995,,,,4,,,
Ivory Coast,1997,,,,4,,,
Kenya,1895,,,,0,,,
Kenya,1929,,,,0,,,
Kenya,1948,,,,0,,,
Kenya,1968,,,,0,,,
Kenya,1980,,,,,,,1500
Kenya,1984,,,,33,,,550
Kenya,1987,,,,47,,,381
Kenya,1991,,,,57,,,398
Kenya,1992,,,,74,,,414
Kenya,1993,,,,87,,,417
Kenya,1995,,,,122,,,420
Kenya,1997,,,,137,,,424
Kenya,2005,,,,234,,,540
Kenya,2010,,,,,4,,594
Kenya,2017,,,,510,3,,745
Malawi,1980,,,,,,,40
Malawi,1984,,,,,,,20
Malawi,1987,,,,,,,25
Malawi,1991,,,,,,,5
Malawi,1992,,,,,,,0
Malawi,1993,,,,,,,2
Malawi,1995,,,,,,,2
Malawi,1997,,,,,,,3
Malawi,2005,,,,,,,10
Malawi,2010,,,,,,,24
Malawi,2017,,,,,,,28
Malaysia,2007,100,,,,,,
Malaysia,2009,50,,,,,,
Malaysia,2016,0,,,,,,
Malaysia,2018,0,,,,,,
Mozambique,1895,,,,0,,,
Mozambique,1929,,,,0,,,
Mozambique,1948,,,,0,,,
Mozambique,1968,,,,0,,,
Mozambique,1980,,,,,,,250
Mozambique,1984,,,,1,,,130
Mozambique,1987,,,,,,,0
Mozambique,1991,,,,,,,50
Mozambique,1992,,,,,,,50
Mozambique,1993,,,,,,,45
Mozambique,1995,,,,,,,0
Mozambique,1997,,,,,,,13
Mozambique,2005,,,,7,,,
Mozambique,2010,,,,6,,,1
Mozambique,2017,,,,29,,,1
Namibia,1895,,,,0,,,
Namibia,1929,,,,0,,,
Namibia,1948,,,,0,,,
Namibia,1968,,,,0,,,
Namibia,1980,,,,,,,300
Namibia,1984,,,,70,,,400
Namibia,1987,,,,63,,,449
Namibia,1991,,,,80,,,479
Namibia,1992,,,,91,,,489
Namibia,1993,,,,98,,,583
Namibia,1995,,,,107,,,598
Namibia,1997,,,,141,,,707
Namibia,2005,,,,293,,,1141
Namibia,2010,,,,469,,,1750
Namibia,2017,,,,975,,,1857
Nepal,1950,,800,,,,,
Nepal,1957,,400,,,,,
Nepal,1959,,300,,,,,
Nepal,1966,,100,,,,,
Nepal,1968,,108,,,,,
Nepal,1972,,147,,,,,
Nepal,1978,,310,,,,,
Nepal,1986,,375,,,,,
Nepal,1988,,358,,,,,
Nepal,1994,,466,,,,,
Nepal,2000,,612,,,,,
Nepal,2005,,409,,,,,
Nepal,2007,,413,,,,,
Nepal,2008,,444,,,,,
Nepal,2009,,435,,,,,
Nepal,2011,,534,,,,,
Nepal,2016,,645,,,,,
Nepal,2018,,649,,,,,
Pakistan,1986,,2,,,,,
Pakistan,2007,,2,,,,,
Pakistan,2009,,2,,,,,
Pakistan,2016,,0,,,,,
Pakistan,2018,,0,,,,,
Rwanda,1980,,,,,,,30
Rwanda,1984,,,,,,,15
Rwanda,1987,,,,,,,15
Rwanda,1992,,,,,,,15
Rwanda,1993,,,,,,,10
Rwanda,1995,,,,,,,4
Rwanda,1997,,,,,,,4
Rwanda,2005,,,,,,,1
Rwanda,2017,,,,,,,19
Senegal,2017,,,,3,,,0
Somalia,1980,,,,,,,300
Somalia,1984,,,,,,,90
Somalia,1991,,,,,,,0
Somalia,1992,,,,,,,0
South Africa,1895,,,,20,,,
South Africa,1929,,,,150,,,
South Africa,1948,,,,550,,,
South Africa,1968,,,,1800,,,
South Africa,1980,,,,,,,630
South Africa,1984,,,,3234,,,640
South Africa,1987,,,,4137,,,577
South Africa,1991,,,,5057,,,771
South Africa,1992,,,,5297,,,819
South Africa,1993,,,,6376,,,897
South Africa,1995,,,,7095,,,1024
South Africa,1997,,,,7913,,,1043
South Africa,2005,,,,13521,,,1379
South Africa,2010,,,,18796,,,1915
South Africa,2017,,,,15625,,,2046
Sudan,1960,,,,,1000,,
Sudan,1971,,,,,400,,
Sudan,1980,,,,,,,300
Sudan,1981,,,,,300,,
Sudan,1983,,,,,50,,
Sudan,1984,,,,,0,,100
Sudan,1987,,,,,,,3
Sudan,1991,,,,,0,,0
Sudan,1993,,,,,,,0
Sudan,1995,,,,,0,,0
