Entity,Year,GDP per capita in 1990 Int. GK$ (Maddison-Project 2013) 
Argentina,1950,4986.7
Argentina,1951,5073
Argentina,1952,4717.4
Argentina,1953,4874.5
Argentina,1954,4979.8
Argentina,1955,5237
Argentina,1956,5285.3
Argentina,1957,5460.7
Argentina,1958,5698
Argentina,1959,5241.5
Argentina,1960,5559.5
Argentina,1961,5861.8
Argentina,1962,5677.2
Argentina,1963,5455.4
Argentina,1964,5926.1
Argentina,1965,6370.7
Argentina,1966,6320.6
Argentina,1967,6399
Argentina,1968,6577.8
Argentina,1969,7037.3
Argentina,1970,7302
Argentina,1971,7529.9
Argentina,1972,7634.6
Argentina,1973,7962
Argentina,1974,8334.1
Argentina,1975,8122.5
Argentina,1976,7965.2
Argentina,1977,8304.4
Argentina,1978,7807.2
Argentina,1979,8226.9
Argentina,1980,8206
Argentina,1981,7606.6
Argentina,1982,7245.8
Argentina,1983,7387.1
Argentina,1984,7425.9
Argentina,1985,6834.9
Argentina,1986,7223.8
Argentina,1987,7297.9
Argentina,1988,7054.4
Argentina,1989,6520.1
Argentina,1990,6432.9
Argentina,1991,6954.7
Argentina,1992,7383.7
Argentina,1993,7748.4
Argentina,1994,8119
Argentina,1995,7786
Argentina,1996,8090.8
Argentina,1997,8614.7
Argentina,1998,8899.9
Argentina,1999,8545.2
Argentina,2000,8410
Argentina,2001,7967.8
Argentina,2002,7038.1
Argentina,2003,7518.3
Argentina,2004,7966.9
Argentina,2005,8540.6
Argentina,2006,9101.2
Argentina,2007,9715.2
Argentina,2008,9971.9
Argentina,2009,9580.7
Argentina,2010,10256.3
Belgium,1835,1531.9
Belgium,1836,1554.2
Belgium,1837,1598.7
Belgium,1838,1583.8
Belgium,1839,1593.5
Belgium,1840,1601.7
Belgium,1841,1637.3
Belgium,1842,1653.8
Belgium,1843,1613.1
Belgium,1844,1665
Belgium,1845,1720.8
Belgium,1846,1693.9
Belgium,1847,1761.6
Belgium,1848,1753.6
Belgium,1849,1790.4
Belgium,1850,1846.7
Belgium,1851,1885.6
Belgium,1852,1923.7
Belgium,1853,1961.6
Belgium,1854,2069.7
Belgium,1855,2070.8
Belgium,1856,2169.7
Belgium,1857,2211.4
Belgium,1858,2211.5
