Entity,Year,$1 Poverty rate (Bradshaw and Mayhew (2011)),$2.15 Poverty Rate (Bradshaw and Mayhew (2011))
Austria,2008,0.1,0.1
Belgium,2008,0.3,0.4
Bulgaria,2008,0.7,2.2
Cyprus,2008,0.1,0.1
Czech Republic,2008,0.1,0.1
Denmark,2008,0.6,0.7
Estonia,2008,0.4,0.6
Finland,2008,0.1,0.1
France,2008,0.2,0.2
Germany,2008,0.5,0.6
Greece,2008,0.9,1.1
Hungary,2008,0.1,0.3
Iceland,2008,0.1,0.2
Ireland,2008,0.1,0.1
Italy,2008,0.8,1
Latvia,2008,0.5,1.2
Lithuania,2008,0.7,1.6
Luxembourg,2008,0.1,0.1
Netherlands,2008,0.6,0.6
Norway,2008,0.6,0.6
Poland,2008,0.4,0.7
Portugal,2008,0.1,0.4
Romania,2008,2,7.9
Slovakia,2008,0.3,0.8
Slovenia,2008,0,0
Spain,2008,1,1.2
Sweden,2008,0.5,0.6
United Kingdom,2008,0.5,0.6
