Entity,Year,Freshwater crabs (total endemics),Freshwater crabs (threatened endemics),Freshwater crabs (non-threatened endemics),Freshwater crayfish (total endemics),Freshwater crayfish (threatened endemics),Freshwater crayfish (non-threatened endemics),Lobsters (total endemics),Lobsters (threatened endemics),Lobsters (non-threatened endemics),Cone snails (total endemics),Cone snails (threatened endemics),Cone snails (non-threatened endemics),Reef-forming corals (total endemics),Reef-forming corals (threatened endemics),Reef-forming corals (non-threatened endemics)
Afghanistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aland Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2019,0,0,0,0,0,0,0,0,0,22,3,19,0,0,0
Anguilla,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,2019,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Australia,2019,2,2,0,122,61,61,11,0,11,26,2,24,5,0,5
Austria,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,2019,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0
Bahrain,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,2019,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Belarus,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,2019,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Bhutan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonaire Sint Eustatius and Saba,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2019,1,1,0,2,0,2,1,0,1,11,1,10,7,0,7
British Indian Ocean Territory,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,2019,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,2019,0,0,0,0,0,0,1,0,1,53,12,41,0,0,0
Cayman Islands,2019,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Central African Republic,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2019,0,0,0,5,0,5,6,0,6,0,0,0,0,0,0
China,2019,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2019,14,10,4,0,0,0,0,0,0,1,0,1,0,0,0
Comoros,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,2019,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
Curacao,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,2019,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2019,5,2,3,0,0,0,0,0,0,1,0,1,1,0,1
Egypt,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
El Salvador,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,2019,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Estonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Faeroe Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,2019,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0
Finland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,2019,0,0,0,0,0,0,3,0,3,11,0,11,0,0,0
French Southern Territories,2019,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Gabon,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2019,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Guernsey,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,2019,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0
Guinea-Bissau,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Heard Island and McDonald Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,2019,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Hong Kong,2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2019,3,3,0,0,0,0,0,0,0,5,0,5,0,0,0
Indonesia,2019,16,13,3,5,1,4,2,0,2,1,0,1,4,2,2
Iran,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,2019,2,2,0,1,0,1,4,0,4,4,0,4,4,2,2
Jersey,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,2019,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0
Kiribati,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
