Entity,Year,"Age-standardised death rates from air pollution (per 100,000)- IHME GBD SDG indicators"
Afghanistan,1990,504.6
Afghanistan,1995,521.8
Afghanistan,2000,531.4
Afghanistan,2005,500.1
Afghanistan,2010,463.6
Afghanistan,2015,427.3
Albania,1990,150.6
Albania,1995,133.3
Albania,2000,120.2
Albania,2005,94.3
Albania,2010,70.8
Albania,2015,62.5
Algeria,1990,75.3
Algeria,1995,66.4
Algeria,2000,58.3
Algeria,2005,48.9
Algeria,2010,42.4
Algeria,2015,47.4
Andorra,1990,20.1
Andorra,1995,18.1
Andorra,2000,16.2
Andorra,2005,14.6
Andorra,2010,13.8
Andorra,2015,13.4
Angola,1990,376.7
Angola,1995,356.8
Angola,2000,329.3
Angola,2005,287.1
Angola,2010,260.6
Angola,2015,249.3
Antigua and Barbuda,1990,49.7
Antigua and Barbuda,1995,46.1
Antigua and Barbuda,2000,41.4
Antigua and Barbuda,2005,37.4
Antigua and Barbuda,2010,31.1
Antigua and Barbuda,2015,30.6
Argentina,1990,56.3
Argentina,1995,50.6
Argentina,2000,47.9
Argentina,2005,42.8
Argentina,2010,39.5
Argentina,2015,36
Armenia,1990,166.3
Armenia,1995,173.4
Armenia,2000,123.8
Armenia,2005,89.5
Armenia,2010,77.7
Armenia,2015,67.4
Australia,1990,22.8
Australia,1995,19.3
Australia,2000,15.9
Australia,2005,12.4
Australia,2010,9.2
Australia,2015,9
Austria,1990,44.9
Austria,1995,39.8
Austria,2000,35.6
Austria,2005,27.7
Austria,2010,24.1
Austria,2015,23.8
Azerbaijan,1990,247
Azerbaijan,1995,218.7
Azerbaijan,2000,181
Azerbaijan,2005,130.8
Azerbaijan,2010,120.3
Azerbaijan,2015,96.2
Bahamas,1990,63.8
Bahamas,1995,52.2
Bahamas,2000,47.5
Bahamas,2005,39.9
Bahamas,2010,29.5
Bahamas,2015,30.9
Bahrain,1990,112.4
Bahrain,1995,100.2
Bahrain,2000,89.6
Bahrain,2005,69.3
Bahrain,2010,53.8
Bahrain,2015,48.5
Bangladesh,1990,248.5
Bangladesh,1995,239.2
Bangladesh,2000,237.5
Bangladesh,2005,245.5
Bangladesh,2010,243.3
Bangladesh,2015,229.3
Barbados,1990,44.2
Barbados,1995,42.9
Barbados,2000,36.6
Barbados,2005,30
Barbados,2010,26.6
Barbados,2015,26.8
Belarus,1990,141.3
Belarus,1995,139.2
Belarus,2000,122.7
Belarus,2005,102.8
Belarus,2010,89.3
Belarus,2015,84.1
Belgium,1990,48.1
Belgium,1995,42
Belgium,2000,38.5
Belgium,2005,31.3
Belgium,2010,27.4
Belgium,2015,25.9
Belize,1990,109.7
Belize,1995,112.9
Belize,2000,108.4
Belize,2005,89.5
Belize,2010,69.6
Belize,2015,71.1
Benin,1990,261.9
Benin,1995,265.4
Benin,2000,272.5
Benin,2005,258.6
Benin,2010,255.2
Benin,2015,246.2
Bhutan,1990,224.7
Bhutan,1995,211.9
Bhutan,2000,180.5
Bhutan,2005,150.3
Bhutan,2010,129
Bhutan,2015,127.3
Bolivia,1990,166.3
Bolivia,1995,141.3
Bolivia,2000,121.5
Bolivia,2005,113.9
Bolivia,2010,91.9
Bolivia,2015,79.2
Bosnia and Herzegovina,1990,167.9
Bosnia and Herzegovina,1995,158.2
Bosnia and Herzegovina,2000,125.9
Bosnia and Herzegovina,2005,95.9
Bosnia and Herzegovina,2010,89
Bosnia and Herzegovina,2015,82.3
Botswana,1990,238.7
Botswana,1995,227.7
Botswana,2000,245.9
Botswana,2005,229.7
Botswana,2010,181.2
Botswana,2015,148.9
Brazil,1990,112.5
Brazil,1995,99.6
Brazil,2000,82.5
Brazil,2005,61
Brazil,2010,44.9
Brazil,2015,42
Brunei,1990,20.5
Brunei,1995,19.3
Brunei,2000,15.9
Brunei,2005,20.8
Brunei,2010,16.4
Brunei,2015,11.3
Bulgaria,1990,155.6
Bulgaria,1995,140
Bulgaria,2000,121.5
Bulgaria,2005,96.9
Bulgaria,2010,87.2
Bulgaria,2015,79.6
Burkina Faso,1990,254.4
Burkina Faso,1995,246.3
Burkina Faso,2000,247.1
Burkina Faso,2005,226.8
Burkina Faso,2010,216.4
Burkina Faso,2015,209.3
Burundi,1990,416.7
Burundi,1995,414.1
Burundi,2000,349.8
Burundi,2005,263.7
Burundi,2010,221
Burundi,2015,228.3
Cambodia,1990,266
Cambodia,1995,261.3
Cambodia,2000,247.4
Cambodia,2005,222.8
Cambodia,2010,191.3
Cambodia,2015,171.8
Cameroon,1990,260.9
Cameroon,1995,271.2
Cameroon,2000,295.7
Cameroon,2005,276.7
Cameroon,2010,250.8
Cameroon,2015,233.3
Canada,1990,25.2
Canada,1995,22.7
Canada,2000,19.7
Canada,2005,17.1
Canada,2010,13.3
Canada,2015,12.9
Cape Verde,1990,177.7
Cape Verde,1995,186.8
Cape Verde,2000,176.4
Cape Verde,2005,152.6
Cape Verde,2010,128.8
Cape Verde,2015,110.9
Central African Republic,1990,414.9
Central African Republic,1995,417.3
Central African Republic,2000,410.2
Central African Republic,2005,401.1
Central African Republic,2010,393.4
Central African Republic,2015,391.4
Chad,1990,241.7
Chad,1995,252.6
Chad,2000,289.9
Chad,2005,277.2
Chad,2010,274.5
Chad,2015,260.7
Chile,1990,75.1
Chile,1995,59.2
Chile,2000,44.6
Chile,2005,37.4
Chile,2010,33.2
Chile,2015,30.1
China,1990,273.3
China,1995,247.9
China,2000,221.9
China,2005,197.2
China,2010,151
China,2015,121
Colombia,1990,82.5
Colombia,1995,75.1
Colombia,2000,66.3
Colombia,2005,62.5
Colombia,2010,53.4
Colombia,2015,43.7
Comoros,1990,269.3
Comoros,1995,254.3
Comoros,2000,212.7
Comoros,2005,165.2
Comoros,2010,151.5
Comoros,2015,152.5
Congo,1990,389.1
Congo,1995,393.9
Congo,2000,363.5
Congo,2005,298.5
Congo,2010,270.5
Congo,2015,252.7
Costa Rica,1990,65.6
Costa Rica,1995,55.4
Costa Rica,2000,45.8
Costa Rica,2005,35
Costa Rica,2010,25
Costa Rica,2015,26.4
Cote d'Ivoire,1990,266.3
Cote d'Ivoire,1995,299.9
Cote d'Ivoire,2000,294.8
Cote d'Ivoire,2005,264
Cote d'Ivoire,2010,241.1
Cote d'Ivoire,2015,226.9
Croatia,1990,112.6
Croatia,1995,96.1
Croatia,2000,84.2
Croatia,2005,64.8
Croatia,2010,55.2
Croatia,2015,52.2
Cuba,1990,76.6
Cuba,1995,88
Cuba,2000,82
Cuba,2005,59.9
Cuba,2010,42.8
Cuba,2015,43.5
Cyprus,1990,49.7
Cyprus,1995,44.9
Cyprus,2000,38.4
Cyprus,2005,28.4
Cyprus,2010,24.6
Cyprus,2015,22.5
Czech Republic,1990,113
Czech Republic,1995,85.1
Czech Republic,2000,67.3
Czech Republic,2005,54.1
Czech Republic,2010,48.4
Czech Republic,2015,44.6
Denmark,1990,45.2
Denmark,1995,40.6
Denmark,2000,32.6
Denmark,2005,26.6
Denmark,2010,24
Denmark,2015,22.6
Djibouti,1990,145.5
Djibouti,1995,130
Djibouti,2000,138.9
Djibouti,2005,136
Djibouti,2010,133
