Entity,Year,Total population (Gapminder)
Afghanistan,1800,3280000
Afghanistan,1820,3280000
Afghanistan,1870,4207000
Afghanistan,1913,5730000
Afghanistan,1950,8151455
Afghanistan,1951,8276820
Afghanistan,1952,8407148
Afghanistan,1953,8542906
Afghanistan,1954,8684494
Afghanistan,1955,8832253
Afghanistan,1956,8986449
Afghanistan,1957,9147286
Afghanistan,1958,9314915
Afghanistan,1959,9489453
Afghanistan,1960,9671046
Afghanistan,1961,9859928
Afghanistan,1962,10056480
Afghanistan,1963,10261254
Afghanistan,1964,10474903
Afghanistan,1965,10697983
Afghanistan,1966,10927724
Afghanistan,1967,11163656
Afghanistan,1968,11411022
Afghanistan,1969,11676990
Afghanistan,1970,11964906
Afghanistan,1971,12273101
Afghanistan,1972,12593688
Afghanistan,1973,12915499
Afghanistan,1974,13223928
Afghanistan,1975,13505544
Afghanistan,1976,13766792
Afghanistan,1977,14003408
Afghanistan,1978,14179656
Afghanistan,1979,14249493
Afghanistan,1980,14185729
Afghanistan,1981,13984092
Afghanistan,1982,13672870
Afghanistan,1983,13300056
Afghanistan,1984,12931791
Afghanistan,1985,12625292
Afghanistan,1986,12372113
Afghanistan,1987,12183387
Afghanistan,1988,12156685
Afghanistan,1989,12414686
Afghanistan,1990,13032161
Afghanistan,1991,14069854
Afghanistan,1992,15472076
Afghanistan,1993,17053213
Afghanistan,1994,18553819
Afghanistan,1995,19789880
Afghanistan,1996,20684982
Afghanistan,1997,21299350
Afghanistan,1998,21752257
Afghanistan,1999,22227543
Afghanistan,2000,22856302
Afghanistan,2001,23677385
Afghanistan,2002,24639841
Afghanistan,2003,25678639
Afghanistan,2004,26693486
Afghanistan,2005,27614718
Afghanistan,2006,28420974
Afghanistan,2007,29145841
Afghanistan,2008,29839994
Afghanistan,2009,30577756
Afghanistan,2010,31411743
Afghanistan,2011,32358260
Afghanistan,2012,33397058
Afghanistan,2013,34499915
Albania,1700,300000
Albania,1800,410445
Albania,1820,437000
Albania,1850,500000
Albania,1870,603000
Albania,1890,726000
Albania,1900,800000
Albania,1910,874000
Albania,1913,898000
