Entity,Year,population_closed_aut,population_electoral_aut,population_electoral_dem,population_liberal_dem,population_missing_data
World,1855,1070859552,84639361,0,2442355,131402818
World,1856,1069233685,87531315,0,2455213,132265342
World,1857,1069268881,88865876,0,2468139,133141000
World,1858,1079360952,79110316,0,3619471,134030071
World,1859,1079354686,80848059,0,3711534,134960505
World,1860,1078943769,83326384,0,3796042,137089068
World,1861,1084325309,80345262,0,3871952,136948248
World,1862,1084409918,82992279,0,3938125,138006702
World,1863,1086237579,85958515,0,3993315,137366878
World,1864,1088809360,86506509,0,4049793,138484905
World,1865,1057292539,121202796,0,4107592,139620401
World,1866,1064792985,116940556,0,4166751,140773780
World,1867,1065518412,119519433,0,4227308,141945449
World,1868,1033083661,139705938,0,4289302,158753001
World,1869,1030280398,146295205,0,4350511,160113888
World,1870,992346235,188647022,0,4410839,162750176
World,1871,998484486,187487232,0,4470190,162744039
World,1872,998241119,193413534,0,4528458,164008038
World,1873,1006236448,191720349,0,4585535,165236122
World,1874,1024677052,141230756,38412539,4643570,166477258
World,1875,1026800678,145511215,38461370,4702578,167731604
World,1876,1031384855,148282556,38510260,4762580,168117251
World,1877,1039308805,146879893,38559209,4823595,169390894
World,1878,1040543997,152222550,38608217,4885643,170678599
World,1879,1047098429,151432751,38664188,4953116,173308023
World,1880,1047744634,158424465,38727144,5026354,176076056
World,1881,1053282631,161104421,38797107,5105711,175964074
World,1882,1055008159,168181928,38874098,5191558,177303579
World,1883,1065139567,167431938,38958140,5284280,178650635
World,1884,1069285799,172787696,39042361,5379915,180011723
World,1885,1077463043,167803417,39126760,5478561,187872582
World,1886,1075931872,176556259,39211339,5580325,191816098
World,1887,1089276474,172462197,39912699,5685314,193273086
World,1888,1096239532,175468127,40012950,5793641,194745561
World,1889,1103436689,178104698,40105103,5899570,196137139
World,1890,1111772974,179481878,40189112,6002745,199015278
World,1891,1118203059,182605015,40264930,6102789,198676995
World,1892,1123612823,190024789,40332510,6199307,196393022
World,1893,1132852837,188853051,40391803,6291885,198636659
World,1894,1121825704,209256887,40451408,6385931,199713539
World,1895,1127490403,204089780,40511329,12875979,203430152
World,1896,1150604278,190471733,40571572,13035423,204572677
World,1897,1154994240,195710615,40632141,13197018,205731224
World,1898,1141849963,218595820,40693044,13360793,206906058
World,1899,1152027766,225338299,40756003,6877634,208220150
World,1900,1250966829,222361408,40821076,13695858,119559851
World,1901,1257464926,228208911,40888319,13867172,118356315
World,1902,1267897124,230208212,40957793,16666822,116834431
World,1903,1277529511,234258744,41029557,16874470,117320523
World,1904,1288320072,238105137,41183513,17084758,116953924
World,1905,1296041600,242879329,41257547,17297719,118996856
World,1906,1309802837,240692830,43653601,17513386,119832130
World,1907,1320118817,243766978,43744565,17731796,121374698
World,1908,1331738853,245702401,43836343,17952984,122969626
World,1909,1339403985,251326994,43871463,18159102,124306204
World,1910,1342939382,261157693,43850166,18350046,127026305
World,1911,1341907701,272170075,43772694,18525713,128544501
World,1912,1352165174,278119831,43639283,18686005,125380659
World,1913,1359757776,282750619,42353992,19926997,125671803
World,1914,1398595162,287167358,42147875,12583555,102637639
World,1915,1407637648,295318753,41943364,12747059,98302203
World,1916,1427773297,291751005,46609583,8044158,94673461
World,1917,1327200988,405267293,46506827,8114604,94763464
World,1918,973307573,773810465,52801721,19862038,75255245
World,1919,910672374,752687855,108064633,67140287,70479160
World,1920,886978986,747326125,155128770,67586879,69196665
World,1921,1362191936,149704687,284824366,75481321,67385516
World,1922,1363802294,153464804,293246130,81693524,63764879
World,1923,1391758741,136822505,298343365,81948321,64184242
World,1924,1439651996,102291898,301654226,82207958,64610307
World,1925,1452368103,103136236,301504511,86000057,65043181
World,1926,1483923399,111207880,279199459,86131699,65482944
World,1927,1510575488,101330746,279987348,86273792,65929696
World,1928,1525022069,101540888,283171279,86426192,66383544
World,1929,1540969341,101095257,286085961,86650720,66882189
World,1930,1602231838,67963277,276989939,86945958,69936366
World,1931,1585328770,102422639,279099364,87310525,68015288
World,1932,1576150428,93519367,304835914,87743066,81268750
World,1933,1591662616,173093566,230415954,88242256,82126036
World,1934,1689168327,99334637,228695473,88744858,81893498
World,1935,1702679315,115443665,229992232,89250897,73046863
World,1936,1716805749,121733914,231292368,89760403,73774967
World,1937,1735765078,148565644,207555391,90273399,74512354
World,1938,1748882162,156803813,208607879,90789921,75259132
World,1939,1790049783,108835231,197748419,91328954,115134051
World,1940,1866300315,113891423,159585076,70886801,116694124
World,1941,1884852778,116129338,161402340,71295141,111108937
World,1942,1900470518,115483903,163450942,71721114,112760634
World,1943,1926228340,108095575,161770188,72165160,113499676
World,1944,1971438354,104514802,164044017,72613366,87049381
World,1945,1853490353,200423304,173177850,73065790,117256403
World,1946,1421003051,666267800,175539888,90595467,81642396
World,1947,1393626937,610628584,231149938,141036185,77604187
World,1948,1772998727,249012107,234316393,141882420,76438443
World,1949,1797809631,244213710,234597515,216660299,7540614
World,1950,1762035443,306073249,239013080,217752268,11731768
World,1951,1411408726,701040463,242113961,218937442,10533631
World,1952,1380619213,299313351,634355365,305902556,10671203
World,1953,1430559385,282914741,644802308,308501916,10830709
World,1954,1452724361,294333718,655725936,311060654,11002082
World,1955,1400624811,379035563,668585136,313595373,11179032
World,1956,1410593083,324927834,752463790,323098933,11359613
World,1957,1395009549,374636557,766427122,325687104,11545723
World,1958,1385039273,503374097,697177772,328352785,11742751
World,1959,1406630125,512175096,717674609,331137834,11958479
World,1960,1429632790,528140469,730900350,334076179,12410392
World,1961,1557179987,446106390,744189813,337182402,7184914
World,1962,1646198229,397791843,758623092,340441917,7365678
World,1963,1607205209,470671106,781765084,343806679,7552863
World,1964,1642410406,458825226,817805706,347207268,7729665
World,1965,1706083639,442580130,832447119,350587982,7884639
World,1966,1761569938,428052334,853803944,356484045,8012369
World,1967,1810913957,430365236,869537677,359834729,8118503
World,1968,1847683590,446831607,885745085,363122424,8216726
World,1969,1903023627,446391014,693934640,574005213,8326470
World,1970,1964069950,439888336,655485967,632530783,8710640
World,1971,1895428907,563377910,670748338,637855227,8349648
World,1972,1958404659,556044253,685611373,643103624,8486676
World,1973,1918162052,664424003,688343029,648216764,8634670
World,1974,1938776318,659683185,733528585,653111885,18694205
World,1975,1924293871,1342124488,136221810,657735338,19104966
World,1976,2010413499,1340787145,88470122,695460615,19535443
World,1977,2027070715,741752085,731298450,709401629,19983038
World,1978,2072637762,712378632,785236139,713840250,20440814
World,1979,2006965568,831349315,803138332,718153256,20899709
World,1980,1966464138,951675819,796109318,722402394,21623283
World,1981,2095427669,872309250,820851382,726605505,21802810
World,1982,2218793080,815507167,830063952,730770085,22252240
World,1983,2253903810,839117025,810519152,773349612,22679585
World,1984,2291945234,829811043,861461770,777735234,23058231
World,1985,2287407967,893941966,884022414,782175379,23373939
World,1986,2103390631,1136876490,906973762,789716578,23610537
World,1987,2153096521,1014278382,1067036472,794324930,23785689
World,1988,2175556639,896708968,1250167385,799032712,23960288
World,1989,2160689889,972624220,1273011502,806898450,24217372
World,1990,2093389689,1009216304,1334486371,865524274,24912440
World,1991,1928556496,1153265018,1424057778,883233668,25176422
World,1992,1907385170,974093183,1702859486,888701370,25880682
World,1993,1911449793,1146385853,1560183337,936901772,26676841
World,1994,1825951393,1224501246,1657285065,942870555,12542167
World,1995,1780004752,1247999219,1754683860,948742158,12782940
World,1996,1739594034,1181655856,1877876361,1012736421,13029255
World,1997,1722364771,1230478653,1919596807,1019326528,13278888
World,1998,1739394019,1241812829,1964863417,1025815001,12908806
World,1999,1796099468,996220600,2221092460,1037682192,13144310
World,2000,1823737580,992281450,2247950115,1066163865,13643611
World,2001,1844803649,1020689790,2270719138,1072859515,13840367
World,2002,1729233939,1292702970,2186519707,1079588784,14016810
World,2003,1741809194,1339378530,2178976999,1107132489,14180080
World,2004,1741101689,1466031802,2124423930,1115556578,14340654
World,2005,1721045094,1549017449,2134516397,1123120545,14505845
World,2006,1666849204,1663730137,2145499443,1133062388,14678229
World,2007,1886538984,1493836525,2170151716,1140869318,14854696
World,2008,1671736410,1692400889,2261541765,1148685917,15031399
World,2009,1702257117,1766316160,2232935507,1156366991,15202033
World,2010,1699036582,1655067139,2431807987,1155863699,15362114
World,2011,1649863170,1778260754,2434810935,1163063543,15511089
World,2012,1570748178,1701956981,2667813001,1169974172,15652345
World,2013,1691871990,1769966657,2607793100,1125484886,15783524
World,2014,1692980405,1743259245,2710042396,1133426617,15901602
World,2015,1703418802,1822469936,2737155002,1101068511,16005619
World,2016,1834514027,1741507926,2809251591,1062978133,16092555
World,2017,1846209504,1771188450,2819316059,1095302086,16166490
World,2018,1857623674,1923906940,2743798422,1089845401,15916673
World,2019,1890023497,3366181370,1365568207,1075683551,16011578
World,2020,1909939094,3366054285,1435304399,1067360224,16140723
