Entity,Year,population_closed_aut,population_electoral_aut,population_electoral_dem,population_liberal_dem,population_missing_data
World,1800,805811988,22000000,0,0,156929163
World,1801,809728760,22309844,0,0,155589718
World,1802,812600666,22624318,0,0,155873754
World,1803,815500140,22943493,0,0,156166627
World,1804,816749928,23267444,0,0,158145868
World,1805,819705387,23596247,0,0,158456410
World,1806,822689289,23929977,0,0,158775801
World,1807,826591453,24268712,0,0,158214577
World,1808,829631778,24612534,0,0,158553201
World,1809,841368549,24961521,0,0,150233796
World,1810,847043637,25735756,0,0,149850804
World,1811,851565151,26528763,0,0,149393555
World,1812,856335315,27491242,0,0,149804579
World,1813,862446848,28634039,0,0,149362802
World,1814,869929847,29833433,0,0,147664012
World,1815,893099160,31092484,0,0,130394462
World,1816,898706099,32414425,0,0,130803989
World,1817,906074618,33802669,0,0,129569783
World,1818,911906799,35260822,0,0,129990931
World,1819,916895626,36581099,0,0,131281150
World,1820,921848247,37752758,0,0,133346417
World,1821,932812466,40020835,0,0,126498276
World,1822,938259740,40894941,0,0,127099102
World,1823,930614854,55376475,0,0,127523463
World,1824,943951677,43646032,0,0,133278460
World,1825,950844647,44379591,0,0,133118722
World,1826,961617048,45128383,0,0,129215757
World,1827,967584855,45892783,0,0,130207208
World,1828,973626891,46673172,0,0,131215359
World,1829,979204567,47455046,0,0,132238771
World,1830,986498584,47535918,0,0,132585357
World,1831,992003018,54386141,0,0,125877567
World,1832,992284346,59072867,0,0,126859085
World,1833,997515856,58305255,0,0,127853884
World,1834,1003205077,59211186,0,0,126778602
World,1835,1005598716,61365871,0,0,127812434
World,1836,994576576,76981832,0,0,128864178
World,1837,996274385,79924136,0,0,129934200
World,1838,1001727147,79801814,0,0,130379656
World,1839,1019551986,81114056,0,0,116946757
World,1840,1043216653,62010356,0,0,118891683
World,1841,1050031288,61438797,0,0,117351404
World,1842,1046396677,69533004,0,0,118404072
World,1843,1050172773,70135176,0,0,119478288
World,1844,1053990041,70891449,0,0,120438427
World,1845,1057684826,71704405,0,0,121547197
World,1846,1068988490,64974119,0,0,122674854
World,1847,1065517317,72733546,0,0,124173857
World,1848,1027572315,115739366,0,0,124988324
World,1849,1031134530,112982153,0,2361968,126916283
World,1850,1033406003,113981619,0,2376868,128933680
World,1851,1069563759,80145209,0,2390857,128944286
World,1852,1071021050,81191228,0,2404184,128988661
World,1853,1071119009,82153427,0,2416841,129716080
World,1854,1070877588,83457566,0,2429565,130553144
