Entity,Year,Total wealth,Produced capital (including urban land),"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,"Land (crop, pasture)",Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, total male","Human capital, total female",Net foreign assets,Adjusted net national income,Adjusted net saving,Gross domestic product,Gross national income
East Asia & Pacific,1995,78011.30,15049.75,6407.92,5788.81,486.73,1101.71,387.56,3812.81,3085.95,726.86,619.11,464.25,347.86,31.17,86.29,154.86,56828.89,38639.27,18189.61,-275.27,3846.05,507.19,4627.88,4604.39
East Asia & Pacific,2000,85103.37,18672.47,6950.65,6362.23,374.20,1051.91,462.96,4473.15,3649.53,823.62,588.42,413.68,347.37,25.19,42.23,174.74,59380.02,39803.00,19577.03,100.24,4302.05,759.79,5263.04,5247.19
East Asia & Pacific,2005,90819.12,23823.79,8788.03,7191.18,290.43,1017.48,608.22,5275.06,4166.56,1108.49,1596.85,1175.39,532.67,66.55,578.01,421.46,57499.90,38882.15,18617.75,707.40,5183.66,1094.09,6371.55,6371.60
East Asia & Pacific,2010,118807.49,31541.47,13179.12,8498.30,399.50,971.11,709.53,6418.15,5076.02,1342.12,4680.82,2805.80,760.83,128.23,1919.64,1875.02,72468.28,47330.49,25137.79,1618.62,6422.25,1497.83,8102.18,8130.98
East Asia & Pacific,2014,140786.72,39184.56,14739.26,9871.72,375.31,956.19,900.42,7639.80,5981.87,1657.93,4867.54,2703.36,742.00,154.90,1809.49,2164.18,85078.97,55411.25,29667.72,1783.94,7544.08,1655.88,9631.60,9690.29
East Asia & Pacific (developing countries),1995,31261.05,5201.58,5721.77,5180.18,505.86,331.54,392.57,3950.21,3292.26,657.95,541.59,473.00,367.53,29.90,75.58,68.59,20770.87,12629.36,8141.50,-433.18,1476.41,359.34,1718.82,1688.13
East Asia & Pacific (developing countries),2000,37507.34,7294.32,6330.00,5852.74,383.34,320.76,474.19,4674.47,3888.48,785.99,477.26,406.40,353.29,23.02,30.09,70.86,24193.36,14416.71,9776.65,-310.34,1849.79,379.39,2234.80,2201.10
East Asia & Pacific (developing countries),2005,44096.82,10713.76,8165.88,6783.37,290.57,321.52,627.17,5544.11,4451.76,1092.34,1382.51,1156.94,552.70,63.03,541.20,225.57,25085.78,15938.33,9147.45,131.40,2628.19,761.24,3228.06,3207.02
East Asia & Pacific (developing countries),2010,71423.50,16945.22,12177.26,8250.81,405.31,319.06,731.05,6795.39,5443.30,1352.09,3926.45,2725.96,766.50,114.38,1845.08,1200.49,41612.11,25546.11,16066.01,688.91,3911.77,1257.91,5008.86,5003.76
East Asia & Pacific (developing countries),2014,91581.02,24017.84,13771.66,9782.50,385.79,315.91,940.77,8140.03,6432.90,1707.13,3989.16,2680.35,776.63,147.33,1756.39,1308.81,53387.05,33043.77,20343.28,404.48,4991.23,1436.40,6520.86,6520.92
Europe & Central Asia,1995,280322.64,90557.94,13886.75,10118.95,584.37,1421.78,1257.73,6855.07,3749.93,3105.14,3767.80,3614.22,1767.24,1556.47,306.52,153.58,176534.96,108648.04,67886.92,-657.00,16130.11,1678.63,19642.74,19585.94
Europe & Central Asia,2000,301280.44,95220.23,13535.90,9432.95,554.87,1445.16,1459.73,5973.20,3095.62,2877.58,4102.95,3998.88,2531.79,1354.29,133.68,104.06,193916.37,119633.74,74282.63,-1392.06,19016.56,2327.16,22496.45,22538.05
Europe & Central Asia,2005,329477.26,106041.79,17028.64,9016.57,544.87,1451.13,1521.70,5498.88,2935.75,2563.13,8012.07,7705.70,4621.49,2662.65,459.74,306.37,208334.07,127156.50,81177.57,-1927.23,20970.12,2662.94,25017.44,25101.93
Europe & Central Asia,2010,356911.30,119124.64,19335.67,8831.11,473.84,1453.91,1572.04,5331.31,2875.63,2455.68,10504.56,9216.87,5985.36,2386.79,890.72,1287.69,221080.49,133931.50,87148.99,-2629.50,21880.81,2387.46,26245.18,26289.96
Europe & Central Asia,2014,368232.90,122870.25,19376.67,9347.56,468.07,1446.96,1703.72,5728.80,3058.64,2670.16,10029.11,8714.48,5955.71,2201.75,601.80,1314.63,227581.23,138410.96,89170.26,-1595.24,22484.89,2466.82,27093.67,27010.49
Europe & Central Asia (developing countries),1995,51967.09,23547.47,14699.22,12347.15,328.48,516.90,324.86,11176.90,6127.62,5049.28,2352.07,2149.29,642.80,1077.81,428.68,202.78,14559.64,8741.13,5818.51,-839.24,3136.61,204.91,3735.57,3677.99
Europe & Central Asia (developing countries),2000,47275.89,20506.90,12427.26,10747.73,268.54,521.27,351.45,9606.47,4732.08,4874.38,1679.53,1533.77,849.69,548.59,135.49,145.76,15987.81,9690.16,6297.65,-1646.08,3503.28,131.10,4240.43,4159.07
Europe & Central Asia (developing countries),2005,56494.42,22950.35,14845.95,10320.83,218.57,530.35,544.03,9027.89,4628.96,4398.93,4525.12,4067.28,2462.86,1120.41,484.01,457.83,20565.65,12008.59,8557.06,-1867.53,4684.03,363.66,5638.42,5505.85
Europe & Central Asia (developing countries),2010,66066.17,26115.37,18760.01,10316.56,200.73,532.50,647.38,8935.93,4579.23,4356.71,8443.45,6855.18,4611.08,1314.07,930.03,1588.28,24064.12,14143.39,9920.74,-2873.33,5682.53,443.65,6742.32,6551.73
Europe & Central Asia (developing countries),2014,70529.78,27760.36,19978.29,11563.08,232.59,529.13,892.28,9909.08,5015.13,4893.95,8415.21,6833.15,4858.91,1340.81,633.43,1582.06,26115.66,15473.08,10642.57,-3324.52,6322.60,574.89,7566.94,7386.59
High income: non-OECD,1995,165884.11,68725.65,34140.47,9435.28,945.52,1888.69,2040.92,4560.15,2667.41,1892.74,24705.19,24424.20,20060.97,3948.36,414.87,281.00,59375.97,34095.87,25280.10,3642.02,6457.63,-356.46,9713.58,9158.90
High income: non-OECD,2000,165560.73,51475.23,37788.89,9305.41,871.89,1817.33,2407.05,4209.14,2270.64,1938.50,28483.48,28264.66,24229.06,3801.69,233.91,218.82,69451.04,40542.69,28908.35,6845.57,7811.81,1063.36,10815.40,9802.28
High income: non-OECD,2005,199484.64,49684.31,57889.98,9779.23,922.18,1741.08,2480.31,4635.67,2665.45,1970.21,48110.75,47500.90,39450.50,7308.94,741.46,609.85,84507.29,48211.03,36296.25,7403.06,10621.88,1976.88,13469.08,13247.62
High income: non-OECD,2010,245512.79,54769.14,74088.58,8736.41,670.18,1644.32,2149.35,4272.56,2409.79,1862.78,65352.17,62988.94,54857.39,6783.59,1347.97,2363.23,107517.68,60232.25,47285.43,9137.39,12909.04,2332.81,15789.12,15467.56
High income: non-OECD,2014,264998.14,59095.86,80104.47,8030.62,601.95,1567.29,1851.41,4009.97,2309.61,1700.36,72073.85,69858.00,61935.38,7076.14,846.48,2215.85,111792.78,63044.44,48748.34,14005.04,14734.45,2332.85,18461.07,18133.58
High income: OECD,1995,551184.37,126197.86,13535.29,11376.44,681.60,4778.62,1101.13,4815.10,2570.02,2245.08,2158.85,1706.65,754.37,454.23,498.05,452.20,412757.08,262596.09,150160.99,-1305.86,28282.81,3200.28,33879.35,33687.97
High income: OECD,2000,617801.27,145414.64,13321.33,10921.60,630.01,4670.69,1175.77,4445.13,2494.21,1950.92,2399.73,1974.83,750.46,622.31,602.06,424.90,461959.38,293873.91,168085.48,-2894.09,32614.18,3974.21,38746.98,38953.04
High income: OECD,2005,655227.86,168508.30,14793.27,10200.21,532.73,4544.82,1096.63,4026.04,2271.71,1754.32,4593.06,3779.07,1385.01,1232.41,1161.64,813.99,474872.07,295595.64,179276.42,-2945.79,35128.98,3675.74,41833.42,42127.37
High income: OECD,2010,674542.32,185602.77,19241.82,10734.92,521.16,4413.10,1323.26,4477.41,2639.97,1837.44,8506.90,5521.22,2090.41,1102.46,2328.35,2985.68,472946.49,289478.02,183468.47,-3248.77,35428.32,2738.06,42509.89,42832.73
High income: OECD,2014,709915.86,195928.60,19525.08,11513.90,499.62,4365.55,1600.40,5048.33,3017.02,2031.31,8011.18,4516.67,2049.48,344.93,2122.26,3494.51,499926.65,306254.57,193672.08,-5464.47,37123.13,3626.82,44255.21,44875.06
Latin America & Caribbean,1995,112288.47,25468.54,17849.13,14803.87,698.11,5474.82,1575.74,7055.21,3214.53,3840.68,3045.26,2258.15,2170.45,79.73,12.52,787.11,70897.94,43050.12,27847.83,-1927.14,6108.51,559.72,7038.97,6904.45
Latin America & Caribbean,2000,113674.74,25714.61,16284.59,13553.84,546.78,4939.94,1724.61,6342.51,3061.79,3280.72,2730.75,2093.55,2021.56,73.70,2.44,637.20,74398.19,42798.39,31599.79,-2722.65,6245.88,417.20,7505.05,7253.87
