Entity,Year,Public Expenditure on Education (Tanzi & Schuktnecht (2000))
Australia,1937,0.7
Australia,1960,1.4
Australia,1980,5.5
Australia,1993,6
Austria,1937,2.5
Austria,1960,2.9
Austria,1980,5.6
Austria,1993,5.5
Belgium,1913,1.2
Belgium,1960,4.6
Belgium,1980,6.1
Belgium,1993,5.6
Canada,1960,4.6
Canada,1980,6.9
Canada,1993,7.6
France,1870,0.3
France,1913,1.5
France,1937,1.3
France,1960,2.4
France,1980,5
France,1993,5.8
Germany,1870,1.3
Germany,1913,2.7
Germany,1960,2.9
Germany,1980,4.7
Germany,1993,4.8
Ireland,1937,3.3
Ireland,1960,3.2
Ireland,1980,6.6
Ireland,1993,6.4
Italy,1913,0.6
Italy,1937,1.6
Italy,1960,3.6
Italy,1980,4.4
Italy,1993,5.2
Japan,1870,1
Japan,1913,1.6
Japan,1937,2.1
Japan,1960,4.1
Japan,1980,5.8
Japan,1993,4.7
Netherlands,1937,1.5
Netherlands,1960,4.9
Netherlands,1980,7.6
Netherlands,1993,5.5
New Zealand,1937,2.3
New Zealand,1960,3.2
New Zealand,1980,5.8
New Zealand,1993,7.3
Norway,1870,0.5
Norway,1913,1.4
Norway,1937,1.9
Norway,1960,4.2
Norway,1980,7.2
Norway,1993,9.2
Spain,1913,0.4
Spain,1937,1.6
Spain,1960,1.3
Spain,1980,2.6
Spain,1993,4.7
Sweden,1960,5.1
Sweden,1980,9
Sweden,1993,8.4
Switzerland,1960,3.1
Switzerland,1980,5
Switzerland,1993,5.6
United Kingdom,1870,0.1
United Kingdom,1913,1.1
United Kingdom,1937,4
United Kingdom,1960,4.3
United Kingdom,1980,5.6
United Kingdom,1993,5.4
United States,1960,4
United States,1993,5.5
