Entity,Year,Burden of Depressive Disorders (Ferrari et al. (2013))
Afghanistan,2010,22.5
Albania,2010,5.17
Algeria,2010,7.34
Andorra,2010,6.49
Angola,2010,5.03
Antigua and Barbuda,2010,7.07
Argentina,2010,5.16
Armenia,2010,4.99
"Asia Pacific, High Income",2010,2.54
"Asia, Central",2010,4.93
"Asia, East",2010,3
"Asia, South",2010,4.06
"Asia, Southeast",2010,4.9
Australasia,2010,3.32
Australia,2010,3.05
Austria,2010,5.01
Azerbaijan,2010,4.19
Bahamas,2010,5.42
Bahrain,2010,8.62
Bangladesh,2010,3.35
Barbados,2010,5.32
Belarus,2010,6.56
Belgium,2010,3.98
Belize,2010,5.41
Benin,2010,3.92
Bhutan,2010,3.83
Bolivia,2010,3.94
Bosnia and Herzegovina,2010,3.56
Botswana,2010,7.42
Brazil,2010,5.47
Brunei,2010,4.36
Bulgaria,2010,4.58
Burkina Faso,2010,3.95
Burundi,2010,6.06
Cambodia,2010,4.88
Cameroon,2010,4.39
Canada,2010,4.35
Cape Verde,2010,5.02
Caribbean,2010,5.16
Central African Republic,2010,5.71
Chad,2010,5.16
Chile,2010,3.99
China,2010,3.02
Colombia,2010,6.31
Comoros,2010,5.78
Congo,2010,6.45
Costa Rica,2010,4.68
Cote d'Ivoire,2010,5.05
Croatia,2010,7.06
Cuba,2010,5.84
Cyprus,2010,5.75
Czech Republic,2010,3.23
Democratic Republic of Congo,2010,5.79
Denmark,2010,5.07
Djibouti,2010,6.7
Dominica,2010,5.4
Dominican Republic,2010,4.48
Ecuador,2010,4.38
Egypt,2010,5.29
El Salvador,2010,5.38
Equatorial Guinea,2010,7.05
Eritrea,2010,6.61
Estonia,2010,6.75
Ethiopia,2010,3.61
"Europe, Central",2010,4.09
"Europe, Eastern",2010,5.88
"Europe, Western",2010,4.66
Fiji,2010,3.46
Finland,2010,5.98
France,2010,4.8
Gabon,2010,7.2
Gambia,2010,5.07
Georgia,2010,4.88
Germany,2010,4.85
Ghana,2010,4.38
Global,2010,4.37
Greece,2010,4.87
Grenada,2010,5.41
Guatemala,2010,5.35
Guinea,2010,4.45
Guinea-Bissau,2010,3.91
Guyana,2010,6.29
Haiti,2010,4.84
Honduras,2010,9.22
Hungary,2010,3.31
Iceland,2010,4.74
India,2010,4.06
Indonesia,2010,4.9
Iran,2010,7
Iraq,2010,4.48
Ireland,2010,4.05
Israel,2010,4.58
Italy,2010,4.84
Jamaica,2010,4.79
Japan,2010,2.46
Jordan,2010,7.73
Kazakhstan,2010,4.19
Kenya,2010,5.15
Kiribati,2010,5.73
Kuwait,2010,7.51
Kyrgyzstan,2010,4.79
Laos,2010,5.81
"Latin America, Andean",2010,4.58
"Latin America, Central",2010,4.4
"Latin America, Southern",2010,4.8
"Latin America, Tropical",2010,5.5
Latvia,2010,6.21
Lebanon,2010,5.27
Lesotho,2010,6.28
Liberia,2010,4.6
Libya,2010,9.27
Lithuania,2010,4.79
Luxembourg,2010,6.55
Macedonia,2010,5.23
Madagascar,2010,5.11
Malawi,2010,5.77
Malaysia,2010,5.57
Maldives,2010,5.08
Mali,2010,5.72
Malta,2010,6.58
Marshall Islands,2010,5.71
Mauritania,2010,4.99
Mauritius,2010,5.13
Mexico,2010,2.96
Micronesia (country),2010,4.36
Moldova,2010,4.39
Mongolia,2010,4.78
Montenegro,2010,6.02
Morocco,2010,6.85
Mozambique,2010,4.58
Myanmar,2010,5.16
Namibia,2010,5
Nepal,2010,3.04
Netherlands,2010,8.03
New Zealand,2010,4.65
Nicaragua,2010,5.15
Niger,2010,4.38
Nigeria,2010,3.69
North Africa/Middle East,2010,7.35
"North America, High Income",2010,4.44
North Korea,2010,2.61
Norway,2010,5.94
Oceania,2010,4.72
Oman,2010,5.25
Pakistan,2010,4.83
Palestine,2010,9.01
Panama,2010,4.66
Papua New Guinea,2010,5.02
Paraguay,2010,6.39
Peru,2010,4.89
Philippines,2010,5.22
Poland,2010,3.91
Portugal,2010,4.32
Qatar,2010,7.99
Romania,2010,4.28
Russia,2010,6.52
Rwanda,2010,7.31
Saint Lucia,2010,4.25
Saint Vincent and the Grenadines,2010,5.36
Samoa,2010,4.37
Sao Tome and Principe,2010,6.51
Saudi Arabia,2010,5.9
Senegal,2010,4.47
Serbia,2010,4.01
Seychelles,2010,5.21
Sierra Leone,2010,5.65
Singapore,2010,5.74
Slovakia,2010,3.6
Slovenia,2010,4.52
Solomon Islands,2010,3.44
Somalia,2010,6.34
South Africa,2010,4.55
South Korea,2010,2.48
Spain,2010,4.33
Sri Lanka,2010,4.73
"Sub-Saharan Africa, Central",2010,5.7
"Sub-Saharan Africa, East",2010,5.43
"Sub-Saharan Africa, Southern",2010,5.01
"Sub-Saharan Africa, West",2010,4.18
Sudan,2010,7.09
Suriname,2010,5.37
Swaziland,2010,5.76
Sweden,2010,4.76
Switzerland,2010,6.16
Syria,2010,7.02
Taiwan,2010,2.5
Tajikistan,2010,4.98
Tanzania,2010,6.35
Thailand,2010,5.2
Timor,2010,5.96
Togo,2010,4.49
Tonga,2010,4.43
Trinidad and Tobago,2010,5.5
Tunisia,2010,7.07
Turkey,2010,6.74
Turkmenistan,2010,6.19
Uganda,2010,6.35
Ukraine,2010,3.91
United Arab Emirates,2010,8.12
United Kingdom,2010,3.12
United States,2010,4.45
Uruguay,2010,4.65
Uzbekistan,2010,5.48
Vanuatu,2010,4.4
Venezuela,2010,5.06
Vietnam,2010,3.99
Yemen,2010,7.11
Zambia,2010,5.8
Zimbabwe,2010,6.5
