Entity,Year,Forest Transition Phase
Angola,2010,2
Antigua and Barbuda,2010,3
Argentina,2010,3
Bahamas,2010,1
Bangladesh,2010,3
Belize,2010,2
Benin,2010,3
Bhutan,2010,1
Bolivia,2010,2
Botswana,2010,2
Brazil,2010,2
Burkina Faso,2010,2
Burundi,2010,3
Cambodia,2010,2
Cameroon,2010,2
Cape Verde,2010,4
Central African Republic,2010,2
Chad,2010,3
Chile,2010,4
China,2010,4
Colombia,2010,1
Comoros,2010,3
Congo,2010,1
Costa Rica,2010,4
Cote d'Ivoire,2010,4
Cuba,2010,4
Democratic Republic of Congo,2010,1
Dominica,2010,3
Dominican Republic,2010,3
Ecuador,2010,2
El Salvador,2010,3
Equatorial Guinea,2010,2
Eritrea,2010,3
Ethiopia,2010,3
Fiji,2010,2
Gabon,2010,1
Gambia,2010,4
Ghana,2010,3
Guatemala,2010,2
Guinea,2010,2
Guinea-Bissau,2010,2
Guyana,2010,1
Haiti,2010,3
Honduras,2010,3
India,2010,4
Indonesia,2010,2
Jamaica,2010,2
Kenya,2010,3
Laos,2010,2
Lesotho,2010,4
Liberia,2010,2
Madagascar,2010,2
Malawi,2010,2
Malaysia,2010,2
Mali,2010,3
Mauritania,2010,3
Mauritius,2010,2
Mexico,2010,3
Micronesia,2010,1
Mozambique,2010,2
Myanmar,2010,3
Namibia,2010,3
Nepal,2010,3
Nicaragua,2010,2
Niger,2010,3
Nigeria,2010,3
Pakistan,2010,3
Palau,2010,1
Panama,2010,3
Papua New Guinea,2010,2
Paraguay,2010,2
Peru,2010,1
Philippines,2010,4
Rwanda,2010,4
Saint Lucia,2010,1
Saint Vincent and the Grenadines,2010,2
Samoa,2010,1
Sao Tome and Principe,2010,3
Senegal,2010,2
Sierra Leone,2010,2
Singapore,2010,3
Solomon Islands,2010,2
Somalia,2010,3
South Africa,2010,3
Sri Lanka,2010,2
Sudan,2010,3
Suriname,2010,1
Swaziland,2010,4
Tanzania,2010,2
Thailand,2010,4
Timor,2010,2
Togo,2010,3
Trinidad and Tobago,2010,2
Uganda,2010,2
Uruguay,2010,4
Vanuatu,2010,3
Venezuela,2010,2
Vietnam,2010,4
Zambia,2010,2
Zimbabwe,2010,2
