Entity,Year,Year of Maternal Neonatal Tetanus (MNT) elimination
Afghanistan,0,endemic
Angola,0,endemic
Bangladesh,0,eliminate
Benin,0,eliminate
Burkina Faso,0,eliminate
Burundi,0,eliminate
Cambodia,0,eliminate
Cameroon,0,eliminate
Central African Republic,0,endemic
Chad,0,eliminate
China,0,eliminate
Comoros,0,eliminate
Congo,0,eliminate
Cote d'Ivoire,0,eliminate
Democratic Republic of Congo,0,eliminate
Egypt,0,eliminate
Equatorial Guinea,0,eliminate
Eritrea,0,eliminate
Ethiopia,0,eliminate
Gabon,0,eliminate
Ghana,0,eliminate
Guinea,0,endemic
Guinea-Bissau,0,eliminate
Haiti,0,eliminate
India,0,eliminate
Indonesia,0,eliminate
Iraq,0,eliminate
Kenya,0,eliminate
Laos,0,eliminate
Liberia,0,eliminate
Madagascar,0,eliminate
Malawi,0,eliminate
Mali,0,endemic
Mauritania,0,eliminate
Morocco,0,eliminate
Mozambique,0,eliminate
Myanmar,0,eliminate
Namibia,0,eliminate
Nepal,0,eliminate
Niger,0,eliminate
Nigeria,0,endemic
Pakistan,0,endemic
Papua New Guinea,0,endemic
Philippines,0,eliminate
Rwanda,0,eliminate
Senegal,0,eliminate
Sierra Leone,0,eliminate
Somalia,0,endemic
South Africa,0,eliminate
South Sudan,0,endemic
Sudan,0,endemic
Tanzania,0,eliminate
Timor,0,eliminate
Togo,0,eliminate
Turkey,0,eliminate
Uganda,0,eliminate
Vietnam,0,eliminate
Yemen,0,endemic
Zambia,0,eliminate
Zimbabwe,0,eliminate
