Entity,Year,Gini coefficient (World Bank (2016))
Albania,1996,27.01
Albania,2002,32.46
Albania,2005,30.6
Albania,2008,29.98
Albania,2012,28.96
Algeria,1995,35.33
Angola,2000,51.96
Angola,2008,42.72
Argentina,1986,42.79
Argentina,1987,45.28
Argentina,1991,46.76
Argentina,1992,45.47
Argentina,1993,44.86
Argentina,1994,45.92
Argentina,1995,48.9
Argentina,1996,49.52
Argentina,1997,49.11
Argentina,1998,50.73
Argentina,1999,49.79
Argentina,2000,51.06
Argentina,2001,53.34
Argentina,2002,53.79
Argentina,2003,53.54
Argentina,2004,50.18
Argentina,2005,49.27
Argentina,2006,48.26
Argentina,2007,47.37
Argentina,2008,46.27
Argentina,2009,45.27
Argentina,2010,44.5
Argentina,2011,43.57
Argentina,2012,42.49
Argentina,2013,42.28
Armenia,1996,44.42
Armenia,1999,36.22
Armenia,2001,35.37
Armenia,2002,34.78
Armenia,2003,33.03
Armenia,2004,37.51
Armenia,2005,35.99
Armenia,2006,32.49
Armenia,2007,29.83
Armenia,2008,30.71
Armenia,2009,29.58
Armenia,2010,31.07
Armenia,2011,31.32
Armenia,2012,30.48
Armenia,2013,31.54
Australia,1981,31.33
Australia,1985,32.5
Australia,1989,33.15
Australia,1995,33.72
Australia,2001,34.14
Australia,2003,34.01
Australia,2008,35.63
Australia,2010,34.94
Austria,2004,29.87
Austria,2005,28.72
Austria,2006,29.59
Austria,2007,30.58
Austria,2008,30.45
Austria,2009,31.5
Austria,2010,30.25
Austria,2011,30.8
Austria,2012,30.48
Azerbaijan,1995,34.65
Azerbaijan,2001,36.45
Azerbaijan,2002,17.36
Azerbaijan,2003,18.81
Azerbaijan,2004,16.23
Azerbaijan,2005,16.64
Bangladesh,1983,25.88
Bangladesh,1985,26.92
Bangladesh,1988,28.85
Bangladesh,1991,27.57
Bangladesh,1995,32.94
Bangladesh,2000,33.06
Bangladesh,2005,32.73
Bangladesh,2010,31.98
Belarus,1988,22.76
Belarus,1993,21.6
Belarus,1995,28.76
Belarus,1998,30.67
Belarus,1999,31.31
Belarus,2000,29.72
Belarus,2001,30.97
Belarus,2002,30.18
Belarus,2003,29.52
Belarus,2004,26.59
