Entity,Year,Oil & Gas Employees (US Bureau of Labor Statistics (2017))
United States,1975,150.7166667
United States,1976,156.5083333
United States,1977,164.9583333
United States,1978,176.9583333
United States,1979,191.9916667
United States,1980,218.5333333
United States,1981,253.1166667
United States,1982,264.6083333
United States,1983,255.675
United States,1984,251.9666667
United States,1985,244.7416667
United States,1986,216.5916667
United States,1987,197.9916667
United States,1988,194.5083333
United States,1989,190.9583333
United States,1990,190.275
United States,1991,191
United States,1992,182.0833333
United States,1993,170.8166667
United States,1994,162.425
United States,1995,151.7583333
United States,1996,146.9833333
United States,1997,144.0666667
United States,1998,140.7333333
United States,1999,131.2333333
United States,2000,124.9083333
United States,2001,123.775
United States,2002,121.9583333
United States,2003,120.1083333
United States,2004,123.3
United States,2005,125.7416667
United States,2006,134.6
United States,2007,146.1416667
United States,2008,160.3916667
United States,2009,159.9083333
United States,2010,158.85
United States,2011,172.075
United States,2012,187.2083333
United States,2013,193.425
United States,2014,197.525
United States,2015,193.4833333
United States,2016,180.1083333
United States,2017,178.55
