Entity,Year,CO2 from gas (CDIAC (2017))
Africa,1884,0
Africa,1885,0
Africa,1886,0
Africa,1887,0
Africa,1888,0
Africa,1889,0
Africa,1890,0
Africa,1891,0
Africa,1892,0
Africa,1893,0
Africa,1894,0
Africa,1895,0
Africa,1896,0
Africa,1897,0
Africa,1898,0
Africa,1899,0
Africa,1900,0
Africa,1901,0
Africa,1902,0
Africa,1903,0
Africa,1904,0
Africa,1905,0
Africa,1906,0
Africa,1907,0
Africa,1908,0
Africa,1909,0
Africa,1910,0
Africa,1911,0
Africa,1912,0
Africa,1913,0
Africa,1914,0
Africa,1915,0
Africa,1916,0
Africa,1917,0
Africa,1918,0
Africa,1919,0
Africa,1920,0
Africa,1921,0
Africa,1922,0
Africa,1923,0
Africa,1924,0
Africa,1925,0
Africa,1926,0
Africa,1927,0
Africa,1928,0
Africa,1929,0
Africa,1930,0
Africa,1931,0
Africa,1932,0
Africa,1933,0
Africa,1934,0
Africa,1935,0
Africa,1936,0
Africa,1937,0
Africa,1938,0
Africa,1939,0.1101
Africa,1940,0.09175
Africa,1941,0.09909
Africa,1942,0.10643
Africa,1943,0.11744
Africa,1944,0.13212
Africa,1945,0.13579
Africa,1946,0.13579
Africa,1947,0.13579
Africa,1948,0.13946
Africa,1949,0.13946
Africa,1950,0.00367
Africa,1951,0.00367
Africa,1952,0.00734
Africa,1953,0.01468
Africa,1954,0.02202
Africa,1955,0.02202
Africa,1956,0.02936
Africa,1957,0.02202
Africa,1958,0.01835
Africa,1959,0.0367
Africa,1960,0.04771
Africa,1961,0.49912
Africa,1962,0.74134
Africa,1963,0.71932
Africa,1964,1.45332
Africa,1965,2.12493
Africa,1966,2.36348
Africa,1967,2.32311
Africa,1968,2.36715
Africa,1969,2.89563
Africa,1970,0.81841
Africa,1971,1.69554
Africa,1972,4.42235
Africa,1973,5.36921
Africa,1974,5.11965
Africa,1975,6.43351
Africa,1976,8.89975
Africa,1977,13.54597
Africa,1978,34.49066
Africa,1979,19.68955
Africa,1980,34.68884
Africa,1981,29.44808
Africa,1982,24.02382
Africa,1983,30.47935
Africa,1984,47.64761
Africa,1985,48.92844
Africa,1986,58.45209
Africa,1987,67.98308
Africa,1988,69.06573
Africa,1989,71.52096
Africa,1990,76.08277
Africa,1991,78.60039
Africa,1992,74.49733
Africa,1993,82.05753
Africa,1994,85.93305
Africa,1995,101.92324
Africa,1996,108.39712
Africa,1997,95.61451
Africa,1998,113.52778
Africa,1999,115.24167
Africa,2000,116.14082
Africa,2001,120.91182
Africa,2002,139.02694
Africa,2003,140.54632
Africa,2004,149.72132
Africa,2005,181.34938
Africa,2006,179.83734
Africa,2007,194.76323
Africa,2008,196.71567
Africa,2009,194.6568
Africa,2010,202.09589
Africa,2011,222.769
Africa,2012,234.12765
Africa,2013,228.54558
Asia,1858,0
Asia,1859,0
Asia,1860,0
Asia,1861,0
Asia,1862,0
Asia,1863,0
Asia,1864,0
Asia,1865,0
Asia,1866,0
Asia,1867,0
Asia,1868,0
Asia,1869,0
Asia,1870,0
Asia,1871,0
Asia,1872,0
Asia,1873,0
Asia,1874,0
Asia,1875,0
Asia,1876,0
Asia,1877,0
Asia,1878,0
Asia,1879,0
Asia,1880,0
Asia,1881,0
Asia,1882,0
Asia,1883,0
Asia,1884,0
Asia,1885,0
Asia,1886,0
Asia,1887,0
Asia,1888,0
Asia,1889,0
Asia,1890,0
Asia,1891,0
Asia,1892,0
Asia,1893,0
Asia,1894,0
Asia,1895,0
Asia,1896,0
Asia,1897,0
Asia,1898,0
Asia,1899,0
Asia,1900,0
Asia,1901,0
Asia,1902,0
Asia,1903,0
Asia,1904,0
Asia,1905,0
Asia,1906,0
Asia,1907,0
Asia,1908,0
Asia,1909,0
Asia,1910,0.14313
Asia,1911,0.15047
Asia,1912,0.33397
Asia,1913,0.42205
Asia,1914,0.65693
Asia,1915,0.55417
Asia,1916,0.53215
Asia,1917,0.71565
Asia,1918,0.93218
Asia,1919,0.80373
Asia,1920,1.25881
Asia,1921,1.31753
Asia,1922,1.64783
Asia,1923,1.7983
Asia,1924,1.78729
Asia,1925,1.72123
Asia,1926,1.91941
Asia,1927,2.06988
Asia,1928,2.33412
Asia,1929,2.46257
Asia,1930,0.2202
Asia,1931,0.16148
Asia,1932,0.09909
Asia,1933,0.11377
Asia,1934,0.06973
Asia,1935,0.12845
Asia,1936,0.14313
Asia,1937,0.81841
Asia,1938,2.3488
Asia,1939,1.5414
Asia,1940,1.83867
Asia,1941,2.39651
Asia,1942,2.96169
Asia,1943,3.40209
Asia,1944,4.10306
Asia,1945,4.66824
Asia,1946,5.15268
Asia,1947,5.23709
Asia,1948,5.9821
Asia,1949,8.19878
Asia,1950,9.51264
Asia,1951,9.63375
Asia,1952,9.90533
Asia,1953,10.56226
Asia,1954,12.53672
Asia,1955,13.67075
Asia,1956,15.13508
Asia,1957,16.44894
Asia,1958,17.58664
Asia,1959,15.94615
Asia,1960,19.06932
Asia,1961,22.44572
Asia,1962,27.46261
Asia,1963,32.79512
Asia,1964,38.17534
Asia,1965,42.63806
Asia,1966,49.76887
Asia,1967,55.77666
Asia,1968,57.84654
Asia,1969,63.15336
Asia,1970,62.58451
Asia,1971,67.58672
Asia,1972,69.88781
Asia,1973,86.18261
Asia,1974,95.54111
Asia,1975,100.20935
Asia,1976,114.36821
Asia,1977,122.86793
Asia,1978,133.34945
Asia,1979,160.2689
Asia,1980,175.64987
Asia,1981,197.21112
Asia,1982,222.40567
Asia,1983,244.80368
Asia,1984,286.25266
Asia,1985,312.36471
Asia,1986,337.06014
Asia,1987,314.86398
Asia,1988,361.76291
Asia,1989,359.04344
Asia,1990,396.88481
Asia,1991,431.50759
Asia,1992,458.40502
Asia,1993,494.90317
Asia,1994,521.0299
Asia,1995,559.92456
Asia,1996,602.6507
Asia,1997,654.15548
Asia,1998,710.35052
Asia,1999,800.44902
Asia,2000,857.83681
Asia,2001,894.06705
Asia,2002,952.84944
Europe,1751,0
Europe,1752,0
Europe,1753,0
Europe,1754,0
Europe,1755,0
Europe,1756,0
Europe,1757,0
Europe,1758,0
Europe,1759,0
Europe,1760,0
Europe,1761,0
Europe,1762,0
Europe,1763,0
Europe,1764,0
Europe,1765,0
Europe,1766,0
Europe,1767,0
Europe,1768,0
Europe,1769,0
Europe,1770,0
Europe,1771,0
Europe,1772,0
Europe,1773,0
Europe,1774,0
Europe,1775,0
Europe,1776,0
Europe,1777,0
Europe,1778,0
Europe,1779,0
Europe,1780,0
Europe,1781,0
Europe,1782,0
Europe,1783,0
Europe,1784,0
Europe,1785,0
Europe,1786,0
Europe,1787,0
Europe,1788,0
Europe,1789,0
Europe,1790,0
Europe,1791,0
Europe,1792,0
Europe,1793,0
Europe,1794,0
Europe,1795,0
Europe,1796,0
Europe,1797,0
Europe,1798,0
Europe,1799,0
Europe,1800,0
Europe,1801,0
Europe,1802,0
Europe,1803,0
Europe,1804,0
Europe,1805,0
Europe,1806,0
Europe,1807,0
Europe,1808,0
Europe,1809,0
Europe,1810,0
Europe,1811,0
Europe,1812,0
Europe,1813,0
Europe,1814,0
Europe,1815,0
Europe,1816,0
Europe,1817,0
Europe,1818,0
Europe,1819,0
Europe,1820,0
Europe,1821,0
Europe,1822,0
Europe,1823,0
Europe,1824,0
Europe,1825,0
Europe,1826,0
Europe,1827,0
Europe,1828,0
Europe,1829,0
Europe,1830,0
Europe,1831,0
Europe,1832,0
Europe,1833,0
Europe,1834,0
Europe,1835,0
Europe,1836,0
Europe,1837,0
Europe,1838,0
Europe,1839,0
Europe,1840,0
Europe,1841,0
Europe,1842,0
Europe,1843,0
Europe,1844,0
Europe,1845,0
Europe,1846,0
Europe,1847,0
Europe,1848,0
Europe,1849,0
Europe,1850,0
Europe,1851,0
Europe,1852,0
Europe,1853,0
Europe,1854,0
Europe,1855,0
Europe,1856,0
Europe,1857,0
Europe,1858,0
Europe,1859,0
Europe,1860,0
Europe,1861,0
Europe,1862,0
Europe,1863,0
Europe,1864,0
Europe,1865,0
Europe,1866,0
Europe,1867,0
Europe,1868,0
Europe,1869,0
Europe,1870,0
Europe,1871,0
Europe,1872,0
Europe,1873,0
Europe,1874,0
Europe,1875,0
Europe,1876,0
Europe,1877,0
Europe,1878,0
Europe,1879,0
Europe,1880,0
Europe,1881,0
Europe,1882,0
Europe,1883,0
Europe,1884,0
Europe,1885,0
Europe,1886,0
Europe,1887,0
Europe,1888,0
Europe,1889,0
Europe,1890,0
Europe,1891,0
Europe,1892,0
Europe,1893,0
Europe,1894,0
Europe,1895,0
Europe,1896,0
Europe,1897,0
Europe,1898,0
Europe,1899,0
Europe,1900,0
Europe,1901,0
Europe,1902,0.00367
Europe,1903,0.00367
Europe,1904,0.00367
Europe,1905,0.00367
Europe,1906,0.01101
Europe,1907,0.01101
Europe,1908,0.01101
Europe,1909,0.01468
Europe,1910,0.01468
Europe,1911,0.01468
Europe,1912,0.01101
Europe,1913,0.05505
Europe,1914,0.04037
Europe,1915,0.04771
Europe,1916,0.15047
