Entity,Year,Global Hunger Index (IFPRI 2017)
Afghanistan,1992,50.2
Afghanistan,2000,52.7
Afghanistan,2008,37.9
Afghanistan,2017,33.3
Albania,1992,20.8
Albania,2000,21.6
Albania,2008,16.5
Albania,2017,11.1
Algeria,1992,17.5
Algeria,2000,15.6
Algeria,2008,11.3
Algeria,2017,9.5
Angola,1992,65.8
Angola,2000,57.5
Angola,2008,39.7
Angola,2017,32.5
Argentina,1992,7
Argentina,2000,6.6
Argentina,2008,5.8
Argentina,2017,5.4
Armenia,2000,18.4
Armenia,2008,11.4
Armenia,2017,7.7
Azerbaijan,2000,27.5
Azerbaijan,2008,15.3
Azerbaijan,2017,9.6
Bangladesh,1992,53.6
Bangladesh,2000,37.6
Bangladesh,2008,32.2
Bangladesh,2017,26.5
Belarus,2000,2.5
Belarus,2008,2.5
Belarus,2017,2.5
Benin,1992,44.5
Benin,2000,37.5
Benin,2008,31.7
Benin,2017,24.4
Bolivia,1992,36.7
Bolivia,2000,30.3
Bolivia,2008,23.9
Bolivia,2017,17.2
Bosnia and Herzegovina,2000,9.8
Bosnia and Herzegovina,2008,7
Bosnia and Herzegovina,2017,2.5
Botswana,1992,33.8
Botswana,2000,33
Botswana,2008,30.7
Botswana,2017,24.4
Brazil,1992,15.9
Brazil,2000,11.7
Brazil,2008,5.4
Brazil,2017,5.4
Bulgaria,1992,7.9
Bulgaria,2000,8.2
Bulgaria,2008,7.6
Bulgaria,2017,5.4
Burkina Faso,1992,47
Burkina Faso,2000,47.9
Burkina Faso,2008,36.4
Burkina Faso,2017,27.6
Cambodia,1992,45.8
Cambodia,2000,43.6
Cambodia,2008,27.1
Cambodia,2017,22.2
Cameroon,1992,40
Cameroon,2000,39.6
Cameroon,2008,29.5
Cameroon,2017,22.1
Central African Republic,1992,52.2
Central African Republic,2000,50.9
Central African Republic,2008,47
Central African Republic,2017,50.9
Chad,1992,62.5
Chad,2000,51.9
Chad,2008,50.9
Chad,2017,43.5
Chile,1992,5.9
Chile,2000,2.5
Chile,2008,2.5
Chile,2017,2.5
China,1992,25.9
China,2000,15.8
China,2008,11.2
China,2017,7.5
Colombia,1992,14.6
Colombia,2000,11.3
Colombia,2008,9.4
Colombia,2017,8
Congo,1992,39.1
Congo,2000,36
Congo,2008,31.6
Congo,2017,25.6
Costa Rica,1992,7.5
Costa Rica,2000,6.2
Costa Rica,2008,5
Costa Rica,2017,5.3
Cote d'Ivoire,1992,32.9
Cote d'Ivoire,2000,32.6
Cote d'Ivoire,2008,35.1
Cote d'Ivoire,2017,26.5
Croatia,2000,6.2
Croatia,2008,2.5
Croatia,2017,2.5
Cuba,1992,10.5
Cuba,2000,5.3
Cuba,2008,2.5
Cuba,2017,2.5
Djibouti,1992,60.3
Djibouti,2000,46.7
Djibouti,2008,35.1
Djibouti,2017,31.4
Dominican Republic,1992,23.8
Dominican Republic,2000,18.4
Dominican Republic,2008,15.4
Dominican Republic,2017,11.6
Ecuador,1992,22.3
