Entity,Year,Share of services in total exports (WDI)
Afghanistan,1979,13.20324
Afghanistan,1980,4.80562
Afghanistan,1981,4.41400
Afghanistan,1982,6.47463
Afghanistan,1983,6.38407
Afghanistan,1984,4.06771
Afghanistan,1985,5.98623
Afghanistan,1986,5.56717
Afghanistan,1987,6.19885
Afghanistan,1988,13.29767
Afghanistan,1989,3.14779
Afghanistan,2008,69.79246
Afghanistan,2009,80.83199
Afghanistan,2010,84.30794
Afghanistan,2011,86.53998
Afghanistan,2012,73.66400
Afghanistan,2013,66.16689
Afghanistan,2014,67.35610
Afghanistan,2015,55.55452
Albania,1980,2.88284
Albania,1981,2.79070
Albania,1982,3.53793
Albania,1983,3.67232
Albania,1984,4.60389
Albania,1985,4.70958
Albania,1986,4.88848
Albania,1987,6.68666
Albania,1988,7.91021
Albania,1989,9.26481
Albania,1990,8.90837
Albania,1991,11.19221
Albania,1992,22.48062
Albania,1993,41.01480
Albania,1994,35.88929
Albania,1995,32.53210
Albania,1996,34.64736
Albania,1997,8.53290
Albania,1998,26.58791
Albania,1999,76.45699
Albania,2000,82.83138
Albania,2001,83.36372
Albania,2002,87.23283
Albania,2003,88.10583
Albania,2004,88.07567
Albania,2005,86.71129
Albania,2006,88.03898
Albania,2007,85.39851
Albania,2008,83.34079
Albania,2009,86.81323
Albania,2010,77.82438
Albania,2011,74.52475
Albania,2012,68.39632
Albania,2013,62.06226
Albania,2014,66.76965
Albania,2015,72.47478
Albania,2016,77.05887
Algeria,1977,4.56913
Algeria,1978,4.88746
Algeria,1979,4.70429
Algeria,1980,3.37170
Algeria,1981,3.24753
Algeria,1982,3.76191
Algeria,1983,5.06122
Algeria,1984,4.47168
Algeria,1985,3.91760
Algeria,1986,6.37699
Algeria,1987,5.89323
Algeria,1988,5.81352
Algeria,1989,4.94293
Algeria,1990,3.69870
Algeria,1991,3.08765
Algeria,2005,5.13298
Algeria,2006,4.47438
Algeria,2007,4.48325
Algeria,2008,4.26989
Algeria,2009,6.10018
Algeria,2010,5.75919
Algeria,2011,4.72303
Algeria,2012,4.98614
Algeria,2013,5.50042
Algeria,2014,5.59580
Algeria,2015,9.14801
Angola,1985,5.30864
Angola,1986,7.93434
Angola,1987,3.85093
Angola,1988,4.88550
Angola,1989,4.74083
Angola,1990,2.71766
Angola,1991,4.73126
Angola,1992,3.59334
Angola,1993,3.51928
Angola,1994,4.74296
Angola,1995,2.94747
Angola,1996,4.99116
Angola,1997,2.69255
Angola,1998,3.32442
Angola,1999,2.88125
Angola,2000,3.26429
Angola,2001,3.00587
Angola,2002,2.42295
Angola,2003,2.07105
Angola,2004,2.33927
Angola,2005,0.72809
Angola,2006,4.45095
Angola,2007,0.69500
Angola,2008,0.51282
Angola,2009,1.50346
Angola,2010,1.66540
Angola,2011,1.07618
Angola,2012,1.08526
Angola,2013,1.89141
Angola,2014,2.76304
Angola,2015,3.64768
Antigua and Barbuda,1977,78.91373
Antigua and Barbuda,1978,70.07126
Antigua and Barbuda,1979,76.09562
Antigua and Barbuda,1980,42.84342
Antigua and Barbuda,1981,50.52935
Antigua and Barbuda,1982,51.18812
Antigua and Barbuda,1983,63.24270
Antigua and Barbuda,1984,78.95995
Antigua and Barbuda,1985,84.15453
Antigua and Barbuda,1986,84.68637
Antigua and Barbuda,1987,88.41171
Antigua and Barbuda,1988,89.38236
Antigua and Barbuda,1989,89.98257
Antigua and Barbuda,1990,90.31974
Antigua and Barbuda,1991,85.07455
Antigua and Barbuda,1992,81.58742
Antigua and Barbuda,1993,85.86465
Antigua and Barbuda,1994,89.81620
Antigua and Barbuda,1995,86.76707
Antigua and Barbuda,1996,90.55125
Antigua and Barbuda,1997,91.45612
Antigua and Barbuda,1998,92.18001
Antigua and Barbuda,1999,91.98964
Antigua and Barbuda,2000,88.78598
Antigua and Barbuda,2001,89.97390
Antigua and Barbuda,2002,92.13786
Antigua and Barbuda,2003,90.33259
Antigua and Barbuda,2004,89.31387
Antigua and Barbuda,2005,84.83865
Antigua and Barbuda,2006,86.50128
Antigua and Barbuda,2007,89.80136
Antigua and Barbuda,2008,89.54446
Antigua and Barbuda,2009,90.96529
Antigua and Barbuda,2010,91.27293
Antigua and Barbuda,2011,89.55828
Antigua and Barbuda,2012,89.09757
Antigua and Barbuda,2013,87.86863
Arab World,1977,8.36619
Arab World,1978,9.73773
Arab World,1979,9.57931
Arab World,1980,7.72493
Arab World,1981,8.89098
Arab World,1982,10.22720
Arab World,1983,12.69441
Arab World,1984,13.74267
Arab World,1985,15.64156
Arab World,1986,19.80349
Arab World,1987,19.06934
Arab World,1988,21.18122
Arab World,1989,17.67625
Arab World,1990,15.95210
Arab World,1991,16.52862
Arab World,1992,18.07295
Arab World,1993,19.28801
Arab World,1994,19.66445
Arab World,1995,18.47226
Arab World,1996,16.96444
Arab World,1997,17.65361
Arab World,1998,23.45180
Arab World,1999,21.06306
Arab World,2000,15.31253
Arab World,2001,16.71256
Arab World,2002,16.79015
Arab World,2003,17.46072
Arab World,2004,16.23605
Arab World,2005,14.20022
Arab World,2006,14.08437
Arab World,2007,14.52318
Arab World,2008,12.20713
Arab World,2009,17.27118
Arab World,2010,14.81703
Arab World,2011,11.10102
Arab World,2012,10.06210
Arab World,2013,10.08556
Arab World,2014,11.58667
Arab World,2015,17.68279
Argentina,1976,15.41451
Argentina,1977,14.40473
Argentina,1978,14.51656
Argentina,1979,14.91448
Argentina,1980,18.95524
Argentina,1981,15.80256
Argentina,1982,17.11428
Argentina,1983,15.66200
Argentina,1984,15.72157
Argentina,1985,16.43277
Argentina,1986,18.90165
Argentina,1987,22.00147
Argentina,1988,18.07337
Argentina,1989,18.63845
Argentina,1990,16.52703
Argentina,1991,16.73850
Argentina,1992,19.32033
Argentina,1993,18.56521
Argentina,1994,17.19907
Argentina,1995,15.28504
Argentina,1996,15.44483
Argentina,1997,14.78166
Argentina,1998,15.50830
Argentina,1999,16.82132
Argentina,2000,15.68567
Argentina,2001,14.74689
Argentina,2002,11.77167
Argentina,2003,12.77263
Argentina,2004,13.00002
Argentina,2005,13.77214
Argentina,2006,14.39876
Argentina,2007,15.31961
Argentina,2008,14.44103
Argentina,2009,16.06389
Argentina,2010,16.38002
Argentina,2011,15.56731
Argentina,2012,15.80462
Argentina,2013,16.08352
Argentina,2014,16.72294
Argentina,2015,19.72016
Armenia,1993,9.96138
Armenia,1994,5.96891
Armenia,1995,9.41968
Armenia,1996,21.01692
Armenia,1997,30.18273
Armenia,1998,35.24883
Armenia,1999,36.00491
Armenia,2000,30.91637
Armenia,2001,34.27987
Armenia,2002,25.81845
Armenia,2003,26.15295
Armenia,2004,31.05678
Armenia,2005,29.48557
Armenia,2006,36.05597
Armenia,2007,38.82367
Armenia,2008,43.08131
Armenia,2009,50.38704
Armenia,2010,45.83192
Armenia,2011,47.79492
Armenia,2012,48.05496
Armenia,2013,48.16493
Armenia,2014,48.83397
Armenia,2015,48.22782
Armenia,2016,45.99095
Aruba,1986,88.00726
Aruba,1987,85.20960
Aruba,1988,78.87343
Aruba,1989,76.57372
Aruba,1990,72.55424
Aruba,1991,34.97582
Aruba,1992,34.81933
Aruba,1993,34.35316
Aruba,1994,32.49579
Aruba,1995,32.43417
Aruba,1996,30.76032
Aruba,1997,32.07377
Aruba,1998,43.38639
Aruba,1999,77.40460
Aruba,2000,87.07369
Aruba,2001,90.49159
Aruba,2002,84.55262
Aruba,2003,90.98182
Aruba,2004,26.73518
Aruba,2005,22.84761
Aruba,2006,21.72554
Aruba,2007,22.03157
Aruba,2008,22.70749
Aruba,2009,44.07504
Aruba,2010,85.50259
Aruba,2011,24.49965
Aruba,2012,55.92255
Aruba,2013,87.09203
Aruba,2014,88.73500
Aruba,2015,86.20181
Australia,1989,19.64059
Australia,1990,20.71218
Australia,1991,20.86006
Australia,1992,21.36101
Australia,1993,22.74207
Australia,1994,23.53432
Australia,1995,24.04518
Australia,1996,24.20665
Australia,1997,23.01652
Australia,1998,23.63480
Australia,1999,25.11399
Australia,2000,23.75225
Australia,2001,21.95364
Australia,2002,22.96740
Australia,2003,25.05931
Australia,2004,24.17176
Australia,2005,22.19530
Australia,2006,20.98779
Australia,2007,22.12174
