Entity,Year,Death rate from ambient PM2.5 air pollution (State of Global Air (2017))
Afghanistan,1990,268
Afghanistan,1995,271
Afghanistan,2000,277
Afghanistan,2005,249
Afghanistan,2010,244
Afghanistan,2015,232
Albania,1990,58
Albania,1995,50
Albania,2000,47
Albania,2005,39
Albania,2010,41
Albania,2015,43
Algeria,1990,64
Algeria,1995,59
Algeria,2000,54
Algeria,2005,47
Algeria,2010,41
Algeria,2015,46
Andorra,1990,19
Andorra,1995,17
Andorra,2000,15
Andorra,2005,14
Andorra,2010,13
Andorra,2015,13
Angola,1990,146
Angola,1995,138
Angola,2000,134
Angola,2005,118
Angola,2010,106
Angola,2015,109
Antigua and Barbuda,1990,42
Antigua and Barbuda,1995,41
Antigua and Barbuda,2000,37
Antigua and Barbuda,2005,34
Antigua and Barbuda,2010,28
Antigua and Barbuda,2015,28
Argentina,1990,48
Argentina,1995,44
Argentina,2000,43
Argentina,2005,39
Argentina,2010,37
Argentina,2015,34
Armenia,1990,80
Armenia,1995,81
Armenia,2000,77
Armenia,2005,76
Armenia,2010,72
Armenia,2015,62
Australia,1990,23
Australia,1995,19
Australia,2000,16
Australia,2005,12
Australia,2010,9
Australia,2015,9
Austria,1990,44
Austria,1995,39
Austria,2000,34
Austria,2005,27
Austria,2010,23
Austria,2015,23
Azerbaijan,1990,135
Azerbaijan,1995,121
Azerbaijan,2000,116
Azerbaijan,2005,97
Azerbaijan,2010,97
Azerbaijan,2015,81
Bahamas,1990,56
Bahamas,1995,47
Bahamas,2000,44
Bahamas,2005,37
Bahamas,2010,28
Bahamas,2015,30
Bahrain,1990,108
Bahrain,1995,96
Bahrain,2000,85
Bahrain,2005,65
Bahrain,2010,51
Bahrain,2015,46
Bangladesh,1990,130
Bangladesh,1995,126
Bangladesh,2000,125
Bangladesh,2005,136
Bangladesh,2010,136
Bangladesh,2015,133
Barbados,1990,43
Barbados,1995,42
Barbados,2000,36
Barbados,2005,30
Barbados,2010,26
Barbados,2015,27
Belarus,1990,105
Belarus,1995,108
Belarus,2000,104
Belarus,2005,94
Belarus,2010,86
Belarus,2015,82
Belgium,1990,47
Belgium,1995,41
Belgium,2000,37
Belgium,2005,30
Belgium,2010,26
Belgium,2015,25
Belize,1990,66
Belize,1995,74
Belize,2000,76
Belize,2005,62
Belize,2010,48
Belize,2015,53
Benin,1990,121
Benin,1995,122
Benin,2000,125
Benin,2005,110
Benin,2010,106
Benin,2015,96
Bhutan,1990,108
Bhutan,1995,104
Bhutan,2000,91
Bhutan,2005,89
Bhutan,2010,81
Bhutan,2015,83
Bolivia,1990,82
Bolivia,1995,76
Bolivia,2000,69
Bolivia,2005,71
Bolivia,2010,57
Bolivia,2015,54
Bosnia and Herzegovina,1990,89
Bosnia and Herzegovina,1995,84
Bosnia and Herzegovina,2000,70
Bosnia and Herzegovina,2005,55
Bosnia and Herzegovina,2010,48
