Entity,Year,Deaths in civil conflicts,Deaths in colonial or imperial conflicts,Deaths in civil conflicts with foreign state intervention,Deaths in conflicts between states,Deaths in all state-based conflict types,"Deaths in colonial or imperial conflicts per 100,000","Deaths in conflicts between states per 100,000","Deaths in civil conflicts per 100,000","Deaths in civil conflicts with foreign state intervention per 100,000","Deaths in all state-based conflict types per 100,000"
Africa,1946,0,0,0,0,0,NA,NA,NA,NA,NA
Africa,1947,0,9566,0,0,9566,NA,NA,NA,NA,NA
Africa,1948,0,0,0,0,0,NA,NA,NA,NA,NA
Africa,1949,0,0,0,0,0,NA,NA,NA,NA,NA
Africa,1950,0,0,0,0,0,NA,NA,NA,NA,NA
Africa,1951,0,0,0,0,0,NA,NA,NA,NA,NA
Africa,1952,0,2591,0,0,2591,NA,NA,NA,NA,NA
Africa,1953,0,2903.5,0,0,2903.5,NA,NA,NA,NA,NA
Africa,1954,0,24033.5,0,0,24033.5,NA,NA,NA,NA,NA
Africa,1955,0,24033.5,0,0,24033.5,NA,NA,NA,NA,NA
Africa,1956,0,23783.5,0,0,23783.5,NA,NA,NA,NA,NA
Africa,1957,0,24456,0,0,24456,NA,NA,NA,NA,NA
Africa,1958,0,24493,0,0,24493,NA,NA,NA,NA,NA
Africa,1959,0,24181,0,0,24181,NA,NA,NA,NA,NA
Africa,1960,1348,20281,115000,512,137141,NA,NA,NA,NA,NA
Africa,1961,116015,25923,0,1394,143332,NA,NA,NA,NA,NA
Africa,1962,592,25923,0,0,26515,NA,NA,NA,NA,NA
Africa,1963,3250,7006,0,500,10756,NA,NA,NA,NA,NA
Africa,1964,12758.5,9232.5,30,413.5,22434.5,NA,NA,NA,NA,NA
Africa,1965,12808.5,9233,0,0,22041.5,NA,NA,NA,NA,NA
Africa,1966,11651.5,9482.5,0,0,21134,NA,NA,NA,NA,NA
Africa,1967,26899,9512.5,0,0,36411.5,NA,NA,NA,NA,NA
Africa,1968,40637.5,9534.5,0,0,50172,NA,NA,NA,NA,NA
Africa,1969,39126.5,9484,1511,0,50121.5,NA,NA,NA,NA,NA
Africa,1970,12514.5,9484,1511,0,23509.5,NA,NA,NA,NA,NA
Africa,1971,10584.5,9484,1511,0,21579.5,NA,NA,NA,NA,NA
Africa,1972,10294.5,10361.5,1511,0,22167,NA,NA,NA,NA,NA
Africa,1973,7347.5,10361.5,0,37.5,17746.5,NA,NA,NA,NA,NA
Africa,1974,11565.5,8120,0,0,19685.5,NA,NA,NA,NA,NA
Africa,1975,13819.5,0,5882,0,19701.5,NA,NA,NA,NA,NA
Africa,1976,16988.5,0,14148,0,31136.5,NA,NA,NA,NA,NA
Africa,1977,20076.5,0,13361,0,33437.5,NA,NA,NA,NA,NA
Africa,1978,27870.5,0,14360,512,42742.5,NA,NA,NA,NA,NA
Africa,1979,25246,0,8318,0,33564,NA,NA,NA,NA,NA
Africa,1980,15324,0,22762,0,38086,NA,NA,NA,NA,NA
Africa,1981,19632.5,0,23416.5,0,43049,NA,NA,NA,NA,NA
Africa,1982,36268.5,0,6394,0,42662.5,NA,NA,NA,NA,NA
Africa,1983,39089.5,0,7905,1121,48115.5,NA,NA,NA,NA,NA
Africa,1984,59533.5,0,7393,0,66926.5,NA,NA,NA,NA,NA
Africa,1985,33371.5,0,31882,180,65433.5,NA,NA,NA,NA,NA
Africa,1986,34721.5,0,33395,0,68116.5,NA,NA,NA,NA,NA
Africa,1987,20650.5,0,33395,8800,62845.5,NA,NA,NA,NA,NA
Africa,1988,30832.5,0,8883,0,39715.5,NA,NA,NA,NA,NA
Africa,1989,30587,0,3959,0,34546,NA,NA,NA,NA,NA
Africa,1990,62136,0,2703,0,64839,NA,NA,NA,NA,NA
Africa,1991,24927,0,552,0,25479,NA,NA,NA,NA,NA
Africa,1992,6669,0,218,0,6887,NA,NA,NA,NA,NA
Africa,1993,14649,0,415,0,15064,NA,NA,NA,NA,NA
Africa,1994,8303,0,628,0,8931,NA,NA,NA,NA,NA
Africa,1995,5206,0,1472,0,6678,NA,NA,NA,NA,NA
Africa,1996,5755,0,1874,56,7685,NA,NA,NA,NA,NA
Africa,1997,7931,0,15198,0,23129,NA,NA,NA,NA,NA
Africa,1998,11864,0,10410,1000,23274,NA,NA,NA,NA,NA
Africa,1999,4795,0,9204,47192,61191,NA,NA,NA,NA,NA
Africa,2000,7024,0,2676,50000,59700,NA,NA,NA,NA,NA
Africa,2001,8823,0,1772,0,10595,NA,NA,NA,NA,NA
Africa,2002,6580,0,637,0,7217,NA,NA,NA,NA,NA
Africa,2003,4462,0,1955,0,6417,NA,NA,NA,NA,NA
Africa,2004,5548,0,451,0,5999,NA,NA,NA,NA,NA
Africa,2005,893,0,695,0,1588,NA,NA,NA,NA,NA
Africa,2006,3101,0,593,0,3694,NA,NA,NA,NA,NA
Africa,2007,1803,0,1546,0,3349,NA,NA,NA,NA,NA
Africa,2008,3074,0,1544,35,4653,NA,NA,NA,NA,NA
Africa,2009,2088,0,3529,0,5617,NA,NA,NA,NA,NA
Africa,2010,1464,0,2507,0,3971,NA,NA,NA,NA,NA
