Entity,Year,"Relative wages of craftsmen to labourers, 1200-2000 (Clark (2005))"
Relative wages,1220,1.56
Relative wages,1240,1.92
Relative wages,1250,1.93
Relative wages,1260,1.86
Relative wages,1270,1.89
Relative wages,1280,2
Relative wages,1290,2.01
Relative wages,1300,1.93
Relative wages,1310,1.9
Relative wages,1320,1.95
Relative wages,1330,1.92
Relative wages,1340,1.8
Relative wages,1350,1.79
Relative wages,1360,1.63
Relative wages,1370,1.61
Relative wages,1380,1.57
Relative wages,1390,1.59
Relative wages,1400,1.5
Relative wages,1410,1.55
Relative wages,1420,1.5
Relative wages,1430,1.48
Relative wages,1440,1.5
Relative wages,1450,1.44
Relative wages,1460,1.4
Relative wages,1470,1.49
Relative wages,1480,1.45
Relative wages,1490,1.49
Relative wages,1500,1.47
Relative wages,1510,1.48
Relative wages,1520,1.52
Relative wages,1530,1.5
Relative wages,1540,1.43
Relative wages,1550,1.46
Relative wages,1560,1.42
Relative wages,1570,1.42
Relative wages,1580,1.47
Relative wages,1590,1.48
Relative wages,1600,1.44
Relative wages,1610,1.49
Relative wages,1620,1.51
Relative wages,1630,1.47
Relative wages,1640,1.5
Relative wages,1650,1.5
Relative wages,1660,1.53
Relative wages,1670,1.48
Relative wages,1680,1.46
Relative wages,1690,1.5
Relative wages,1700,1.6
Relative wages,1710,1.63
Relative wages,1720,1.62
Relative wages,1730,1.62
Relative wages,1740,1.63
Relative wages,1750,1.57
Relative wages,1760,1.53
Relative wages,1770,1.48
Relative wages,1780,1.53
Relative wages,1790,1.5
Relative wages,1800,1.51
Relative wages,1810,1.47
Relative wages,1820,1.56
Relative wages,1830,1.53
Relative wages,1840,1.5
Relative wages,1850,1.52
Relative wages,1860,1.53
Relative wages,1870,1.42
Relative wages,1880,1.46
Relative wages,1890,1.42
Relative wages,1900,1.41
Relative wages,1910,1.36
Relative wages,1920,1.22
Relative wages,1930,1.25
Relative wages,1940,1.2
Relative wages,1950,1.1
Relative wages,1960,1.09
Relative wages,1970,1.16
Relative wages,1980,1.17
Relative wages,1990,1.18
Relative wages,2000,1.22
