Entity,Year,Gini - SEDLARC (for IARC paper)
Belice,1993,0.557
Belice,1994,0.58
Belice,1997,0.545
Belice,1998,0.519
Belice,1999,0.499
Bolivia,1997,0.561
Bolivia,1999,0.562
Bolivia,2000,0.602
Bolivia,2001,0.566
Bolivia,2002,0.584
Bolivia,2005,0.564
Bolivia,2006,0.546
Bolivia,2007,0.531
Bolivia,2008,0.493
Bolivia,2009,0.473
Bolivia,2011,0.44
Bolivia,2012,0.446
Brazil,1981,0.553
Brazil,1982,0.558
Brazil,1983,0.564
Brazil,1984,0.559
Brazil,1985,0.532
Brazil,1986,0.563
Brazil,1987,0.574
Brazil,1988,0.594
Brazil,1989,0.613
Brazil,1990,0.588
Brazil,1993,0.583
Brazil,1995,0.576
Brazil,1996,0.578
Brazil,1997,0.578
Brazil,1998,0.575
Brazil,1999,0.569
Brazil,2001,0.571
Brazil,2002,0.566
Brazil,2003,0.559
Brazil,2004,0.549
Brazil,2005,0.547
Brazil,2006,0.542
Brazil,2007,0.531
Brazil,2008,0.525
Brazil,2009,0.519
Brazil,2011,0.51
Brazil,2012,0.505
Chile,1987,0.548
Chile,1990,0.558
Chile,1992,0.531
Chile,1994,0.549
Chile,1996,0.535
Chile,1998,0.541
Chile,2000,0.54
Chile,2003,0.532
Chile,2006,0.504
Chile,2009,0.506
Chile,2011,0.494
Colombia,2001,0.543
Colombia,2002,0.55
Colombia,2003,0.519
Colombia,2004,0.538
Colombia,2005,0.526
Colombia,2008,0.536
Colombia,2009,0.536
Colombia,2010,0.532
Colombia,2011,0.519
Colombia,2012,0.512
CostaRica,1989,0.42
CostaRica,1990,0.422
CostaRica,1991,0.434
CostaRica,1992,0.428
CostaRica,1993,0.429
CostaRica,1994,0.438
CostaRica,1995,0.43
CostaRica,1996,0.437
CostaRica,1997,0.429
CostaRica,1998,0.431
CostaRica,1999,0.451
CostaRica,2000,0.449
CostaRica,2001,0.483
CostaRica,2002,0.485
CostaRica,2003,0.475
CostaRica,2004,0.464
CostaRica,2005,0.455
CostaRica,2006,0.471
CostaRica,2007,0.475
CostaRica,2008,0.47
CostaRica,2009,0.487
CostaRica,2010,0.483
CostaRica,2012,0.466
DominicanRep,2000,0.503
DominicanRep,2001,0.487
DominicanRep,2002,0.482
DominicanRep,2003,0.502
DominicanRep,2004,0.5
DominicanRep,2005,0.489
DominicanRep,2006,0.503
DominicanRep,2007,0.467
DominicanRep,2008,0.466
DominicanRep,2009,0.468
DominicanRep,2010,0.453
DominicanRep,2011,0.454
Ecuador,2003,0.524
Ecuador,2004,0.517
Ecuador,2005,0.515
Ecuador,2006,0.507
Ecuador,2007,0.518
Ecuador,2008,0.481
Ecuador,2009,0.466
Ecuador,2010,0.468
