Entity,Year,Share of Buddhists ,Share of Christians ,Share of followers of folk religions,Share of Hindus,Share of Jews ,Share of Muslims,Share of followers of other religions ,Share of unaffiliated ,Main religion 
Afghanistan,2010,1,1,1,1,1,99,1,1,Islam
Albania,2010,1,18,1,1,1,80.3,1,1.4,Islam
Algeria,2010,1,1,1,1,1,97.9,1,1.8,Islam
American Samoa,2010,1,98.3,1,1,1,1,1,1,Christianity
Andorra,2010,1,89.5,1,1,1,1,1,8.8,Christianity
Angola,2010,1,90.5,4.2,1,1,1,1,5.1,Christianity
Anguilla,2010,1,90.6,2.9,1,1,1,1.6,4,Christianity
Antigua and Barbuda,2010,1,93,3.6,1,1,1,1,1.7,Christianity
Argentina,2010,1,85.2,1,1,1,1,1,12.2,Christianity
Armenia,2010,1,98.5,1,1,1,1,1,1.3,Christianity
Aruba,2010,1,91.9,1.3,1,1,1,1,6,Christianity
Asia-Pacific,2010,11.9,7.1,9,25.3,1,24.3,1.3,21.2,Hinduism
Australia,2010,2.7,67.3,1,1.4,1,2.4,1,24.2,Christianity
Austria,2010,1,80.4,1,1,1,5.4,1,13.5,Christianity
Azerbaijan,2010,1,3,1,1,1,96.9,1,1,Islam
Bahamas,2010,1,96,1,1,1,1,1,3.1,Christianity
Bahrain,2010,2.5,14.5,1,9.8,1,70.3,1,1.9,Islam
Bangladesh,2010,1,1,1,8.5,1,90.4,1,1,Islam
Barbados,2010,1,95.2,1,1,1,1,1.4,1.9,Christianity
Belarus,2010,1,71.2,1,1,1,1,1,28.6,Christianity
Belgium,2010,1,64.2,1,1,1,5.9,1,29,Christianity
Belize,2010,1,87.6,1.5,1,1,1,1,8.9,Christianity
Benin,2010,1,53,18.1,1,1,23.8,1,5,Christianity
Bermuda,2010,1,75,3,1,1,1.1,1,19.4,Christianity
Bhutan,2010,74.7,1,1.9,22.6,1,1,1,1,Buddhism
Bolivia,2010,1,93.9,1,1,1,1,1,4.1,Christianity
Bosnia and Herzegovina,2010,1,52.3,1,1,1,45.2,1,2.5,Christianity
Botswana,2010,1,72.1,6,1,1,1,1,20.6,Christianity
Brazil,2010,1,88.9,2.8,1,1,1,1,7.9,Christianity
British Virgin Islands,2010,1,84.5,8.4,1.2,1,1.2,1,3.9,Christianity
Brunei,2010,8.6,9.4,6.2,1,1,75.1,1,1,Islam
Bulgaria,2010,1,82.1,1,1,1,13.7,1,4.2,Christianity
Burkina Faso,2010,1,22.5,15.4,1,1,61.6,1,1,Islam
Burundi,2010,1,91.5,5.7,1,1,2.8,1,1,Christianity
Cambodia,2010,96.9,1,1,1,1,2,1,1,Buddhism
Cameroon,2010,1,70.3,3.3,1,1,18.3,2.7,5.3,Christianity
Canada,2010,1,69,1.2,1.4,1,2.1,1,23.7,Christianity
Cape Verde,2010,1,89.1,1.5,1,1,1,1,9.1,Christianity
Caribbean Netherlands,2010,1,93.9,1.2,1,1,1,1,3.3,Christianity
Cayman Islands,2010,1,83.5,4.5,1,1,1,1,9.4,Christianity
Central African Republic,2010,1,89.5,1,1,1,8.5,1,1,Christianity
Chad,2010,1,40.6,1.4,1,1,55.3,1,2.5,Islam
Channel Islands,2010,1,85.2,1,1,1,1,1,14.2,Christianity
Chile,2010,1,89.4,1.5,1,1,1,1,8.6,Christianity
China,2010,18.2,5.1,21.9,1,1,1.8,1,52.2,Unaffiliated Religions
Colombia,2010,1,92.5,1,1,1,1,1,6.6,Christianity
Comoros,2010,1,1,1,1,1,98.3,1,1,Islam
Congo,2010,1,85.9,2.8,1,1,1.2,1.1,9,Christianity
Cook Islands,2010,1,96,1,1,1,1,1,3.2,Christianity
Costa Rica,2010,1,90.9,1,1,1,1,1,7.9,Christianity
Cote d'Ivoire,2010,1,44.1,10.2,1,1,37.5,1,8,Christianity
Croatia,2010,1,93.4,1,1,1,1.4,1,5.1,Christianity
Cuba,2010,1,59.2,17.4,1,1,1,1,23,Christianity
Curacao,2010,1,93.9,1.2,1,1,1,1,3.3,Christianity
Cyprus,2010,1,73.2,1,1,1,25.3,1,1.2,Christianity
Czech Republic,2010,1,23.3,1,1,1,1,1,76.4,Unaffiliated Religions
Democratic Republic of Congo,2010,1,95.8,1,1,1,1.5,1,1.8,Christianity
Denmark,2010,1,83.5,1,1,1,4.1,1,11.8,Christianity
Djibouti,2010,1,2.3,1,1,1,96.9,1,1,Islam
Dominica,2010,1,94.4,3,1,1,1,1.7,1,Christianity
Dominican Republic,2010,1,88,1,1,1,1,1,10.9,Christianity
Ecuador,2010,1,94.1,1,1,1,1,1,5.5,Christianity
Egypt,2010,1,5.1,1,1,1,94.9,1,1,Islam
El Salvador,2010,1,88.2,1,1,1,1,1,11,Christianity
Equatorial Guinea,2010,1,88.7,1.7,1,1,4,1,5,Christianity
Eritrea,2010,1,62.9,1,1,1,36.6,1,1,Christianity
Estonia,2010,1,39.9,1,1,1,1,1,59.6,Unaffiliated Religions
Ethiopia,2010,1,62.8,2.6,1,1,34.6,1,1,Christianity
Europe,2010,1,74.5,1,1,1,5.9,1,18.8,Christianity
Faeroe Islands,2010,1,98,1,1,1,1,1,1.7,Christianity
Falkland Islands,2010,1,67.2,1,1,1,1,1,31.5,Christianity
Fiji,2010,1,64.4,1,27.9,1,6.3,1,1,Christianity
Finland,2010,1,80.1,1,1,1,1,1,19.1,Christianity
France,2010,1,63,1,1,1,7.5,1,28,Christianity
French Guiana,2010,1,84.4,9.1,1.6,1,1,1,3.4,Christianity
French Polynesia,2010,1,94,1,1,1,1,1,4.9,Christianity
Gabon,2010,1,76.5,6,1,1,11.2,1,5.6,Christianity
Gambia,2010,1,4.5,1,1,1,95.1,1,1,Islam
Georgia,2010,1,88.5,1,1,1,10.7,1,1,Christianity
Germany,2010,1,68.7,1,1,1,5.8,1,24.7,Christianity
Ghana,2010,1,74.9,4.9,1,1,15.8,1,4.2,Christianity
Gibraltar,2010,1,88.8,1,1.8,2.1,4,1,2.9,Christianity
Greece,2010,1,88.1,1,1,1,5.3,1,6.1,Christianity
Greenland,2010,1,96.1,1,1,1,1,1,2.5,Christianity
Grenada,2010,1,96.6,1.3,1,1,1,1,1,Christianity
Guadeloupe,2010,1,95.9,1,1,1,1,1,2.5,Christianity
Guam,2010,1.1,94.2,1.5,1,1,1,1.6,1.7,Christianity
Guatemala,2010,1,95.2,1,1,1,1,1,4.1,Christianity
Guinea,2010,1,10.9,2.7,1,1,84.4,1,1.8,Islam
Guinea-Bissau,2010,1,19.7,30.9,1,1,45.1,1,4.3,Islam
Guyana,2010,1,66,1,24.9,1,6.4,1,2,Christianity
Haiti,2010,1,86.9,2.2,1,1,1,1,10.6,Christianity
Honduras,2010,1,87.6,1.1,1,1,1,1,10.5,Christianity
Hong Kong,2010,13.2,14.3,12.8,1,1,1.8,1.5,56.1,Unaffiliated Religions
Hungary,2010,1,81,1,1,1,1,1,18.6,Christianity
Iceland,2010,1,95,1,1,1,1,1,3.5,Christianity
India,2010,1,2.5,1,79.5,1,14.4,2.3,1,Hinduism
Indonesia,2010,1,9.9,1,1.7,1,87.2,1,1,Islam
Iran,2010,1,1,1,1,1,99,1,1,Islam
Iraq,2010,1,1,1,1,1,99,1,1,Islam
Ireland,2010,1,92,1,1,1,1.1,1,6.2,Christianity
Isle of Man,2010,1,84.1,1,1,1,1,1,15.4,Christianity
Israel,2010,1,2,1,1,75.6,18.6,1,3.1,Judaism
Italy,2010,1,83.3,1,1,1,3.7,1,12.4,Christianity
Jamaica,2010,1,77.2,4.5,1,1,1,1,17.2,Christianity
Japan,2010,36.2,1.6,1,1,1,1,4.7,57,Unaffiliated Religions
Jordan,2010,1,2.2,1,1,1,97.2,1,1,Islam
Kazakhstan,2010,1,24.7,1,1,1,70.4,1,4.2,Islam
Kenya,2010,1,84.8,1.7,1,1,9.7,1.2,2.5,Christianity
Kiribati,2010,1,97,1,1,1,1,2.2,1,Christianity
Kosovo,2010,1,6.1,1,1,1,93.8,1,1,Islam
Kuwait,2010,2.8,14.3,1,8.5,1,74.1,1,1,Islam
Kyrgyzstan,2010,1,11.4,1,1,1,88,1,1,Islam
Laos,2010,66,1.5,30.7,1,1,1,1,1,Buddhism
Latin America-Caribbean,2010,1,90,1.7,1,1,1,1,7.7,Christianity
Latvia,2010,1,55.8,1,1,1,1,1,43.8,Christianity
Lebanon,2010,1,38.3,1,1,1,61.3,1,1,Islam
Lesotho,2010,1,96.8,1,1,1,1,1,3.1,Christianity
Liberia,2010,1,85.9,1,1,1,12,1,1.4,Christianity
Libya,2010,1,2.7,1,1,1,96.6,1,1,Islam
Liechtenstein,2010,1,91.9,1,1,1,5,1,2.9,Christianity
Lithuania,2010,1,89.8,1,1,1,1,1,10,Christianity
Luxembourg,2010,1,70.4,1,1,1,2.3,1,26.8,Christianity
Macao,2010,17.3,7.2,58.9,1,1,1,1,15.4,Folk Religions
Macedonia,2010,1,59.3,1,1,1,39.3,1,1.4,Christianity
Madagascar,2010,1,85.3,4.5,1,1,3,1,6.9,Christianity
Malawi,2010,1,82.7,1.7,1,1,13,1,2.5,Christianity
Malaysia,2010,17.7,9.4,2.3,6,1,63.7,1,1,Islam
Maldives,2010,1,1,1,1,1,98.4,1,1,Islam
Mali,2010,1,2.4,2.7,1,1,94.4,1,1,Islam
Malta,2010,1,97,1,1,1,1,1,2.5,Christianity
Marshall Islands,2010,1,97.5,1,1,1,1,1,1.5,Christianity
Martinique,2010,1,96.5,1,1,1,1,1,2.3,Christianity
Mauritania,2010,1,1,1,1,1,99,1,1,Islam
Mauritius,2010,1,32.7,1,48.5,1,17.3,1,1,Hinduism
Mayotte,2010,1,1,1,1,1,98.6,1,1,Islam
Mexico,2010,1,95.1,1,1,1,1,1,4.7,Christianity
Micronesia (country),2010,1,95.3,2.7,1,1,1,1,1,Christianity
Middle East-North Africa,2010,1,3.7,1,1,1.6,93,1,1,Islam
Moldova,2010,1,97.4,1,1,1,1,1,1.4,Christianity
Monaco,2010,1,86,1,1,1.7,1,1,11.7,Christianity
Mongolia,2010,55.1,2.3,3.5,1,1,3.2,1,35.9,Buddhism
Montenegro,2010,1,78.1,1,1,1,18.7,1,3.2,Christianity
Montserrat,2010,1,93.5,1,1,1,1,1.5,4.8,Christianity
Morocco,2010,1,1,1,1,1,99,1,1,Islam
