Entity,Year,Percentage reporting homosexuality is never justified ,Percentage reporting that they do not want  homosexual neighbors
Albania,1998,68.355858,69.969971
Albania,2002,80.942413,82.599998
Algeria,2002,93.275314,80.733231
Algeria,2014,63.022816,58.083332
Andorra,2005,7.5210795,5.5334673
Argentina,1984,67.826149,
Argentina,1991,60.020988,38.922153
Argentina,1995,32.27317,27.308126
Argentina,1999,39.901634,22.098736
Argentina,2006,33.4412,16.360531
Argentina,2013,19.109917,11.036133
Armenia,1997,71.367294,83.300003
Armenia,2011,96.172653,92.685257
Australia,1981,40.838409,
Australia,1995,31.083763,24.654133
Australia,2005,22.99058,21.165524
Australia,2012,13.3727,13.395278
Azerbaijan,1997,88.800423,90.65934
Azerbaijan,2011,92.785301,94.365013
Bangladesh,1996,,83.737709
Bangladesh,2002,98.970482,4.9333334
Belarus,1990,80.412369,79.014778
Belarus,1996,68.325043,63.384319
Belarus,2011,57.898235,72.111763
Bosnia and Herzegovina,2001,72.352943,64.166664
Bosnia and Herzegovina (Bosnia),1998,65.982025,61.125
Bosnia and Herzegovina (Republika Srpska),1998,71.273712,47
Brazil,1991,69.546303,30.216652
Brazil,1997,55.634426,26.071743
Brazil,2006,31.823645,21.579477
Brazil,2014,36.256378,11.149013
Bulgaria,1997,50.767414,40.764923
Bulgaria,2006,33.320572,49.729946
Burkina Faso,2007,79.324898,80.508476
Canada,2000,26.567825,16.948206
Canada,2006,20.627754,14.310866
Chile,1990,76.912659,57.466667
Chile,1996,44.069931,41.445999
Chile,2000,37.007633,32.771111
Chile,2006,27.992859,34.13678
Chile,2012,14.254859,25.700001
China,1990,92.497429,71.900002
China,1995,88.269371,60.733337
China,2001,92.298981,73.199997
China,2007,78.966644,69.599831
China,2013,60.715942,52.672638
Colombia,1997,59.885864,
Colombia,1998,62.608696,14.886515
Colombia,2005,45.636242,45.884296
Colombia,2012,45.485405,34.589947
Croatia,1996,39.720036,45.484951
Cyprus,2006,37.479939,46.120434
Cyprus,2011,37.628693,34.902912
Czech Republic,1991,25,53.246754
Czech Republic,1998,10.10587,23.975588
Dominican Republic,1996,52.985073,48.681057
Ecuador,2013,48.621552,38.768719
Egypt,2001,99.866661,99.599998
El Salvador,1999,81.101067,78.30941
Estonia,1996,65.879829,63.858963
Estonia,2011,46.431549,47.302528
Ethiopia,2007,75.604836,82.200005
Finland,1981,47.57085,
Finland,1996,37.286324,29.888552
Finland,2005,20.165976,21.937578
France,2006,14.823812,28.826677
Georgia,1996,81.869545,77.041832
Georgia,2009,91.339645,92
Georgia,2014,87.121216,86.605659
Germany,1997,20.663651,13.326752
Germany,2006,10.450307,14.578803
Germany,2013,18.320414,22.425983
Ghana,2007,73.324394,79.009125
Ghana,2012,84.926422,79.665215
Guatemala,2004,45.840385,15.475323
Haiti,2016,42.050751,74.196785
Hong Kong,2005,39.126923,50
Hong Kong,2014,28.514057,33.5
Hungary,1982,86.978905,
Hungary,1998,46.416382,53.384613
Hungary,2009,33.259529,39.795303
India,1990,93.372734,91.399994
India,1995,76.521736,61.372547
India,2001,70.785713,28.821178
India,2006,63.715046,40.329834
