Entity,Year,regime_lied,exelec_lied,legelec_lied,opposition_lied,competition_lied,male_suffrage_lied,female_suffrage_lied,electdem_age_lied,electdem_age_group_lied,polyarchy_age_lied,polyarchy_age_group_lied,poliberties_lied,electdem_exp_lied,polyarchy_exp_lied,number_nonelectaut_lied,number_onepaut_lied,number_multipautne_lied,number_multipaut_lied,number_excldem_lied,number_maledem_lied,number_electdem_lied,number_poly_lied,number_electdem_18_lied,number_electdem_30_lied,number_electdem_60_lied,number_electdem_90_lied,number_electdem_91plus_lied,number_poly_18_lied,number_poly_30_lied,number_poly_60_lied,number_poly_90_lied,number_poly_91plus_lied,pop_nonelectaut_lied,pop_onepaut_lied,pop_multipautne_lied,pop_multipaut_lied,pop_excldem_lied,pop_maledem_lied,pop_electdem_lied,pop_poly_lied,pop_missreg_lied,pop_electdem_18_lied,pop_electdem_30_lied,pop_electdem_60_lied,pop_electdem_90_lied,pop_electdem_91plus_lied,pop_poly_18_lied,pop_poly_30_lied,pop_poly_60_lied,pop_poly_90_lied,pop_poly_91plus_lied,region
Afghanistan,1789,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1790,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1791,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1792,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1793,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1794,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1795,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1796,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1797,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1798,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1799,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1800,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1801,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1802,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1803,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1804,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1805,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1806,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1807,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1808,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1809,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1810,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1811,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1812,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Afghanistan,1813,0,0,0,0,0,0,0,non-electoral autocracy,0,non-electoral autocracy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
