Entity,Year,Primary adjusted enrolment ratio (Lee-Lee (2016)),Secondary adjusted enrolment ratio (Lee-Lee (2016)),Tertiary adjusted enrolment ratio (Lee-Lee (2016)),Share of no schooling (Lee-Lee (2016)),Share of primary schooling (Lee-Lee (2016)),Share of secondary schooling (Lee-Lee (2016)),Share of tertiary schooling (Lee-Lee (2016)),Total years of schooling (Lee-Lee (2016)),Years of primary schooling (Lee-Lee (2016)),Years of secondary schooling (Lee-Lee (2016)),Years of tertiary schooling (Lee-Lee (2016)),Male primary adjusted enrolment (Lee-Lee (2016)),Male secondary adjusted enrolment (Lee-Lee (2016)),Male tertiary adjusted enrolment (Lee-Lee (2016)),Female to male years schooling (Lee-Lee (2016)),Regional female to male years schooling (Lee-Lee (2016))
Advanced Economies,1870,,,,,,,,,,,,,,,,74.4576
Advanced Economies,1875,,,,,,,,,,,,,,,,76.92046
Advanced Economies,1880,,,,,,,,,,,,,,,,74.92967
Advanced Economies,1885,,,,,,,,,,,,,,,,78.5665
Advanced Economies,1890,,,,,,,,,,,,,,,,77.19675
Advanced Economies,1895,,,,,,,,,,,,,,,,81.50023
Advanced Economies,1900,,,,,,,,,,,,,,,,82.89312
Advanced Economies,1905,,,,,,,,,,,,,,,,83.96079
Advanced Economies,1910,,,,,,,,,,,,,,,,84.39023
Advanced Economies,1915,,,,,,,,,,,,,,,,86.22112
Advanced Economies,1920,,,,,,,,,,,,,,,,89.54569
Advanced Economies,1925,,,,,,,,,,,,,,,,92.39168
Advanced Economies,1930,,,,,,,,,,,,,,,,94.65426
Advanced Economies,1935,,,,,,,,,,,,,,,,95.20206
Advanced Economies,1940,,,,,,,,,,,,,,,,96.37786
Advanced Economies,1945,,,,,,,,,,,,,,,,96.73061
Advanced Economies,1950,,,,,,,,,,,,,,,,94.20608
Advanced Economies,1955,,,,,,,,,,,,,,,,94.04594
Advanced Economies,1960,,,,,,,,,,,,,,,,94.78143
Advanced Economies,1965,,,,,,,,,,,,,,,,94.78578
Advanced Economies,1970,,,,,,,,,,,,,,,,94.68457
Advanced Economies,1975,,,,,,,,,,,,,,,,94.27596
Advanced Economies,1980,,,,,,,,,,,,,,,,95.03015
Advanced Economies,1985,,,,,,,,,,,,,,,,96.56259
Advanced Economies,1990,,,,,,,,,,,,,,,,96.98989
Advanced Economies,1995,,,,,,,,,,,,,,,,97.15469
Advanced Economies,2000,,,,,,,,,,,,,,,,98.07572
Advanced Economies,2005,,,,,,,,,,,,,,,,99.22068
Advanced Economies,2010,,,,,,,,,,,,,,,,99.99858
Afghanistan,1820,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1825,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1830,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1835,0,0,0,,,,,,,,,0,0,0, ,
