Entity,Year,Primary adjusted enrolment ratio (Lee-Lee (2016)),Secondary adjusted enrolment ratio (Lee-Lee (2016)),Tertiary adjusted enrolment ratio (Lee-Lee (2016)),Share of no schooling (Lee-Lee (2016)),Share of primary schooling (Lee-Lee (2016)),Share of secondary schooling (Lee-Lee (2016)),Share of tertiary schooling (Lee-Lee (2016)),Total years of schooling (Lee-Lee (2016)),Years of primary schooling (Lee-Lee (2016)),Years of secondary schooling (Lee-Lee (2016)),Years of tertiary schooling (Lee-Lee (2016)),Male primary adjusted enrolment (Lee-Lee (2016)),Male secondary adjusted enrolment (Lee-Lee (2016)),Male tertiary adjusted enrolment (Lee-Lee (2016)),Female to male years schooling (Lee-Lee (2016)),Regional female to male years schooling (Lee-Lee (2016))
Afghanistan,1840,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1845,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1850,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1855,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1860,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1865,0,0,0,,,,,,,,,0,0,0, ,
Afghanistan,1870,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1875,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1880,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1885,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1890,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1895,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1900,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1905,0,0,0,100,0,0,0,0.01,0,0,0,0,0,0,1,
Afghanistan,1910,0,0,0,99.8,0.2,0,0,0.01,0.01,0,0,0,0,0,0.5,
Afghanistan,1915,0,0,0,99.6,0.4,0,0.1,0.02,0.02,0.01,0,0,0,0,0.25,
Afghanistan,1920,0,0,0,99.4,0.5,0,0.1,0.03,0.02,0.01,0,0,0,0,0.2,
Afghanistan,1925,0,0,0,99.3,0.6,0.1,0.1,0.04,0.02,0.01,0,0,0,0,0.166666667,
Afghanistan,1930,0,0,0,99.1,0.7,0.1,0.1,0.04,0.03,0.01,0,0,0,0,0.142857143,
Afghanistan,1935,0,0,0,99,0.8,0.1,0.1,0.05,0.03,0.01,0,0,0,0,0.125,
Afghanistan,1940,0,0,0,95.4,4,0.2,0.5,0.2,0.15,0.04,0.01,0,0,0,0.1875,
Afghanistan,1945,2.8,0.1,0,95,4.3,0.2,0.6,0.22,0.16,0.04,0.02,5.5,0.1,0,0.166666667,
Afghanistan,1950,3.5,0.3,0,94.5,4.7,0.3,0.6,0.26,0.2,0.05,0.02,6.6,0.6,0.1,0.162790698,
Afghanistan,1955,4.7,0.5,0.1,93.9,5.1,0.3,0.7,0.3,0.23,0.06,0.02,8.3,0.8,0.1,0.156862745,
Afghanistan,1960,7.3,0.8,0.1,92.8,5.8,0.4,0.9,0.38,0.27,0.07,0.03,12.6,1.3,0.2,0.142857143,
Afghanistan,1965,12.9,1.6,0.3,91.7,6.5,0.6,1.2,0.43,0.31,0.09,0.03,21,2.4,0.5,0.135135135,
Afghanistan,1970,17,4.8,0.5,88.3,8.2,1.4,2.2,0.72,0.47,0.18,0.06,26.4,7.9,0.8,0.130081301,
Afghanistan,1975,21,6.4,1,85.1,10,1.9,3,0.96,0.62,0.26,0.09,34.3,10.9,1.7,0.140243902,
Afghanistan,1980,29,8.8,1.2,81.2,12,2.8,4,1.29,0.81,0.36,0.12,46.1,13.8,1.9,0.16744186,
Afghanistan,1985,15,8.6,1.4,76.7,14.8,3.6,4.9,1.73,1.16,0.42,0.15,19.7,11.3,2,0.18815331,
Afghanistan,1990,19.4,7.7,1.8,73.8,16.4,4,5.7,2.06,1.44,0.45,0.18,25.3,9.4,2.4,0.217261905,
Afghanistan,1995,46.1,21.1,2,72,15.2,6.4,6.4,2.4,1.68,0.52,0.2,61.3,31,2,0.253968254,
Afghanistan,2000,17.6,24.1,1.5,66.4,16.9,9.8,6.8,3.03,2.19,0.63,0.22,30.8,46.8,1.5,0.264830508,
Afghanistan,2005,82.3,27,1,64.3,15.3,13.3,7,3.32,2.29,0.81,0.22,100,34.6,1,0.282352941,
Afghanistan,2010,83.2,33.3,4,56.7,19.3,16.9,7.1,3.93,2.68,1.02,0.23,96.9,17.3,6.9,0.380782918,
Albania,1820,0.1,0,0,,,,,,,,,0.2,0,0, ,
Albania,1825,0.2,0,0,,,,,,,,,0.2,0,0, ,
Albania,1830,0.2,0,0,,,,,,,,,0.3,0,0, ,
Albania,1835,0.3,0,0,,,,,,,,,0.3,0,0, ,
Albania,1840,0.4,0,0,,,,,,,,,0.4,0,0, ,
Albania,1845,0.5,0,0,,,,,,,,,0.5,0,0, ,
Albania,1850,0.7,0,0,,,,,,,,,0.7,0,0, ,
Albania,1855,0.8,0,0,,,,,,,,,0.9,0,0, ,
Albania,1860,1.1,0,0,,,,,,,,,1.1,0,0, ,
Albania,1865,1.4,0,0,,,,,,,,,1.5,0,0, ,
Albania,1870,1.8,0,0,99.3,0.7,0,0,0.02,0.02,0,0,1.9,0,0,1,
Albania,1875,2.3,0,0,99.1,0.9,0,0,0.03,0.02,0,0,1.5,0,0,1,
Albania,1880,2.9,0,0,98.9,1.1,0,0,0.03,0.03,0,0,2.1,0,0,1,
Albania,1885,3.8,0,0,98.5,1.5,0,0,0.04,0.04,0,0,3,0,0,1.25,
Albania,1890,4.8,0,0,98.1,1.9,0,0,0.05,0.05,0,0,4.2,0,0,1.5,
Albania,1895,6.1,0,0,97.6,2.4,0,0,0.06,0.06,0,0,5.7,0,0,1.6,
Albania,1900,7.7,0,0,97,3,0,0,0.08,0.08,0,0,7.7,0,0,1.285714286,
Albania,1905,9.7,0,0,96.2,3.8,0,0,0.1,0.1,0,0,10.2,0,0,1.222222222,
Albania,1910,12.2,0,0,94.3,5.7,0,0,0.15,0.15,0,0,13.4,0,0,1,
Albania,1915,15.2,0,0,90.7,9.3,0,0,0.24,0.24,0,0,17.3,0,0,0.96,
Albania,1920,18.8,0,0,86.1,13.9,0,0,0.36,0.36,0,0,22.1,0,0,0.871794872,
Albania,1925,20.7,0,0,80.5,19.4,0,0,0.51,0.5,0.01,0,23.5,0,0,0.854545455,
Albania,1930,21.8,0,0,74.6,25.3,0,0,0.67,0.66,0.01,0,22.9,0,0,0.847222222,
Albania,1935,37.2,1,0,68.5,31.3,0.2,0.1,0.84,0.82,0.01,0,47.5,1.7,0,0.826086957,
Albania,1940,32.5,1.8,0,61.5,37.5,0.9,0.1,1.08,1.02,0.05,0,34.3,3,0,0.768595041,
Albania,1945,81.7,1.5,0,52.9,38.9,8,0.2,1.8,1.35,0.44,0.01,96.3,2.1,0,0.781094527,
Albania,1950,100,1.7,0.1,39.3,50.6,9.4,0.7,2.75,2.19,0.54,0.02,100,2.3,0.1,0.700617284,
Albania,1955,100,3.7,0.6,37.2,50.9,10.7,1.1,2.93,2.24,0.65,0.03,100,5.2,0.8,0.679083095,
Albania,1960,76.7,10.2,4.5,43.8,35.2,19.2,1.8,3.23,2.13,1.04,0.06,85.2,10.8,7.1,0.710875332,
Albania,1965,83.7,26,8.2,40,34.2,23,2.8,3.63,2.29,1.26,0.08,89,28.8,12.2,0.722748815,
Albania,1970,95,29.4,6.4,34.2,32.4,30.1,3.4,4.63,2.98,1.55,0.1,98.6,34.2,8.8,0.765714286,
Albania,1975,100,46.1,6.2,26.8,29.2,39.9,4.1,5.77,3.77,1.87,0.12,100,52.9,7,0.817322835,
Albania,1980,100,56.6,5.4,19.7,24.8,51,4.5,6.95,4.65,2.16,0.14,100,57.8,5.1,0.862903226,
Albania,1985,93.6,64.4,10.5,13.6,20.8,60.4,5.1,7.93,5.37,2.4,0.16,93.9,66.9,10.3,0.89354067,
Albania,1990,91.4,72.2,10,10.2,16.9,67.3,5.7,8.61,5.91,2.51,0.18,91.8,75.9,10,0.915367483,
Albania,1995,91.4,32,11.1,13.1,15.3,65.9,5.8,8.54,5.93,2.42,0.19,90.9,31.7,9.2,0.944191344,
Albania,2000,98,62.9,14,0.6,13.7,79.2,6.5,9.93,6.93,2.79,0.21,98.2,64.4,11.9,0.963438735,
Albania,2005,97.8,76.4,25,1.3,8.3,86.3,4.2,10.24,7.22,2.88,0.14,99.2,75.8,19.8,0.98065764,
Albania,2010,98.5,80.8,44,1.4,4.1,92.6,1.9,10.44,6.92,3.45,0.06,99.8,80.3,37.3,0.990467112,
Algeria,1820,0.6,0,0,,,,,,,,,1.1,0,0, ,
Algeria,1825,0.8,0,0,,,,,,,,,1.4,0,0, ,
Algeria,1830,1,0,0,,,,,,,,,1.8,0.1,0, ,
Algeria,1835,1.2,0,0,,,,,,,,,2.2,0.1,0, ,
Algeria,1840,1.5,0.1,0,,,,,,,,,2.7,0.1,0, ,
Algeria,1845,1.9,0.1,0,,,,,,,,,3.4,0.1,0, ,
Algeria,1850,2.3,0.1,0,,,,,,,,,4.3,0.2,0, ,
Algeria,1855,2.9,0.1,0,,,,,,,,,5.3,0.2,0, ,
Algeria,1860,3.6,0.2,0,,,,,,,,,6.6,0.3,0, ,
Algeria,1865,5.7,0.2,0,,,,,,,,,10.4,0.4,0, ,
Algeria,1870,6.1,0.3,0,97.6,2.2,0.2,0,0.1,0.09,0.01,0,11.1,0.5,0,0.055555556,
Algeria,1875,7.6,0.3,0,96.8,2.9,0.3,0,0.13,0.12,0.02,0,13.9,0.6,0.1,0.041666667,
Algeria,1880,8,0.4,0.1,96,3.6,0.4,0,0.16,0.14,0.02,0,14.6,0.8,0.1,0.033333333,
Algeria,1885,9.5,0.4,0.1,95.1,4.4,0.4,0.1,0.2,0.17,0.02,0,17.1,0.7,0.2,0.027777778,
Algeria,1890,10.8,0.4,0.1,94.3,5.2,0.5,0.1,0.23,0.2,0.03,0,19.4,0.7,0.1,0.023809524,
Algeria,1895,11.9,0.4,0,93.3,6.1,0.5,0.1,0.27,0.23,0.03,0,21.3,0.7,0,0.020833333,
Algeria,1900,12.7,0.4,0.1,89.9,9.3,0.7,0.1,0.39,0.35,0.04,0,22.7,0.8,0.1,0.310344828,
Algeria,1905,13,0.5,0.1,86.7,12.4,0.8,0.1,0.51,0.46,0.05,0,22.9,0.8,0.1,0.507462687,
Algeria,1910,14.3,0.6,0.1,84.4,14.5,0.9,0.2,0.6,0.55,0.05,0,25,0.9,0.2,0.608108108,
Algeria,1915,15.6,0.6,0.1,85.1,14,0.8,0.2,0.58,0.53,0.05,0.01,26.9,1.1,0.2,0.691176471,
Algeria,1920,13.5,0.7,0.1,83.6,15.3,1,0.2,0.65,0.58,0.06,0.01,22.6,1.2,0.2,0.72,
Algeria,1925,14.3,0.8,0.2,82.1,16.6,1,0.2,0.71,0.64,0.06,0.01,23.3,1.3,0.2,0.775,
Algeria,1930,17.5,0.8,0.2,81.9,16.8,1.2,0.2,0.74,0.66,0.07,0.01,28.2,1.1,0.2,0.792682927,
Algeria,1935,19.1,0.9,0.2,81.1,17.4,1.3,0.2,0.78,0.69,0.08,0.01,29.9,1.2,0.2,0.823529412,
Algeria,1940,20.8,1.1,0.3,80.9,17.6,1.3,0.3,0.8,0.71,0.08,0.01,31.8,1.6,0.4,0.72826087,
Algeria,1945,19.6,1,0.3,80.9,17.5,1.3,0.3,0.82,0.72,0.09,0.01,27.7,1.2,0.4,0.680412371,
Algeria,1950,21.4,2.8,0.3,81.1,17.1,1.5,0.3,0.83,0.73,0.09,0.01,28.4,3.3,0.4,0.693877551,
Algeria,1955,25.6,3.6,0.3,81.5,16.5,1.7,0.3,0.82,0.71,0.1,0.01,32.1,4.2,0.4,0.690721649,
Algeria,1960,38.1,7.3,0.3,82.5,14.3,2.9,0.3,0.9,0.72,0.17,0.01,44.3,9.5,0.5,0.504201681,
Algeria,1965,56.3,6.4,0.8,80.1,15,4.5,0.4,1.15,0.87,0.27,0.01,66.9,7.7,1.3,0.333333333,
Algeria,1970,62.9,10,2.1,72,20.2,7.3,0.4,1.69,1.25,0.43,0.01,75.8,13.9,3.4,0.321969697,
Algeria,1975,77,18,3.2,62.1,26.7,10.4,0.8,2.26,1.59,0.65,0.02,89.4,22.4,5.1,0.410493827,
Algeria,1980,81,29.4,6.2,52.9,31.2,14.2,1.6,3,2.01,0.94,0.05,90.6,34.6,9.6,0.485074627,
Algeria,1985,86,45,7.9,42.6,34.9,19.8,2.7,4.28,2.85,1.34,0.08,93.7,51.7,10.7,0.544144144,
Algeria,1990,88,53,11.4,35.4,37,23.7,3.9,5.05,3.26,1.67,0.12,92.8,59.7,16.5,0.600633914,
Algeria,1995,97.4,53.3,10.9,29.2,39.8,26,5,5.76,3.71,1.9,0.16,100,55.8,12.8,0.685672515,
Algeria,2000,88.4,45.2,14,24.1,45.4,23.8,6.7,6.06,4.01,1.84,0.21,89.3,42.3,12.6,0.77080292,
Algeria,2005,95,59.5,20,20.2,48.4,22,9.4,6.43,4.27,1.87,0.29,96.6,57.4,18.1,0.857142857,
Algeria,2010,100,74.5,29,17.2,45.8,24.6,12.4,7,4.45,2.17,0.38,100,69.6,24.2,0.919178082,
Argentina,1820,2.2,0,0,,,,,,,,,2.5,0,0, ,
Argentina,1825,2.8,0,0,,,,,,,,,3.2,0,0, ,
Argentina,1830,3.5,0,0,,,,,,,,,4,0,0, ,
Argentina,1835,4.5,0,0,,,,,,,,,5,0,0, ,
Argentina,1840,5.7,0,0,,,,,,,,,6.3,0,0, ,
Argentina,1845,7.1,0,0,,,,,,,,,7.9,0,0.1, ,
Argentina,1850,8.9,0,0,,,,,,,,,9.8,0,0.1, ,
Argentina,1855,11.2,0,0,,,,,,,,,12.1,0,0.1, ,
Argentina,1860,13.9,0,0.1,,,,,,,,,14.9,0,0.1, ,
Argentina,1865,17.1,0,0.1,,,,,,,,,18.2,0.1,0.2, ,
Argentina,1870,20.9,0.1,0.1,90.8,9.2,0,0.1,0.39,0.39,0,0,22,0.2,0.2,0.95,
Argentina,1875,18.6,0.2,0.1,88.7,11.2,0.1,0.1,0.49,0.48,0.01,0,17.2,0.4,0.2,0.979591837,
Argentina,1880,16.3,0.4,0.2,86.5,13.4,0.1,0.1,0.59,0.57,0.01,0,12.5,0.7,0.3,1,
Argentina,1885,25.3,0.5,0.2,85.3,14.5,0.1,0.1,0.65,0.63,0.01,0,29.6,1,0.4,1.063492063,
Argentina,1890,31.5,0.6,0.2,84.3,15.4,0.2,0.2,0.7,0.68,0.02,0.01,36.8,1.2,0.4,1.104477612,
Argentina,1895,24.3,0.7,0.4,81.8,17.8,0.3,0.2,0.83,0.8,0.02,0.01,18.1,1.4,0.7,0.976190476,
Argentina,1900,39.6,0.8,0.5,79,20.4,0.3,0.3,0.97,0.93,0.03,0.01,43.9,1.6,0.9,0.93,
Argentina,1905,46.7,1.3,0.5,69.6,28.8,1.1,0.4,1.45,1.38,0.06,0.01,53.5,2.5,0.8,1.006896552,
Argentina,1910,50.5,1.7,1,63,34.8,1.8,0.5,1.81,1.7,0.09,0.02,56.8,3.1,1.9,0.978142077,
Argentina,1915,58.7,2.1,0.6,52.5,44.5,2.6,0.5,2.35,2.21,0.12,0.02,68.8,3.6,1.1,0.890688259,
Argentina,1920,65.8,2.8,1.2,43.7,50.5,5.3,0.5,2.94,2.7,0.22,0.02,78.5,4.5,2.1,0.937086093,
Argentina,1925,65.8,3.4,1.3,37.4,56.3,5.8,0.6,3.29,3.03,0.24,0.02,74.1,4.7,2.2,0.915204678,
Argentina,1930,66.9,3.9,1.4,30.1,62.5,6.7,0.7,3.72,3.42,0.28,0.02,72,4.4,2.4,0.907216495,
Argentina,1935,73.9,4.6,1.5,25.1,66.7,7.4,0.8,4.04,3.7,0.31,0.03,81.7,5.2,2.6,0.932692308,
Argentina,1940,79.7,6.5,2.2,20.8,70.2,8.2,0.9,4.33,3.95,0.35,0.03,88.7,7,3.9,0.959183673,
Argentina,1945,79.3,8,2.6,16.2,73.7,9.1,0.9,4.65,4.23,0.39,0.03,83.6,8.6,4,0.959915612,
Argentina,1950,81.3,13.9,3.8,13.3,75.7,10,1,4.91,4.44,0.43,0.04,83.4,14.2,6.2,0.952191235,
Argentina,1955,86.8,18.1,6.6,11.8,74.1,12.2,1.9,5.24,4.61,0.57,0.06,87,18.3,9.5,0.944237918,
Argentina,1960,89,25,10.9,10,71.7,15.1,3.2,5.69,4.84,0.75,0.1,88,24,14.5,0.946917808,
Argentina,1965,92,25,14.5,7.9,71,17.1,3.9,6.03,5.03,0.88,0.12,91,24,17.5,0.956168831,
Argentina,1970,96,35,14.2,5.7,69,20.6,4.7,6.48,5.28,1.06,0.14,95,33.1,15.9,0.969604863,
Argentina,1975,96,42,27.2,4.8,65,23.1,7.1,7.03,5.53,1.3,0.2,95,39.1,27.2,0.978902954,
Argentina,1980,90.6,43.9,21.6,3.9,60.4,27.6,8,7.51,5.74,1.54,0.24,86.9,36.8,21.1,0.958279009,
Argentina,1985,97.8,54.4,35.7,4.1,54.7,30,11.2,8.09,5.96,1.81,0.31,99.5,51.7,33.6,1.001237624,
Argentina,1990,100,55.2,43.4,3.8,48.4,33.3,14.5,8.67,6.15,2.13,0.39,100,54,43.7,1.030444965,
Argentina,1995,100,72.4,41.8,3.2,45.1,39.9,11.8,8.91,6.33,2.26,0.32,100,68.7,41.8,1.038901602,
Argentina,2000,100,80.9,53,2.6,42.8,45.2,9.3,9.08,6.48,2.35,0.25,100,77.4,41.2,1.0496614,
Argentina,2005,100,74.8,64,0.9,39,49.7,10.4,9.57,6.69,2.62,0.26,100,73.1,52.2,1.025396825,
Argentina,2010,100,81.2,75,0.7,36.3,51.5,11.5,9.71,6.62,2.81,0.28,100,79.8,60.4,1.035639413,
Asia and the Pacific,1870,,,,,,,,,,,,,,,,30.04064
Asia and the Pacific,1875,,,,,,,,,,,,,,,,25.44332
Asia and the Pacific,1880,,,,,,,,,,,,,,,,22.84131
Asia and the Pacific,1885,,,,,,,,,,,,,,,,17.0367
Asia and the Pacific,1890,,,,,,,,,,,,,,,,14.30141
Asia and the Pacific,1895,,,,,,,,,,,,,,,,13.02516
Asia and the Pacific,1900,,,,,,,,,,,,,,,,14.30075
Asia and the Pacific,1905,,,,,,,,,,,,,,,,15.91014
Asia and the Pacific,1910,,,,,,,,,,,,,,,,16.95668
Asia and the Pacific,1915,,,,,,,,,,,,,,,,20.63757
Asia and the Pacific,1920,,,,,,,,,,,,,,,,29.8062
Asia and the Pacific,1925,,,,,,,,,,,,,,,,28.28355
Asia and the Pacific,1930,,,,,,,,,,,,,,,,27.02677
Asia and the Pacific,1935,,,,,,,,,,,,,,,,26.60637
Asia and the Pacific,1940,,,,,,,,,,,,,,,,46.7611
Asia and the Pacific,1945,,,,,,,,,,,,,,,,44.53684
Asia and the Pacific,1950,,,,,,,,,,,,,,,,46.75366
Asia and the Pacific,1955,,,,,,,,,,,,,,,,48.72198
Asia and the Pacific,1960,,,,,,,,,,,,,,,,52.85789
Asia and the Pacific,1965,,,,,,,,,,,,,,,,58.08843
Asia and the Pacific,1970,,,,,,,,,,,,,,,,63.89221
Asia and the Pacific,1975,,,,,,,,,,,,,,,,66.25009
Asia and the Pacific,1980,,,,,,,,,,,,,,,,69.34769
Asia and the Pacific,1985,,,,,,,,,,,,,,,,74.98585
Asia and the Pacific,1990,,,,,,,,,,,,,,,,80.13951
Asia and the Pacific,1995,,,,,,,,,,,,,,,,76.55644
Asia and the Pacific,2000,,,,,,,,,,,,,,,,75.94535
Asia and the Pacific,2005,,,,,,,,,,,,,,,,80.10808
Asia and the Pacific,2010,,,,,,,,,,,,,,,,84.07307
Australia,1820,35.2,0,0,,,,,,,,,44.8,0,0, ,
Australia,1825,37.7,0,0,,,,,,,,,48,0,0, ,
Australia,1830,40.3,0,0,,,,,,,,,51.2,0,0, ,
Australia,1835,43,0,0,,,,,,,,,54.5,0,0, ,
Australia,1840,45.8,0,0,,,,,,,,,57.8,0,0, ,
Australia,1845,48.5,0,0,,,,,,,,,61.1,0,0, ,
Australia,1850,51.3,0,0,,,,,,,,,64.3,0,0, ,
Australia,1855,54.1,0,0,,,,,,,,,67.6,0,0, ,
Australia,1860,56.8,0.1,0,,,,,,,,,70.7,0.1,0, ,
Australia,1865,66.6,0.1,0,,,,,,,,,87,0.1,0, ,
Australia,1870,76.5,0.2,0,50.9,49,0.1,0,1.74,1.74,0,0,100,0.2,0.1,0.67,
Australia,1875,88.2,0.3,0.1,46.3,53.6,0.1,0,1.91,1.9,0,0,100,0.3,0.1,0.656108597,
Australia,1880,100,0.4,0.1,41.8,58,0.2,0.1,2.06,2.05,0.01,0,100,0.4,0.2,0.792792793,
Australia,1885,98.4,0.6,0.2,36.2,61.7,2,0.1,2.39,2.31,0.07,0,100,0.6,0.3,0.86,
Australia,1890,96.8,0.9,0.2,29.8,66.7,3.4,0.1,2.74,2.61,0.12,0,100,0.9,0.4,0.871080139,
Australia,1895,98.4,1.3,0.4,24.8,71.4,3.6,0.2,2.97,2.83,0.13,0.01,100,1.4,0.7,0.790769231,
Australia,1900,100,1.9,0.5,25,69.9,4.9,0.3,3.09,2.9,0.18,0.01,100,2,1,0.961661342,
Australia,1905,100,2.8,0.8,22.3,70.7,6.6,0.4,3.36,3.09,0.26,0.01,100,3,1.4,1.009009009,
Australia,1910,100,4,0.9,17.7,71.4,9.4,1.6,3.87,3.41,0.41,0.04,100,4.3,1.5,0.982005141,
Australia,1915,100,5.7,1.1,14.3,71.3,11.8,2.6,4.29,3.67,0.55,0.07,100,6.1,1.9,0.800420168,
Australia,1920,100,8,2,11.3,70.9,14.2,3.6,4.71,3.91,0.7,0.1,100,8.6,3.5,0.912601626,
Australia,1925,100,11.2,1.7,9.3,62.8,23.1,4.8,5.46,4.24,1.08,0.14,100,11.9,2.7,0.974683544,
Australia,1930,100,15.4,1.9,7.1,58.8,28.2,5.9,6.01,4.51,1.34,0.17,100,16.4,2.9,0.965686275,
Australia,1935,99.5,16,2,5.1,54.6,33.4,7,6.56,4.76,1.59,0.2,100,17,2.8,0.961136024,
Australia,1940,99,20.6,2.9,3.7,50.9,37.3,8.1,7.02,4.97,1.81,0.24,100,22.2,4,0.9527121,
Australia,1945,98.6,25.8,3.5,2.3,47,41.4,9.2,7.48,5.16,2.05,0.27,100,27.6,4.9,0.945383615,
Australia,1950,98.1,40.5,8.2,1.2,42.5,45.1,11.2,8.21,5.47,2.39,0.35,98.2,45.9,10.7,0.946682464,
Australia,1955,100,46.2,5.9,1,37.9,48.9,12.2,8.49,5.48,2.63,0.38,100,52.5,8.3,0.942791762,
Australia,1960,81.5,46.3,13.1,0.8,33.4,52.5,13.2,8.78,5.51,2.87,0.41,80.7,38.8,18.8,0.946784922,
Australia,1965,78.3,56.3,16,0.7,28.1,56.3,14.9,9.19,5.58,3.16,0.46,73.1,57.4,22,0.953241233,
Australia,1970,91,74.5,16.6,0.6,19.4,59.6,20.3,10.11,5.69,3.77,0.65,91,75.3,21.8,0.912098299,
Australia,1975,96,79,24,1,10.4,66.7,21.9,10.8,5.79,4.34,0.68,95,78,28.1,0.946846847,
Australia,1980,100,76,25.4,0.7,5.2,69.3,24.8,11.4,5.88,4.77,0.76,100,74.1,26.8,0.97660312,
Australia,1985,97,86,27.7,1,7.3,66.2,25.5,11.43,5.84,4.8,0.8,97,85,28.4,0.98008658,
Australia,1990,98,78,35.5,0.9,9,63.4,26.8,11.44,5.84,4.76,0.85,98,77,32.9,0.986111111,
Australia,1995,99.8,89,71.7,1.1,10,58.7,30.2,11.51,5.82,4.74,0.94,99.8,88,69.9,0.995663487,
Australia,2000,95,100,65,0.8,10.4,65.4,23.4,11.37,5.85,4.76,0.76,95,100,58.1,1.003524229,
Australia,2005,95,100,71,0.6,9.2,61.8,28.3,11.71,5.88,4.9,0.93,95,100,63.2,1.012897678,
Australia,2010,96,100,80,0.5,7.6,61.7,30.3,11.69,6,4.68,1.01,95.1,100,67.6,1.013781223,
Austria,1820,27.4,0,0.2,,,,,,,,,44.3,0,0.5, ,
Austria,1825,29.1,0,0.3,,,,,,,,,46.5,0,0.6, ,
Austria,1830,30.9,0,0.3,,,,,,,,,48.7,0,0.7, ,
Austria,1835,32.7,0,0.4,,,,,,,,,50.9,0,0.8, ,
Austria,1840,34.6,0,0.5,,,,,,,,,53.1,0,1, ,
Austria,1845,36.5,0,0.6,,,,,,,,,55.2,0,1.2, ,
Austria,1850,38.5,0.7,0.8,,,,,,,,,57.3,1.4,1.6, ,
Austria,1855,40.5,1.4,0.6,,,,,,,,,59.3,2.8,1.3, ,
Austria,1860,42.6,2.1,0.6,,,,,,,,,61.3,4.3,1.2, ,
Austria,1865,44.7,2.8,0.6,,,,,,,,,63.2,5.7,1.2, ,
