Entity,Year,Reported cases of measles (WHO (2015))
Afghanistan,1980,32455
Afghanistan,1981,31107
Afghanistan,1982,20320
Afghanistan,1983,18808
Afghanistan,1984,16199
Afghanistan,1985,14457
Afghanistan,1986,8107
Afghanistan,1987,10357
Afghanistan,1988,4561
Afghanistan,1989,1170
Afghanistan,1990,1609
Afghanistan,1991,792
Afghanistan,1998,2205
Afghanistan,1999,3609
Afghanistan,2000,6532
Afghanistan,2001,8762
Afghanistan,2002,2486
Afghanistan,2003,798
Afghanistan,2004,466
Afghanistan,2005,1296
Afghanistan,2006,1990
Afghanistan,2007,1141
Afghanistan,2008,1599
Afghanistan,2009,2861
Afghanistan,2010,1989
Afghanistan,2011,3013
Afghanistan,2012,2787
Afghanistan,2013,430
Afghanistan,2014,492
Albania,1982,3
Albania,1983,17
Albania,1984,0
Albania,1985,0
Albania,1986,0
Albania,1987,0
Albania,1988,0
Albania,1989,136034
Albania,1991,0
Albania,1992,0
Albania,1993,7
Albania,1994,29
Albania,1995,15
Albania,1996,1204
Albania,1997,2386
Albania,1998,1901
Albania,1999,797
Albania,2000,662
Albania,2001,18
Albania,2002,16
Albania,2003,8
Albania,2004,7
Albania,2005,6
Albania,2006,68
Albania,2007,22
Albania,2009,0
Albania,2010,10
Albania,2011,28
Albania,2012,9
Albania,2013,0
Algeria,1980,15527
Algeria,1981,20849
Algeria,1982,29584
Algeria,1983,22126
Algeria,1984,22553
Algeria,1985,20114
Algeria,1986,3975
Algeria,1987,2500
Algeria,1988,2634
Algeria,1989,4169
Algeria,1990,1796
Algeria,1991,5969
Algeria,1992,8823
Algeria,1993,3141
Algeria,1994,5913
Algeria,1995,8204
Algeria,1996,21003
Algeria,1997,19573
Algeria,1998,3301
Algeria,1999,2503
Algeria,2001,2686
Algeria,2002,5862
Algeria,2003,15374
Algeria,2004,3289
Algeria,2005,2302
Algeria,2006,944
Algeria,2007,0
Algeria,2008,217
Algeria,2009,107
Algeria,2010,103
Algeria,2011,112
Algeria,2012,18
Algeria,2013,25
Algeria,2014,0
Andorra,1997,5
Andorra,1999,2
Andorra,2000,2
Andorra,2001,5
Andorra,2002,1
Andorra,2003,0
Andorra,2004,0
Andorra,2005,0
Andorra,2006,0
Andorra,2007,0
Andorra,2008,0
Andorra,2009,0
Andorra,2010,0
Andorra,2011,0
Andorra,2012,0
Andorra,2013,0
Angola,1980,29656
Angola,1981,19714
Angola,1982,30067
Angola,1983,22589
Angola,1984,22685
Angola,1985,22822
Angola,1986,15580
Angola,1987,13368
Angola,1988,21009
Angola,1989,19820
Angola,1990,29069
Angola,1991,18382
Angola,1992,16772
Angola,1993,9273
Angola,1994,5480
Angola,1995,635
Angola,1996,251
Angola,1997,8183
Angola,1998,2576
Angola,1999,350
Angola,2000,2219
Angola,2001,9046
Angola,2002,11945
Angola,2003,1196
Angola,2004,29
Angola,2005,258
Angola,2006,765
Angola,2007,1014
Angola,2008,265
Angola,2009,2807
Angola,2010,1190
Angola,2011,1449
Angola,2012,4458
Angola,2013,8523
Angola,2014,11699
Antigua and Barbuda,1980,2291
Antigua and Barbuda,1981,247
Antigua and Barbuda,1982,0
Antigua and Barbuda,1983,10
Antigua and Barbuda,1984,1
Antigua and Barbuda,1985,1
Antigua and Barbuda,1986,0
Antigua and Barbuda,1987,0
Antigua and Barbuda,1988,0
Antigua and Barbuda,1989,0
Antigua and Barbuda,1990,0
Antigua and Barbuda,1991,0
Antigua and Barbuda,1992,0
Antigua and Barbuda,1993,0
Antigua and Barbuda,1994,0
Antigua and Barbuda,1995,0
Antigua and Barbuda,1996,0
Antigua and Barbuda,1997,0
Antigua and Barbuda,1998,0
Antigua and Barbuda,1999,0
Antigua and Barbuda,2000,0
Antigua and Barbuda,2001,0
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,0
Antigua and Barbuda,2004,0
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,0
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2010,0
Antigua and Barbuda,2011,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Argentina,1980,16102
Argentina,1981,17582
Argentina,1982,4432
Argentina,1983,7106
Argentina,1984,31751
Argentina,1985,9240
Argentina,1986,6448
Argentina,1987,8024
Argentina,1988,4751
Argentina,1989,4009
Argentina,1990,1967
Argentina,1991,42093
Argentina,1992,20551
Argentina,1993,5087
Argentina,1994,134
Argentina,1995,655
Argentina,1996,59
Argentina,1997,125
Argentina,1998,10229
Argentina,1999,313
Argentina,2000,6
Argentina,2001,0
Argentina,2002,0
Argentina,2003,0
Argentina,2004,0
Argentina,2005,0
Argentina,2006,0
Argentina,2007,0
Argentina,2008,0
Argentina,2009,3
Argentina,2010,17
Argentina,2011,3
Argentina,2012,2
Argentina,2013,0
Argentina,2014,1
Armenia,1990,879
Armenia,1991,192
Armenia,1992,46
Armenia,1993,338
Armenia,1994,149
Armenia,1995,187
Armenia,1996,2027
Armenia,1997,802
Armenia,1998,52
Armenia,1999,41
Armenia,2000,15
Armenia,2001,69
Armenia,2002,40
Armenia,2003,4
Armenia,2004,1783
Armenia,2005,2281
Armenia,2006,137
Armenia,2007,1
Armenia,2008,0
Armenia,2009,0
Armenia,2010,2
Armenia,2011,0
Armenia,2012,0
Armenia,2013,10
Armenia,2014,13
Australia,1988,248
Australia,1989,169
Australia,1990,880
Australia,1991,1380
Australia,1992,1425
Australia,1993,4536
Australia,1994,4895
Australia,1995,1198
Australia,1996,498
Australia,1997,853
Australia,1998,327
Australia,1999,235
Australia,2000,108
Australia,2001,141
Australia,2002,32
Australia,2003,91
Australia,2004,70
Australia,2005,10
Australia,2007,11
Australia,2008,65
Australia,2009,104
Australia,2010,70
Australia,2011,190
Australia,2012,199
Australia,2013,158
Australia,2014,340
Austria,1993,60
Austria,1997,0
Austria,1998,0
Austria,1999,1
Austria,2001,0
Austria,2003,90
Austria,2004,15
Austria,2005,9
Austria,2006,23
Austria,2007,20
Austria,2008,448
Austria,2009,49
Austria,2010,52
Austria,2011,68
Austria,2012,36
Austria,2014,117
Azerbaijan,1990,2026
Azerbaijan,1991,6122
Azerbaijan,1992,535
Azerbaijan,1993,1321
Azerbaijan,1994,6478
Azerbaijan,1995,474
Azerbaijan,1996,151
Azerbaijan,1997,678
Azerbaijan,1998,2891
Azerbaijan,1999,1081
Azerbaijan,2000,210
Azerbaijan,2001,574
Azerbaijan,2002,4353
Azerbaijan,2003,1978
Azerbaijan,2004,827
Azerbaijan,2005,1238
Azerbaijan,2006,222
Azerbaijan,2007,0
Azerbaijan,2008,5
Azerbaijan,2010,0
Azerbaijan,2011,0
Azerbaijan,2012,0
Azerbaijan,2013,164
Azerbaijan,2014,0
Bahamas,1980,484
Bahamas,1981,45
Bahamas,1982,50
Bahamas,1983,2868
Bahamas,1984,36
Bahamas,1985,26
Bahamas,1986,85
Bahamas,1987,42
Bahamas,1988,22
Bahamas,1989,59
Bahamas,1990,72
Bahamas,1991,0
Bahamas,1992,0
Bahamas,1993,0
Bahamas,1994,0
Bahamas,1995,0
Bahamas,1996,0
Bahamas,1997,1
Bahamas,1998,0
Bahamas,1999,0
Bahamas,2000,0
Bahamas,2001,0
Bahamas,2002,0
Bahamas,2003,0
Bahamas,2004,0
Bahamas,2005,0
Bahamas,2006,0
Bahamas,2007,0
Bahamas,2008,0
Bahamas,2009,0
Bahamas,2010,0
Bahamas,2011,0
Bahamas,2012,0
Bahamas,2013,0
Bahamas,2014,0
Bahrain,1980,1861
Bahrain,1981,329
Bahrain,1982,1147
Bahrain,1983,438
Bahrain,1984,1134
Bahrain,1985,1910
Bahrain,1986,97
Bahrain,1987,22
Bahrain,1988,5
Bahrain,1989,181
Bahrain,1990,59
Bahrain,1991,7
Bahrain,1992,12
Bahrain,1993,2
Bahrain,1994,0
Bahrain,1995,3
Bahrain,1996,74
Bahrain,1997,4
Bahrain,1998,4
Bahrain,1999,38
Bahrain,2000,6
Bahrain,2001,5
Bahrain,2002,8
Bahrain,2003,12
Bahrain,2004,11
Bahrain,2005,4
Bahrain,2006,3
Bahrain,2007,7
Bahrain,2008,2
Bahrain,2009,3
Bahrain,2010,0
Bahrain,2011,0
Bahrain,2012,0
Bahrain,2014,46
Bangladesh,1980,11077
Bangladesh,1981,10441
Bangladesh,1982,18116
Bangladesh,1983,9569
Bangladesh,1984,11851
Bangladesh,1985,11699
Bangladesh,1986,14352
Bangladesh,1987,13631
Bangladesh,1988,11471
Bangladesh,1989,27327
Bangladesh,1990,1705
Bangladesh,1991,9292
Bangladesh,1992,5768
Bangladesh,1993,5443
Bangladesh,1994,9571
Bangladesh,1995,4995
Bangladesh,1996,4929
Bangladesh,1997,10329
Bangladesh,1998,6522
Bangladesh,1999,5666
Bangladesh,2000,5098
Bangladesh,2001,4414
Bangladesh,2002,3484
Bangladesh,2003,4067
Bangladesh,2004,9743
Bangladesh,2005,25934
Bangladesh,2006,6192
Bangladesh,2007,2924
Bangladesh,2008,2660
Bangladesh,2009,718
Bangladesh,2010,788
Bangladesh,2011,5625
Bangladesh,2012,1986
Bangladesh,2013,237
Bangladesh,2014,289
Barbados,1980,27
Barbados,1981,41
Barbados,1982,6
Barbados,1983,6
Barbados,1984,5
Barbados,1985,7
Barbados,1986,2
Barbados,1987,2
Barbados,1988,1
Barbados,1989,2
Barbados,1990,51
Barbados,1991,2
Barbados,1992,0
Barbados,1993,0
Barbados,1994,0
Barbados,1995,0
Barbados,1996,0
Barbados,1997,0
Barbados,1998,0
Barbados,1999,0
Barbados,2000,0
Barbados,2001,0
Barbados,2002,0
Barbados,2003,0
Barbados,2004,0
Barbados,2005,0
Barbados,2006,0
Barbados,2007,0
Barbados,2008,0
Barbados,2009,0
Barbados,2010,0
Barbados,2011,0
Barbados,2012,0
Barbados,2013,0
Barbados,2014,0
Belarus,1990,224
Belarus,1991,1351
Belarus,1992,2324
Belarus,1993,3874
Belarus,1994,820
Belarus,1995,1516
Belarus,1996,395
Belarus,1997,135
Belarus,1998,517
Belarus,1999,153
Belarus,2000,21
Belarus,2001,45
Belarus,2002,14
Belarus,2003,21
Belarus,2004,2
Belarus,2005,1
Belarus,2006,149
Belarus,2007,1
Belarus,2008,0
Belarus,2009,0
Belarus,2010,1
Belarus,2011,50
Belarus,2012,10
Belarus,2013,16
Belarus,2014,64
Belgium,1988,47616
Belgium,1989,81044
Belgium,1991,7216
Belgium,1992,9565
Belgium,1993,7373
Belgium,1994,11346
Belgium,1995,10650
Belgium,1996,7221
Belgium,1997,3869
Belgium,1998,0
Belgium,2001,83
Belgium,2003,44
Belgium,2004,61
Belgium,2005,26
Belgium,2006,15
Belgium,2007,64
Belgium,2008,98
Belgium,2009,33
Belgium,2010,40
Belgium,2011,576
Belgium,2012,109
Belgium,2013,39
Belgium,2014,70
Belize,1980,607
Belize,1981,186
Belize,1982,6
Belize,1983,11
Belize,1984,4
Belize,1985,7
Belize,1986,124
Belize,1987,224
Belize,1988,74
Belize,1989,2
Belize,1990,25
Belize,1991,7
Belize,1992,11
Belize,1993,0
Belize,1994,0
Belize,1995,4
Belize,1996,0
Belize,1997,0
Belize,1998,0
Belize,1999,0
Belize,2000,0
Belize,2001,0
Belize,2002,0
Belize,2003,0
Belize,2004,0
Belize,2005,0
Belize,2006,0
Belize,2007,0
Belize,2008,0
Belize,2009,0
Belize,2010,0
Belize,2011,0
Belize,2012,0
Belize,2013,0
Belize,2014,0
Benin,1980,18635
Benin,1981,12378
Benin,1982,11850
Benin,1983,11774
Benin,1984,13437
Benin,1985,13210
Benin,1986,7374
Benin,1987,13180
Benin,1988,5275
Benin,1989,3281
Benin,1991,5396
Benin,1992,3049
Benin,1993,4102
Benin,1994,7557
Benin,1995,10469
Benin,1996,1365
Benin,1997,9521
Benin,1998,648
Benin,1999,2573
Benin,2000,4244
Benin,2001,5859
Benin,2002,1588
Benin,2003,217
Benin,2004,262
Benin,2005,210
Benin,2006,176
Benin,2007,341
Benin,2008,928
Benin,2009,1461
Benin,2010,392
Benin,2011,426
Benin,2012,288
Benin,2013,637
Benin,2014,786
Bhutan,1980,1642
Bhutan,1981,1102
Bhutan,1982,1868
Bhutan,1983,1356
Bhutan,1984,1321
Bhutan,1985,819
Bhutan,1986,948
Bhutan,1987,673
