Entity,Year,Mobile cellular subscriptions (World Bank (2015))
Afghanistan,1980,0
Afghanistan,1981,0
Afghanistan,1982,0
Afghanistan,1983,0
Afghanistan,1984,0
Afghanistan,1985,0
Afghanistan,1986,0
Afghanistan,1987,0
Afghanistan,1988,0
Afghanistan,1989,0
Afghanistan,1990,0
Afghanistan,1991,0
Afghanistan,1992,0
Afghanistan,1993,0
Afghanistan,1994,0
Afghanistan,1995,0
Afghanistan,1996,0
Afghanistan,1997,0
Afghanistan,1998,0
Afghanistan,1999,0
Afghanistan,2000,0
Afghanistan,2001,0
Afghanistan,2002,0.112598381
Afghanistan,2003,0.865196277
Afghanistan,2004,2.498055472
Afghanistan,2005,4.826865367
Afghanistan,2006,9.833164022
Afghanistan,2007,17.71624331
Afghanistan,2008,29.22037376
Afghanistan,2009,37.89493697
Afghanistan,2010,45.77817474
Afghanistan,2011,60.32631999
Afghanistan,2012,65.45219346
Afghanistan,2013,70.66135885
Albania,1980,0
Albania,1981,0
Albania,1982,0
Albania,1983,0
Albania,1984,0
Albania,1985,0
Albania,1986,0
Albania,1987,0
Albania,1988,0
Albania,1989,0
Albania,1990,0
Albania,1991,0
Albania,1992,0
Albania,1993,0
Albania,1994,0
Albania,1995,0
Albania,1996,0.068840778
Albania,1997,0.099059921
Albania,1998,0.168397958
Albania,1999,0.331772024
Albania,2000,0.901406013
Albania,2001,11.94887288
Albania,2002,26.07553141
Albania,2003,33.95706284
Albania,2004,39.16395669
Albania,2005,47.87802749
Albania,2006,60.06734238
Albania,2007,73.35038415
Albania,2008,58.91235149
Albania,2009,78.1845877
Albania,2010,85.468247
Albania,2011,98.29153459
Albania,2012,110.6865316
Albania,2013,116.1572081
Algeria,1980,0
Algeria,1981,0
Algeria,1982,0
Algeria,1983,0
Algeria,1984,0
Algeria,1985,0
Algeria,1986,0
Algeria,1987,0
Algeria,1988,0
Algeria,1989,0
Algeria,1990,0.001791178
Algeria,1991,0.017777422
Algeria,1992,0.017363261
Algeria,1993,0.016979454
Algeria,1994,0.004688247
Algeria,1995,0.016001794
Algeria,1996,0.039202273
Algeria,1997,0.057339703
Algeria,1998,0.05840281
Algeria,1999,0.230206295
Algeria,2000,0.27112703
Algeria,2001,0.311040075
Algeria,2002,1.382262358
Algeria,2003,4.384169991
