Entity,Year,Lightning,Tornado,Flood,Hurricane,Heat,Cold,Winter,Rip Current,Wind
United States,1900,4.83,,,,,,,,
United States,1901,6.32,,,,,,,,
United States,1902,5.27,,,,,,,,
United States,1903,4.4,,,,,,,,
United States,1904,3.8,,,,,,,,
United States,1905,3.69,,,,,,,,
United States,1906,5.02,,,,,,,,
United States,1907,3.87,,,,,,,,
United States,1908,4.2,,,,,,,,
United States,1909,3.42,,,,,,,,
United States,1910,3.18,,,,,,,,
United States,1911,4.2,,,,,,,,
United States,1912,4.27,,,,,,,,
United States,1913,5.16,,,,,,,,
United States,1914,4.46,,,,,,,,
United States,1915,3.45,,,,,,,,
United States,1916,5.11,,,,,,,,
United States,1917,5.13,,,,,,,,
United States,1918,5.09,,,,,,,,
United States,1919,4.95,,,,,,,,
United States,1920,4.77,,,,,,,,
United States,1921,5.28,,,,,,,,
United States,1922,4.62,,,,,,,,
United States,1923,4.69,,,,,,,,
United States,1924,3.4,,,,,,,,
United States,1925,4.38,,,,,,,,
United States,1926,3.55,,,,,,,,
United States,1927,3.29,,,,,,,,
United States,1928,3.77,,,,,,,,
United States,1929,3.32,,,,,,,,
United States,1930,3.06,,,,,,,,
United States,1931,3.73,,,,,,,,
United States,1932,2.99,,,,,,,,
United States,1933,3.11,,,,,,,,
United States,1934,3.68,,,,,,,,
United States,1935,2.85,,,,,,,,
United States,1936,3.19,,,,,,,,
United States,1937,3.57,,,,,,,,
United States,1938,3.05,,,,,,,,
United States,1939,2.98,,,,,,,,
United States,1940,2.58,0.491967883,0.454124199,0.386005569,,,,,
United States,1941,2.91,0.39729399,0.352317312,0.07496113,,,,,
United States,1942,2.75,2.847406739,0.504228277,0.059320974,,,,,
United States,1943,3.15,0.424164651,0.78251065,0.117010938,,,,,
United States,1944,3.01,1.987032338,0.238443881,0.462436617,,,,,
United States,1945,1.9,1.500770056,0.650333691,0.050025669,,,,,
United States,1946,1.62,0.551671201,0.198035816,0,,,,,
United States,1947,2.33,2.171709794,0.381610347,0.367733607,,,,,
United States,1948,1.74,0.954775673,0.559225751,0.020459479,,,,,
United States,1949,1.67,1.421024582,0.321741415,0.026811785,,,,,
United States,1950,1.45,0.459705448,0.610751524,0.124777193,,,,,
United States,1951,1.62,0.219527786,0.329291678,0,,,,,
United States,1952,1.36,1.459828626,0.342742373,0.019041243,,,,,
United States,1953,0.91,3.215048836,0.249712531,0.012485627,,,,,
United States,1954,1.36,0.22082387,0.337369801,1.183861303,,,,,
United States,1955,1.1,0.759350854,1.820031413,1.31379751,,,,,
United States,1956,0.89,0.49140622,0.248663388,0.124331694,,,,,
United States,1957,1.06,1.110567586,0.476788178,2.296723541,,,,,
United States,1958,0.6,0.377397538,0.268752792,0.011436289,,,,,
United States,1959,1.04,0.326154874,0.140583998,0.134960638,,,,,
United States,1960,0.72,0.260141362,0.935401918,0.359769969,,,,,
United States,1961,0.82,0.277640167,0.506285011,0.250420543,,,,,
United States,1962,0.84,0.150103464,0.284124414,0.021443352,,,,,
United States,1963,0.89,0.163811416,0.216653808,0.058126632,,,,,
United States,1964,0.69,0.380428268,0.740011152,0.255355961,,,,,
United States,1965,0.78,1.523393875,0.967560974,0.38599507,,,,,
United States,1966,0.57,0.498575499,0.284900285,0.274725275,,,,,
United States,1967,0.45,0.573694593,0.266717662,0.090583357,,,,,
United States,1968,0.65,0.652695983,0.283997489,0.044841709,,,,,
United States,1969,0.66,0.325641291,2.195611737,1.263093494,,,,,
United States,1970,0.6,0.351130445,0.638862337,0.053644929,,,,,
United States,1971,0.6,0.751224351,0.327456768,0.038524326,,,,,
United States,1972,0.45,0.128635134,2.644166635,0.576475969,,,,,
United States,1973,0.59,0.410553587,0.8399832,0.023595034,,,,,
United States,1974,0.53,1.68806756,0.519045704,0.004676087,,,,,
