Entity,Year,Economic Freedom of the World (Fraser Institute (2015))
Albania,1990,4.36
Albania,1995,5.05
Albania,2000,6.26
Albania,2001,6.33
Albania,2002,6.64
Albania,2003,7.12
Albania,2004,6.9
Albania,2005,7.11
Albania,2006,7.3
Albania,2007,7.44
Albania,2008,7.44
Albania,2009,7.46
Albania,2010,7.43
Albania,2011,7.32
Albania,2012,7.25
Albania,2013,7.3
Algeria,1980,3.82
Algeria,1985,3.6
Algeria,1990,3.43
Algeria,1995,4.06
Algeria,2000,4.69
Algeria,2001,4.68
Algeria,2002,4.6
Algeria,2003,4.63
Algeria,2004,4.7
Algeria,2005,5.25
Algeria,2006,5.31
Algeria,2007,5.14
Algeria,2008,4.95
Algeria,2009,4.97
Algeria,2010,4.76
Algeria,2011,4.56
Algeria,2012,4.61
Algeria,2013,4.67
Argentina,1970,4.36
Argentina,1975,2.76
Argentina,1980,3.96
Argentina,1985,3.3
Argentina,1990,4.42
Argentina,1995,7.04
Argentina,2000,7.41
Argentina,2001,6.73
Argentina,2002,6.23
Argentina,2003,6.09
Argentina,2004,6.27
Argentina,2005,5.97
Argentina,2006,6.09
Argentina,2007,6.29
Argentina,2008,6.07
Argentina,2009,5.95
Argentina,2010,5.86
Argentina,2011,5.8
Argentina,2012,5.32
Argentina,2013,5.18
Australia,1970,6.95
Australia,1975,6.06
Australia,1980,6.85
Australia,1985,7.16
Australia,1990,7.56
Australia,1995,7.97
Australia,2000,8.22
Australia,2001,8.08
Australia,2002,8.12
Australia,2003,8.11
Australia,2004,8.06
Australia,2005,8.23
Australia,2006,8.27
Australia,2007,8.31
Australia,2008,8.21
Australia,2009,8.09
Australia,2010,8.1
Australia,2011,8.09
Australia,2012,8.03
Australia,2013,7.99
Austria,1970,6.08
Austria,1975,5.93
Austria,1980,6.34
Austria,1985,6.35
Austria,1990,6.99
Austria,1995,7.18
Austria,2000,7.96
Austria,2001,7.78
Austria,2002,7.8
Austria,2003,7.96
Austria,2004,7.92
Austria,2005,7.84
Austria,2006,7.81
Austria,2007,7.79
Austria,2008,7.68
Austria,2009,7.61
Austria,2010,7.53
Austria,2011,7.51
Austria,2012,7.47
Austria,2013,7.45
Bahamas,1975,6.41
Bahamas,1980,6.29
Bahamas,1985,6.36
Bahamas,1990,6.47
Bahamas,1995,6.44
Bahamas,2000,6.72
Bahamas,2001,6.78
Bahamas,2002,6.76
Bahamas,2003,6.8
Bahamas,2004,6.91
Bahamas,2005,6.87
Bahamas,2006,6.74
Bahamas,2007,6.83
Bahamas,2008,6.86
Bahamas,2009,6.75
Bahamas,2010,6.7
Bahamas,2011,6.65
Bahamas,2012,6.65
Bahamas,2013,6.65
Bahrain,1980,7.42
Bahrain,1985,6.92
Bahrain,1990,6.88
Bahrain,1995,7.22
Bahrain,2000,7.69
Bahrain,2001,7.59
Bahrain,2002,7.59
Bahrain,2003,7.52
Bahrain,2004,7.36
Bahrain,2005,7.35
Bahrain,2006,7.61
Bahrain,2007,7.8
Bahrain,2008,7.71
Bahrain,2009,7.57
Bahrain,2010,7.69
Bahrain,2011,7.7
Bahrain,2012,7.52
Bahrain,2013,7.5
Bangladesh,1975,3.03
Bangladesh,1980,3.38
Bangladesh,1985,3.68
Bangladesh,1990,4.57
Bangladesh,1995,5.49
Bangladesh,2000,6.01
Bangladesh,2001,5.81
Bangladesh,2002,5.99
Bangladesh,2003,5.89
Bangladesh,2004,5.78
Bangladesh,2005,6.17
Bangladesh,2006,6.34
Bangladesh,2007,6.29
Bangladesh,2008,6.3
Bangladesh,2009,6.52
Bangladesh,2010,6.52
Bangladesh,2011,6.5
Bangladesh,2012,6.42
Bangladesh,2013,6.51
Barbados,1975,5.66
Barbados,1980,5.79
Barbados,1985,6.25
Barbados,1990,6.3
Barbados,1995,6.29
Barbados,2000,6.41
Barbados,2001,6.43
Barbados,2002,6.33
Barbados,2003,6.34
Barbados,2004,6.43
Barbados,2005,6.64
Barbados,2006,6.42
Barbados,2007,6.45
Barbados,2008,6.32
Barbados,2009,6.45
Barbados,2010,6.63
Barbados,2011,6.61
Barbados,2012,6.69
Barbados,2013,6.62
Belgium,1970,7.49
Belgium,1975,6.85
Belgium,1980,7.11
Belgium,1985,7.08
Belgium,1990,7.4
Belgium,1995,7.36
Belgium,2000,7.89
Belgium,2001,7.44
Belgium,2002,7.63
Belgium,2003,7.67
Belgium,2004,7.59
Belgium,2005,7.54
Belgium,2006,7.51
Belgium,2007,7.55
Belgium,2008,7.47
Belgium,2009,7.43
Belgium,2010,7.47
Belgium,2011,7.44
Belgium,2012,7.41
Belgium,2013,7.39
Belize,1980,5.7
Belize,1985,5.43
Belize,1990,6.11
Belize,1995,6.87
Belize,2000,6.52
Belize,2001,6.4
Belize,2002,6.89
Belize,2003,6.88
