Entity,Year,Countries Continents
Abkhazia,2015,Asia
Afghanistan,2015,Asia
Akrotiri and Dhekelia,2015,Asia
Åland Islands,2015,Europe
Albania,2015,Europe
Algeria,2015,Africa
American Samoa,2015,Oceania
Andorra,2015,Europe
Angola,2015,Africa
Anguilla,2015,North America
Antarctica,2015,Antarctica
Antigua and Barbuda,2015,North America
Argentina,2015,South America
Armenia,2015,Asia
Aruba,2015,North America
Australia,2015,Oceania
Austria,2015,Europe
Austria-Hungary,2015,Europe
Azerbaijan,2015,Asia
Baden,2015,Europe
Bahamas,2015,North America
Bahrain,2015,Asia
Bangladesh,2015,Asia
Barbados,2015,North America
Bavaria,2015,Europe
Belarus,2015,Europe
Belgium,2015,Europe
Belize,2015,North America
Benin,2015,Africa
Bermuda,2015,North America
Bhutan,2015,Asia
Bolivia,2015,South America
Bonaire Sint Eustatius and Saba,2015,North America
Bosnia and Herzegovina,2015,Europe
Botswana,2015,Africa
Bouvet Island,2015,Antarctica
Brazil,2015,South America
British Indian Ocean Territory,2015,Asia
British Virgin Islands,2015,North America
Brunei,2015,Asia
Bulgaria,2015,Europe
Burkina Faso,2015,Africa
Burundi,2015,Africa
Cambodia,2015,Asia
Cameroon,2015,Africa
Canada,2015,North America
Cape Verde,2015,Africa
Cayman Islands,2015,North America
Central African Republic,2015,Africa
Chad,2015,Africa
Channel Islands,2015,Europe
Chile,2015,South America
China,2015,Asia
Christmas Island,2015,Asia
Cocos Islands,2015,Asia
Colombia,2015,South America
Comoros,2015,Africa
Congo,2015,Africa
Cook Islands,2015,Oceania
Costa Rica,2015,North America
Cote d'Ivoire,2015,Africa
Croatia,2015,Europe
Cuba,2015,North America
Curacao,2015,North America
Cyprus,2015,Europe
Czech Republic,2015,Europe
Czechoslovakia,2015,Europe
Democratic Republic of Congo,2015,Africa
Denmark,2015,Europe
Djibouti,2015,Africa
Dominica,2015,North America
Dominican Republic,2015,North America
East Germany,2015,Europe
Ecuador,2015,South America
Egypt,2015,Africa
El Salvador,2015,North America
Equatorial Guinea,2015,Africa
Eritrea,2015,Africa
Eritrea and Ethiopia,2015,Africa
Estonia,2015,Europe
Ethiopia,2015,Africa
Faeroe Islands,2015,Europe
Falkland Islands,2015,South America
Fiji,2015,Oceania
Finland,2015,Europe
France,2015,Europe
French Guiana,2015,South America
French Polynesia,2015,Oceania
French Southern Territories,2015,Antarctica
Gabon,2015,Africa
Gambia,2015,Africa
Georgia,2015,Asia
Germany,2015,Europe
Ghana,2015,Africa
Gibraltar,2015,Europe
Greece,2015,Europe
Greenland,2015,North America
Grenada,2015,North America
Guadeloupe,2015,North America
Guam,2015,Oceania
Guatemala,2015,North America
Guernsey,2015,Europe
Guinea,2015,Africa
Guinea-Bissau,2015,Africa
Guyana,2015,South America
Haiti,2015,North America
Hanover,2015,Europe
Heard Island and McDonald Islands,2015,Antarctica
Hesse Electoral,2015,Europe
Hesse Grand Ducal,2015,Europe
Honduras,2015,North America
Hong Kong,2015,Asia
Hungary,2015,Europe
Iceland,2015,Europe
India,2015,Asia
Indonesia,2015,Asia
Iran,2015,Asia
Iraq,2015,Asia
Ireland,2015,Europe
Isle of Man,2015,Europe
Israel,2015,Asia
Italy,2015,Europe
Jamaica,2015,North America
Japan,2015,Asia
Jersey,2015,Europe
Jordan,2015,Asia
Kazakhstan,2015,Asia
Kenya,2015,Africa
Kiribati,2015,Oceania
Kosovo,2015,Europe
Kuwait,2015,Asia
Kyrgyzstan,2015,Asia
Laos,2015,Asia
Latvia,2015,Europe
Lebanon,2015,Asia
Lesotho,2015,Africa
Liberia,2015,Africa
Libya,2015,Africa
Liechtenstein,2015,Europe
Lithuania,2015,Europe
Luxembourg,2015,Europe
Macao,2015,Asia
Macedonia,2015,Europe
Madagascar,2015,Africa
Malawi,2015,Africa
Malaysia,2015,Asia
Maldives,2015,Asia
Mali,2015,Africa
Malta,2015,Europe
Marshall Islands,2015,Oceania
Martinique,2015,North America
Mauritania,2015,Africa
Mauritius,2015,Africa
Mayotte,2015,Africa
Mecklenburg Schwerin,2015,Europe
Mexico,2015,North America
Micronesia (country),2015,Oceania
Modena,2015,Europe
Moldova,2015,Europe
Monaco,2015,Europe
Mongolia,2015,Asia
Montenegro,2015,Europe
Montserrat,2015,North America
Morocco,2015,Africa
Mozambique,2015,Africa
Myanmar,2015,Asia
Nagorno-Karabakh,2015,Asia
Namibia,2015,Africa
Nauru,2015,Oceania
Nepal,2015,Asia
Netherlands,2015,Europe
Netherlands Antilles,2015,North America
New Caledonia,2015,Oceania
New Zealand,2015,Oceania
Nicaragua,2015,North America
Niger,2015,Africa
Nigeria,2015,Africa
Niue,2015,Oceania
Norfolk Island,2015,Oceania
North Korea,2015,Asia
Northern Cyprus,2015,Asia
Northern Mariana Islands,2015,Oceania
Norway,2015,Europe
Oman,2015,Asia
Pakistan,2015,Asia
Palau,2015,Oceania
Palestine,2015,Asia
Panama,2015,North America
Papua New Guinea,2015,Oceania
Paraguay,2015,South America
Parma,2015,Europe
Peru,2015,South America
Philippines,2015,Asia
Pitcairn,2015,Oceania
Poland,2015,Europe
Portugal,2015,Europe
Puerto Rico,2015,North America
Qatar,2015,Asia
Republic of Vietnam,2015,Asia
Reunion,2015,Africa
Romania,2015,Europe
Russia,2015,Europe
Rwanda,2015,Africa
Saint Barthélemy,2015,North America
Saint Helena,2015,Africa
Saint Kitts and Nevis,2015,North America
Saint Lucia,2015,North America
Saint Martin (French part),2015,North America
Saint Pierre and Miquelon,2015,North America
Saint Vincent and the Grenadines,2015,North America
Samoa,2015,Oceania
San Marino,2015,Europe
Sao Tome and Principe,2015,Africa
Saudi Arabia,2015,Asia
Saxony,2015,Europe
Senegal,2015,Africa
Serbia,2015,Europe
Serbia and Montenegro,2015,Europe
Serbia excluding Kosovo,2015,Europe
Seychelles,2015,Africa
Sierra Leone,2015,Africa
Singapore,2015,Asia
Sint Maarten (Dutch part),2015,North America
Slovakia,2015,Europe
Slovenia,2015,Europe
Solomon Islands,2015,Oceania
Somalia,2015,Africa
Somaliland,2015,Africa
South Africa,2015,Africa
South Georgia and the South Sandwich Islands,2015,South America
South Korea,2015,Asia
South Ossetia,2015,Asia
South Sudan,2015,Africa
Spain,2015,Europe
Sri Lanka,2015,Asia
Sudan,2015,Africa
Suriname,2015,South America
Svalbard and Jan Mayen,2015,Europe
Swaziland,2015,Africa
Sweden,2015,Europe
Switzerland,2015,Europe
Syria,2015,Asia
Taiwan,2015,Asia
Tajikistan,2015,Asia
Tanzania,2015,Africa
Thailand,2015,Asia
Timor,2015,Asia
Togo,2015,Africa
Tokelau,2015,Oceania
Tonga,2015,Oceania
Transnistria,2015,Europe
Trinidad and Tobago,2015,North America
Tunisia,2015,Africa
Turkey,2015,Asia
Turkmenistan,2015,Asia
Turks and Caicos Islands,2015,North America
Tuscany,2015,Europe
Tuvalu,2015,Oceania
Two Sicilies,2015,Europe
Uganda,2015,Africa
Ukraine,2015,Europe
United Arab Emirates,2015,Asia
United Kingdom,2015,Europe
United Korea,2015,Asia
United States,2015,North America
United States Minor Outlying Islands,2015,Oceania
United States Virgin Islands,2015,North America
Uruguay,2015,South America
USSR,2015,Europe
Uzbekistan,2015,Asia
Vanuatu,2015,Oceania
Vatican,2015,Europe
Venezuela,2015,South America
Vietnam,2015,Asia
Wallis and Futuna,2015,Oceania
West Germany,2015,Europe
Western Sahara,2015,Africa
Wuerttemburg,2015,Europe
Yemen,2015,Asia
Yemen Arab Republic,2015,Asia
Yemen People's Republic,2015,Asia
Yugoslavia,2015,Europe
Zambia,2015,Africa
Zanzibar,2015,Africa
Zimbabwe,2015,Africa
