Entity,Year,"Human Development Index (HDI), 1980-2014 - UN"
Afghanistan,1980,0.23
Afghanistan,1990,0.296
Afghanistan,2000,0.341
Afghanistan,2005,0.396
Afghanistan,2008,0.43
Afghanistan,2010,0.453
Afghanistan,2011,0.458
Afghanistan,2012,0.466
Afghanistan,2013,0.468
Albania,1980,0.603
Albania,1990,0.609
Albania,2000,0.655
Albania,2005,0.689
Albania,2008,0.703
Albania,2010,0.708
Albania,2011,0.714
Albania,2012,0.714
Albania,2013,0.716
Algeria,1980,0.509
Algeria,1990,0.576
Algeria,2000,0.634
Algeria,2005,0.675
Algeria,2008,0.695
Algeria,2010,0.709
Algeria,2011,0.715
Algeria,2012,0.715
Algeria,2013,0.717
Andorra,2010,0.832
Andorra,2011,0.831
Andorra,2012,0.83
Andorra,2013,0.83
Angola,2000,0.377
Angola,2005,0.446
Angola,2008,0.49
Angola,2010,0.504
Angola,2011,0.521
Angola,2012,0.524
Angola,2013,0.526
Antigua and Barbuda,2010,0.778
Antigua and Barbuda,2011,0.772
Antigua and Barbuda,2012,0.773
Antigua and Barbuda,2013,0.774
Argentina,1980,0.665
Argentina,1990,0.694
Argentina,2000,0.753
Argentina,2005,0.758
Argentina,2008,0.777
Argentina,2010,0.799
Argentina,2011,0.804
Argentina,2012,0.806
Argentina,2013,0.808
Armenia,1990,0.632
Armenia,2000,0.648
Armenia,2005,0.693
Armenia,2008,0.722
Armenia,2010,0.72
Armenia,2011,0.724
Armenia,2012,0.728
Armenia,2013,0.73
Australia,1980,0.841
Australia,1990,0.866
Australia,2000,0.898
Australia,2005,0.912
Australia,2008,0.922
Australia,2010,0.926
Australia,2011,0.928
Australia,2012,0.931
Australia,2013,0.933
Austria,1980,0.736
Austria,1990,0.786
Austria,2000,0.835
Austria,2005,0.851
Austria,2008,0.868
Austria,2010,0.877
Austria,2011,0.879
Austria,2012,0.88
Austria,2013,0.881
Azerbaijan,2000,0.639
Azerbaijan,2005,0.686
Azerbaijan,2008,0.724
Azerbaijan,2010,0.743
Azerbaijan,2011,0.743
Azerbaijan,2012,0.745
Azerbaijan,2013,0.747
Bahamas,2000,0.766
Bahamas,2005,0.787
Bahamas,2008,0.791
Bahamas,2010,0.788
Bahamas,2011,0.789
Bahamas,2012,0.788
Bahamas,2013,0.789
Bahrain,1980,0.677
Bahrain,1990,0.729
Bahrain,2000,0.784
Bahrain,2005,0.811
Bahrain,2008,0.81
Bahrain,2010,0.812
Bahrain,2011,0.812
Bahrain,2012,0.813
Bahrain,2013,0.815
Bangladesh,1980,0.336
Bangladesh,1990,0.382
Bangladesh,2000,0.453
Bangladesh,2005,0.494
Bangladesh,2008,0.515
Bangladesh,2010,0.539
Bangladesh,2011,0.549
Bangladesh,2012,0.554
Bangladesh,2013,0.558
Barbados,1980,0.658
Barbados,1990,0.706
Barbados,2000,0.745
Barbados,2005,0.761
Barbados,2008,0.776
Barbados,2010,0.779
Barbados,2011,0.78
Barbados,2012,0.776
Barbados,2013,0.776
Belarus,2005,0.725
Belarus,2008,0.764
Belarus,2010,0.779
Belarus,2011,0.784
Belarus,2012,0.785
Belarus,2013,0.786
Belgium,1980,0.753
Belgium,1990,0.805
Belgium,2000,0.873
Belgium,2005,0.865
Belgium,2008,0.873
Belgium,2010,0.877
Belgium,2011,0.88
Belgium,2012,0.88
Belgium,2013,0.881
Belize,1980,0.619
Belize,1990,0.64
Belize,2000,0.675
Belize,2005,0.71
Belize,2008,0.71
Belize,2010,0.714
Belize,2011,0.717
Belize,2012,0.731
Belize,2013,0.732
Benin,1980,0.287
Benin,1990,0.342
Benin,2000,0.391
Benin,2005,0.432
Benin,2008,0.454
Benin,2010,0.467
Benin,2011,0.471
Benin,2012,0.473
Benin,2013,0.476
Bhutan,2010,0.569
Bhutan,2011,0.579
Bhutan,2012,0.58
Bhutan,2013,0.584
Bolivia,1980,0.494
Bolivia,1990,0.554
Bolivia,2000,0.615
Bolivia,2005,0.636
Bolivia,2008,0.649
Bolivia,2010,0.658
Bolivia,2011,0.661
Bolivia,2012,0.663
Bolivia,2013,0.667
Bosnia and Herzegovina,2005,0.716
Bosnia and Herzegovina,2008,0.727
Bosnia and Herzegovina,2010,0.726
Bosnia and Herzegovina,2011,0.729
Bosnia and Herzegovina,2012,0.729
Bosnia and Herzegovina,2013,0.731
Botswana,1980,0.47
Botswana,1990,0.583
Botswana,2000,0.56
Botswana,2005,0.61
Botswana,2008,0.656
Botswana,2010,0.672
Botswana,2011,0.678
Botswana,2012,0.681
Botswana,2013,0.683
Brazil,1980,0.545
Brazil,1990,0.612
Brazil,2000,0.682
Brazil,2005,0.705
Brazil,2008,0.731
Brazil,2010,0.739
Brazil,2011,0.74
Brazil,2012,0.742
Brazil,2013,0.744
Brunei,1980,0.74
Brunei,1990,0.786
Brunei,2000,0.822
Brunei,2005,0.838
Brunei,2008,0.843
Brunei,2010,0.844
Brunei,2011,0.846
Brunei,2012,0.852
Brunei,2013,0.852
Bulgaria,1980,0.658
Bulgaria,1990,0.696
Bulgaria,2000,0.714
Bulgaria,2005,0.749
Bulgaria,2008,0.766
Bulgaria,2010,0.773
Bulgaria,2011,0.774
Bulgaria,2012,0.776
Bulgaria,2013,0.777
Burkina Faso,2005,0.321
Burkina Faso,2008,0.349
Burkina Faso,2010,0.367
Burkina Faso,2011,0.376
Burkina Faso,2012,0.385
Burkina Faso,2013,0.388
Burundi,1980,0.23
Burundi,1990,0.291
Burundi,2000,0.29
Burundi,2005,0.319
Burundi,2008,0.362
Burundi,2010,0.381
Burundi,2011,0.384
Burundi,2012,0.386
Burundi,2013,0.389
Cambodia,1980,0.251
Cambodia,1990,0.403
Cambodia,2000,0.466
Cambodia,2005,0.536
Cambodia,2008,0.564
Cambodia,2010,0.571
Cambodia,2011,0.575
Cambodia,2012,0.579
Cambodia,2013,0.584
Cameroon,1980,0.391
Cameroon,1990,0.44
Cameroon,2000,0.433
Cameroon,2005,0.457
Cameroon,2008,0.477
Cameroon,2010,0.493
Cameroon,2011,0.498
Cameroon,2012,0.501
Cameroon,2013,0.504
Canada,1980,0.809
Canada,1990,0.848
Canada,2000,0.867
Canada,2005,0.892
Canada,2008,0.896
Canada,2010,0.896
Canada,2011,0.9
Canada,2012,0.901
Canada,2013,0.902
Cape Verde,2000,0.573
Cape Verde,2005,0.589
Cape Verde,2008,0.613
Cape Verde,2010,0.622
Cape Verde,2011,0.631
Cape Verde,2012,0.635
Cape Verde,2013,0.636
Central African Republic,1980,0.295
Central African Republic,1990,0.31
Central African Republic,2000,0.314
Central African Republic,2005,0.327
Central African Republic,2008,0.344
Central African Republic,2010,0.355
Central African Republic,2011,0.361
Central African Republic,2012,0.365
Central African Republic,2013,0.341
Chad,2000,0.301
Chad,2005,0.324
Chad,2008,0.338
Chad,2010,0.349
Chad,2011,0.365
Chad,2012,0.37
Chad,2013,0.372
Chile,1980,0.64
Chile,1990,0.704
Chile,2000,0.753
Chile,2005,0.785
Chile,2008,0.805
