Entity,Year,SRES A1 (GDP per capita; downscaling by Pretis & Roser (2016))
Afghanistan,1990,21800000000
Afghanistan,1995,27400000000
Afghanistan,2000,34100000000
Afghanistan,2005,48500000000
Afghanistan,2010,68800000000
Afghanistan,2015,103000000000
Afghanistan,2020,137000000000
Afghanistan,2025,203000000000
Afghanistan,2030,269000000000
Afghanistan,2035,368000000000
Afghanistan,2040,467000000000
Afghanistan,2045,566000000000
Afghanistan,2050,665000000000
Afghanistan,2055,877000000000
Afghanistan,2060,1090000000000
Afghanistan,2065,1300000000000
Afghanistan,2070,1510000000000
Afghanistan,2075,1730000000000
Afghanistan,2080,1920000000000
Afghanistan,2085,2110000000000
Afghanistan,2090,2310000000000
Afghanistan,2095,2500000000000
Afghanistan,2100,2690000000000
Albania,1990,2100000000
Albania,1995,1840000000
Albania,2000,1620000000
Albania,2005,2200000000
Albania,2010,3000000000
Albania,2015,4280000000
Albania,2020,5560000000
Albania,2025,7930000000
Albania,2030,10300000000
Albania,2035,13800000000
Albania,2040,17200000000
Albania,2045,20600000000
Albania,2050,24100000000
Albania,2055,27800000000
Albania,2060,31500000000
Albania,2065,35200000000
Albania,2070,39000000000
Albania,2075,42700000000
Albania,2080,47400000000
Albania,2085,52200000000
Albania,2090,56900000000
Albania,2095,61700000000
Albania,2100,66500000000
Algeria,1990,61900000000
Algeria,1995,73600000000
Algeria,2000,85800000000
Algeria,2005,123000000000
Algeria,2010,175000000000
Algeria,2015,259000000000
Algeria,2020,342000000000
Algeria,2025,495000000000
Algeria,2030,647000000000
Algeria,2035,926000000000
Algeria,2040,1200000000000
Algeria,2045,1480000000000
Algeria,2050,1760000000000
Algeria,2055,2050000000000
Algeria,2060,2330000000000
Algeria,2065,2610000000000
Algeria,2070,2900000000000
Algeria,2075,3180000000000
Algeria,2080,3490000000000
Algeria,2085,3810000000000
Algeria,2090,4120000000000
Algeria,2095,4430000000000
Algeria,2100,4750000000000
Angola,1990,10300000000
Angola,1995,12300000000
Angola,2000,14300000000
Angola,2005,20000000000
Angola,2010,27600000000
Angola,2015,39100000000
Angola,2020,50500000000
Angola,2025,69900000000
Angola,2030,89300000000
Angola,2035,180000000000
Angola,2040,271000000000
Angola,2045,362000000000
Angola,2050,453000000000
Angola,2055,612000000000
Angola,2060,771000000000
Angola,2065,931000000000
Angola,2070,1090000000000
Angola,2075,1250000000000
Angola,2080,1430000000000
Angola,2085,1600000000000
Angola,2090,1780000000000
Angola,2095,1960000000000
Angola,2100,2130000000000
Argentina,1990,141000000000
Argentina,1995,167000000000
Argentina,2000,195000000000
Argentina,2005,276000000000
Argentina,2010,389000000000
Argentina,2015,578000000000
Argentina,2020,766000000000
Argentina,2025,1130000000000
Argentina,2030,1490000000000
Argentina,2035,1840000000000
Argentina,2040,2180000000000
Argentina,2045,2520000000000
Argentina,2050,2870000000000
Argentina,2055,3230000000000
Argentina,2060,3600000000000
Argentina,2065,3960000000000
Argentina,2070,4330000000000
Argentina,2075,4690000000000
Argentina,2080,5050000000000
