Entity,Year,Fertilizer consumption (FAO (2017) & Federico (2008))
Afghanistan,2002,3.40336025
Afghanistan,2003,3.275090067
Afghanistan,2004,4.535568066
Afghanistan,2005,4.240358744
Afghanistan,2006,6.290993072
Afghanistan,2007,3.618809341
Afghanistan,2008,2.988067744
Afghanistan,2009,4.521493648
Afghanistan,2010,4.254972411
Afghanistan,2011,6.610062893
Afghanistan,2012,28.06559692
Afghanistan,2013,14.87925498
Afghanistan,2014,12.28670699
Albania,2002,97.18512111
Albania,2003,98.93252595
Albania,2004,100.5986159
Albania,2005,111.5966543
Albania,2006,85.09246575
Albania,2007,87.16782007
Albania,2008,75.87704918
Albania,2009,89.38587849
Albania,2010,97.32268371
Albania,2011,97.13665595
Albania,2012,92.77176547
Albania,2013,87.47690812
Albania,2014,87.69005848
Algeria,2002,9.641579436
Algeria,2003,6.001172755
Algeria,2004,25.09515548
Algeria,2005,7.429902809
Algeria,2006,13.2626506
Algeria,2007,14.96157451
Algeria,2008,8.576712512
Algeria,2009,13.98665421
Algeria,2010,19.48147161
Algeria,2011,17.48507065
Algeria,2012,21.78032372
Algeria,2013,16.92724314
Algeria,2014,51.32085576
Angola,2002,1.659032258
Angola,2003,1.788787879
Angola,2004,4.501515152
Angola,2005,2.260606061
Angola,2006,3.66
Angola,2007,3.305
Angola,2008,8.258823529
Angola,2009,5.47225
Angola,2010,8.43
Angola,2011,11.98382979
Angola,2012,13.55808511
Angola,2013,14.44897959
Angola,2014,6.955306122
Antigua and Barbuda,2002,13
Antigua and Barbuda,2003,27.25
Antigua and Barbuda,2004,7.5
Antigua and Barbuda,2005,6
Antigua and Barbuda,2006,4.5
Antigua and Barbuda,2007,0.5
Antigua and Barbuda,2008,3.5
Antigua and Barbuda,2009,13.25
Antigua and Barbuda,2010,3
Antigua and Barbuda,2011,3.25
Antigua and Barbuda,2012,4.5
Antigua and Barbuda,2013,8.5
Antigua and Barbuda,2014,8
Arab World,2002,57.18838487
Arab World,2003,64.25948136
Arab World,2004,64.08598314
Arab World,2005,68.81264283
Arab World,2006,59.43072533
Arab World,2007,61.65731298
Arab World,2008,64.87866919
Arab World,2009,56.93664887
Arab World,2010,62.09016682
Arab World,2011,71.54263716
Arab World,2012,83.82677576
