Entity,Year,Under five mortality rate (UN World Population Prospects (2015))
Afghanistan,1955,40.69
Afghanistan,1960,37.45
Afghanistan,1965,34.69
Afghanistan,1970,32.17
Afghanistan,1975,29.69
Afghanistan,1980,26.99
Afghanistan,1985,23.84
Afghanistan,1990,19.94
Afghanistan,1995,16.25
Afghanistan,2000,14.21
Afghanistan,2005,12.76
Afghanistan,2010,11.18
Afghanistan,2015,9.86
Albania,1955,19.41
Albania,1960,16.61
Albania,1965,12.97
Albania,1970,9.9
Albania,1975,7.28
Albania,1980,5.77
Albania,1985,5.25
Albania,1990,4.57
Albania,1995,3.71
Albania,2000,3.08
Albania,2005,2.45
Albania,2010,1.76
Albania,2015,1.57
Algeria,1955,27.82
Algeria,1960,25.5
Algeria,1965,23.1
Algeria,1970,20.87
Algeria,1975,18.82
Algeria,1980,15.66
Algeria,1985,10.35
Algeria,1990,7.15
Algeria,1995,6.02
Algeria,2000,5.23
Algeria,2005,4.59
Algeria,2010,4.13
Algeria,2015,3.6
Angola,1955,37.54
Angola,1960,35.19
Angola,1965,32.93
Angola,1970,30.77
Angola,1975,29.08
Angola,1980,27.1
Angola,1985,26.41
Angola,1990,25.77
Angola,1995,25.34
Angola,2000,23.23
Angola,2005,19.3
Angola,2010,17.05
Angola,2015,15.57
Antigua and Barbuda,1955,11.52
Antigua and Barbuda,1960,9.35
Antigua and Barbuda,1965,7.6
Antigua and Barbuda,1970,6.19
Antigua and Barbuda,1975,5.05
Antigua and Barbuda,1980,4.12
Antigua and Barbuda,1985,3.37
Antigua and Barbuda,1990,2.75
Antigua and Barbuda,1995,2.26
Antigua and Barbuda,2000,1.85
Antigua and Barbuda,2005,1.52
Antigua and Barbuda,2010,1.25
Antigua and Barbuda,2015,1.14
Argentina,1955,8.36
Argentina,1960,7.56
Argentina,1965,7.29
Argentina,1970,6.92
Argentina,1975,5.76
Argentina,1980,4.62
Argentina,1985,3.74
Argentina,1990,3.19
Argentina,1995,2.82
Argentina,2000,2.45
Argentina,2005,1.75
Argentina,2010,1.71
Argentina,2015,1.6
Armenia,1955,9.66
Armenia,1960,8.86
Armenia,1965,8.12
Armenia,1970,7.39
Armenia,1975,6.76
Armenia,1980,6.3
Armenia,1985,5.78
Armenia,1990,5.63
Armenia,1995,5.27
Armenia,2000,4.03
Armenia,2005,3.02
Armenia,2010,2.37
Armenia,2015,1.62
Aruba,1955,9.51
Aruba,1960,6.8
Aruba,1965,5.38
