Entity,Year,Manufacturing (Europa (2010)),Households (Europa (2010)),Other (Europa (2010)),Total food waste (Europa (2010))
Austria,2006,570544,784570,502000,1857114
Belgium,2006,2311847,934760,945000,4191607
Bulgaria,2006,358687,288315,27000,674002
Cyprus,2006,186917.00,47819.00,21000.00,255736
Czech Republic,2006,361813.00,254124,113000,728937
Denmark,2006,101646,494914,45000,641560
Estonia,2006,237257,82236,36000,355493
European Union,2006,34755711,37701761,16820000,89277472
Finland,2006,590442,214796,208000,1013238
France,2006,626000,6322944,2129000,9077944
Germany,2006,1848881,7676471,862000,10387352
Greece,2006,73081,412758,2000,487839
Hungary,2006,1157419,394952,306000,1858371
Ireland,2006,465945,292326,293000,1051271
Italy,2006,5662838,2706793,408000,8777631
Latvia,2006,125635,78983,11000,215618
Lithuania,2006,222205,111160,248000,581365
Luxembourg,2006,2665,62538,31000,96203
Malta,2006,271,22115,3000,25386
Netherlands,2006,6412330,1837599,1206000,9455929
Poland,2006,6566060,2049844,356000,8971904
Portugal,2006,632395,385063,374000,1391458
Romania,2006,487751,696794,1089000,2273545
Slovakia,2006,347773,135854,105000,588627
Slovenia,2006,42072,72481,65000,179553
Spain,2006,2170910,2136551,3388000,7695461
Sweden,2006,601327,905000,547000,2053327
United Kingdom,2006,2591000,8300000,3500000,14391000
