Entity,Year,Share of population covered by health insurance (ILO (2014))
Albania,2008,23.6
Algeria,2005,85.2
American Samoa,2009,3.0
Angola,2010,0.0
Antigua and Barbuda,2007,51.1
Argentina,2009,96.8
Armenia,2009,100.0
Aruba,2003,99.2
Australia,2011,100.0
Austria,2010,99.3
Azerbaijan,2006,2.9
Bahamas,1995,100.0
Bahrain,2010,100.0
Bangladesh,2003,1.4
Barbados,1995,100.0
Belarus,2010,100.0
Belgium,2010,99.0
Belize,2009,25.0
Benin,2009,9.0
Bhutan,2009,90.0
Bolivia,2009,42.7
Bosnia and Herzegovina,2004,59.2
Brazil,2009,100.0
Brunei,2010,100.0
Bulgaria,2008,87.0
Burkina Faso,2010,1.0
Burundi,2009,28.4
Cambodia,2009,26.1
Cameroon,2009,2.0
Canada,2011,100.0
Central African Republic,2008,6.0
Chile,2011,93.1
China,2010,96.9
Colombia,2010,87.7
Costa Rica,2009,100.0
Cote d'Ivoire,2008,1.2
Croatia,2009,97.0
Cuba,2010,100.0
Cyprus,2008,65.0
Czech Republic,2011,100.0
Democratic Republic of Congo,2010,10.0
Denmark,2011,100.0
Djibouti,2006,30.0
Dominica,2009,13.4
Dominican Republic,2007,26.5
Ecuador,2009,22.8
Egypt,2008,51.1
El Salvador,2009,21.6
Estonia,2011,92.9
Fiji,2010,100.0
Finland,2010,100.0
France,2011,99.9
Gabon,2010,57.6
Gambia,2011,99.9
Georgia,2008,25.0
Germany,2010,100.0
Ghana,2010,73.9
Greece,2010,100.0
Grenada,2007,7.4
Guatemala,2005,30.0
Guinea,2010,0.2
Guinea-Bissau,2009,1.6
Guyana,2009,23.8
Haiti,2001,3.1
Honduras,2006,12.0
Hong Kong,2006,100.0
Hungary,2010,100.0
Iceland,2010,100.0
India,2010,12.5
Indonesia,2010,59.0
Iran,2005,90.0
Ireland,2011,100.0
Israel,2011,100.0
Italy,2010,100.0
Jamaica,2007,20.1
Japan,2010,100.0
Jordan,2006,75.0
Kazakhstan,2001,70.0
Kenya,2009,39.4
Kuwait,2006,100.0
Kyrgyzstan,2001,83.0
Laos,2009,11.6
Latvia,2005,70.0
Lebanon,2007,48.3
Lesotho,2009,17.6
Liechtenstein,2008,95.0
Lithuania,2009,95.0
Luxembourg,2010,97.6
Macedonia,2006,94.9
Madagascar,2009,3.7
Malaysia,2010,100.0
Maldives,2011,30.0
Mali,2008,1.9
Malta,2009,100.0
Mauritania,2009,6.0
Mauritius,2010,100.0
Mexico,2010,85.6
Moldova,2004,75.7
Mongolia,2009,81.9
Montenegro,2004,95.0
Morocco,2007,42.3
Namibia,2007,28.0
Nepal,2010,0.1
Netherlands,2010,98.9
New Zealand,2011,100.0
Nicaragua,2005,12.2
Niger,2003,3.1
Nigeria,2008,2.2
Norway,2011,100.0
Oman,2005,97.0
Pakistan,2009,26.6
Palestine,2004,16.2
Panama,2008,51.8
Paraguay,2009,23.6
Peru,2010,64.4
Philippines,2009,82.0
Poland,2010,97.5
Portugal,2010,100.0
Qatar,2006,100.0
Romania,2009,94.3
Russia,2011,88.0
Rwanda,2010,91.0
Saint Kitts and Nevis,2008,28.8
Saint Lucia,2003,35.5
Saint Vincent and the Grenadines,2008,9.4
Sao Tome and Principe,2009,2.1
Senegal,2007,20.1
Serbia,2009,92.1
Sierra Leone,2008,0.0
Singapore,2010,100.0
Slovakia,2010,94.8
Slovenia,2011,100.0
South Africa,2010,100.0
South Korea,2010,100.0
Spain,2010,99.2
Sri Lanka,2010,100.0
Sudan,2009,29.7
Swaziland,2006,6.2
Sweden,2011,100.0
Switzerland,2010,100.0
Syria,2008,90.0
Taiwan,2010,99.6
Tajikistan,2010,0.3
Tanzania,2010,13.0
Thailand,2007,98.0
Togo,2010,4.0
Tunisia,2005,80.0
Turkey,2011,86.0
Turkmenistan,2010,82.3
Uganda,2008,2.0
Ukraine,2011,100.0
United Arab Emirates,2011,100.0
United Kingdom,2010,100.0
United States,2010,84.0
Uruguay,2010,97.2
Uzbekistan,2010,100.0
Vanuatu,2010,100.0
Venezuela,2010,100.0
Vietnam,2010,61.0
Yemen,2003,42.0
Zambia,2008,8.4
Zimbabwe,2009,1.0
