Entity,Year,Share of the population in extreme poverty,Extreme Poverty to 2030 (On or Off-track)
Afghanistan,2015,37.64,Off-track
Afghanistan,2016,37.19,Off-track
Afghanistan,2017,36.00,Off-track
Afghanistan,2018,34.46,Off-track
Afghanistan,2019,32.65,Off-track
Afghanistan,2020,30.66,Off-track
Afghanistan,2021,28.53,Off-track
Afghanistan,2022,26.32,Off-track
Afghanistan,2023,25.12,Off-track
Afghanistan,2024,23.99,Off-track
Afghanistan,2025,22.93,Off-track
Afghanistan,2026,21.81,Off-track
Afghanistan,2027,20.75,Off-track
Afghanistan,2028,19.75,Off-track
Afghanistan,2029,18.81,Off-track
Afghanistan,2030,17.92,Off-track
Africa,2015,33.86,
Africa,2016,33.90,
Africa,2017,33.48,
Africa,2018,32.89,
Africa,2019,32.26,
Africa,2020,31.58,
Africa,2021,30.93,
Africa,2022,30.18,
Africa,2023,29.05,
Africa,2024,27.97,
Africa,2025,26.94,
Africa,2026,25.92,
Africa,2027,24.94,
Africa,2028,24.01,
Africa,2029,23.12,
Africa,2030,22.28,
Albania,2015,0.60,Target reached
Albania,2016,0.52,Target reached
Albania,2017,0.45,Target reached
Albania,2018,0.38,Target reached
Albania,2019,0.33,Target reached
Albania,2020,0.28,Target reached
Albania,2021,0.24,Target reached
Albania,2022,0.21,Target reached
Albania,2023,0.19,Target reached
Albania,2024,0.17,Target reached
Albania,2025,0.16,Target reached
Albania,2026,0.14,Target reached
Albania,2027,0.14,Target reached
Albania,2028,0.12,Target reached
Albania,2029,0.11,Target reached
Albania,2030,0.11,Target reached
Algeria,2015,2.09,Target reached
Algeria,2016,1.88,Target reached
Algeria,2017,1.91,Target reached
Algeria,2018,1.99,Target reached
Algeria,2019,2.02,Target reached
Algeria,2020,2.00,Target reached
Algeria,2021,1.93,Target reached
Algeria,2022,1.85,Target reached
Algeria,2023,1.69,Target reached
Algeria,2024,1.54,Target reached
Algeria,2025,1.40,Target reached
Algeria,2026,1.27,Target reached
Algeria,2027,1.15,Target reached
Algeria,2028,1.04,Target reached
Algeria,2029,0.94,Target reached
Algeria,2030,0.85,Target reached
Angola,2015,24.65,Poverty rising
Angola,2016,25.75,Poverty rising
Angola,2017,26.38,Poverty rising
Angola,2018,26.92,Poverty rising
Angola,2019,27.52,Poverty rising
Angola,2020,28.07,Poverty rising
Angola,2021,28.68,Poverty rising
Angola,2022,29.26,Poverty rising
Angola,2023,29.06,Off-track
Angola,2024,28.87,Off-track
Angola,2025,28.69,Off-track
Angola,2026,28.52,Off-track
Angola,2027,28.36,Off-track
Angola,2028,28.21,Off-track
Angola,2029,28.07,Off-track
Angola,2030,27.94,Off-track
Antigua and Barbuda,2015,1.94,Target reached
Antigua and Barbuda,2016,1.83,Target reached
Antigua and Barbuda,2017,1.75,Target reached
Antigua and Barbuda,2018,1.69,Target reached
Antigua and Barbuda,2019,1.63,Target reached
Antigua and Barbuda,2020,1.57,Target reached
Antigua and Barbuda,2021,1.51,Target reached
Antigua and Barbuda,2022,1.46,Target reached
Antigua and Barbuda,2023,1.39,Target reached
Antigua and Barbuda,2024,1.33,Target reached
Antigua and Barbuda,2025,1.27,Target reached
Antigua and Barbuda,2026,1.21,Target reached
Antigua and Barbuda,2027,1.16,Target reached
Antigua and Barbuda,2028,1.11,Target reached
Antigua and Barbuda,2029,1.05,Target reached
Antigua and Barbuda,2030,1.01,Target reached
Argentina,2015,0.14,Target reached
Argentina,2016,0.15,Target reached
Argentina,2017,0.15,Target reached
Argentina,2018,0.14,Target reached
Argentina,2019,0.14,Target reached
Argentina,2020,0.14,Target reached
Argentina,2021,0.14,Target reached
Argentina,2022,0.14,Target reached
Argentina,2023,0.13,Target reached
Argentina,2024,0.13,Target reached
Argentina,2025,0.13,Target reached
Argentina,2026,0.13,Target reached
Argentina,2027,0.13,Target reached
Argentina,2028,0.12,Target reached
Argentina,2029,0.12,Target reached
Argentina,2030,0.12,Target reached
Armenia,2015,2.96,Target reached
Armenia,2016,2.97,Target reached
Armenia,2017,2.63,Target reached
Armenia,2018,2.33,Target reached
Armenia,2019,2.06,Target reached
Armenia,2020,1.80,Target reached
Armenia,2021,1.56,Target reached
Armenia,2022,1.33,Target reached
Armenia,2023,1.16,Target reached
Armenia,2024,1.03,Target reached
Armenia,2025,0.91,Target reached
Armenia,2026,0.82,Target reached
Armenia,2027,0.74,Target reached
Armenia,2028,0.67,Target reached
Armenia,2029,0.62,Target reached
Armenia,2030,0.56,Target reached
Asia,2015,6.63,
Asia,2016,5.53,
Asia,2017,4.48,
Asia,2018,3.52,
Asia,2019,2.74,
Asia,2020,2.13,
Asia,2021,1.68,
Asia,2022,1.34,
