Entity,Year,Number of direct national elections
Afghanistan,1949,1
Afghanistan,1952,1
Afghanistan,1955,1
Afghanistan,1961,1
Afghanistan,1965,2
Afghanistan,1969,1
Afghanistan,1988,1
Afghanistan,2004,1
Afghanistan,2005,1
Afghanistan,2009,1
Afghanistan,2010,1
Albania,1945,1
Albania,1950,1
Albania,1958,1
Albania,1970,1
Albania,1974,1
Albania,1978,1
Albania,1982,1
Albania,1987,1
Albania,1991,2
Albania,1992,2
Albania,1996,2
Albania,1997,2
Albania,2001,2
Albania,2005,1
Albania,2009,1
Algeria,1962,1
Algeria,1963,1
Algeria,1964,1
Algeria,1976,1
Algeria,1977,1
Algeria,1979,1
Algeria,1982,1
Algeria,1984,1
Algeria,1987,1
Algeria,1988,1
Algeria,1991,1
Algeria,1995,1
Algeria,1997,1
Algeria,1999,1
Algeria,2002,1
Algeria,2004,1
Algeria,2007,1
Algeria,2009,1
Algeria,2012,1
Angola,1992,2
Angola,2008,1
Angola,2012,1
Argentina,1946,2
Argentina,1948,2
Argentina,1951,2
Argentina,1954,2
Argentina,1957,1
Argentina,1958,2
Argentina,1960,1
Argentina,1962,1
Argentina,1963,2
Argentina,1965,1
Argentina,1973,4
Argentina,1983,2
Argentina,1985,1
Argentina,1987,1
Argentina,1989,2
Argentina,1991,1
Argentina,1993,1
Argentina,1994,1
Argentina,1995,2
Argentina,1997,1
Argentina,1999,2
Argentina,2001,1
Argentina,2003,2
Argentina,2005,1
Argentina,2007,2
Argentina,2009,1
Argentina,2011,2
Armenia,1991,1
Armenia,1995,2
Armenia,1996,1
Armenia,1998,2
Armenia,1999,1
Armenia,2003,3
Armenia,2007,1
Armenia,2008,1
Armenia,2012,1
Australia,1946,1
Australia,1949,1
Australia,1951,1
Australia,1953,1
Australia,1954,1
Australia,1955,1
Australia,1958,1
Australia,1961,1
Australia,1963,1
Australia,1964,1
Australia,1966,1
Australia,1967,1
Australia,1969,1
Australia,1970,1
Australia,1972,1
Australia,1974,1
Australia,1975,1
Australia,1977,1
Australia,1980,1
Australia,1983,1
Australia,1984,1
Australia,1987,1
Australia,1990,1
Australia,1993,1
Australia,1996,1
Australia,1998,1
Australia,2001,1
Australia,2004,1
Australia,2007,1
Australia,2010,1
