Entity,Year,"Number of Adults Who Were Current Smokers, Male (American Lung Association (2011))","Number of Adults Who Were Current Smokers, Female (American Lung Association (2011))","Percent of Adults Who Were Current Smokers, Male (American Lung Association (2011))","Percent of Adults Who Were Current Smokers, Female (American Lung Association (2011))"
United States,1965,28.9,21.1,51.9,33.9
United States,1970,26.4,21.6,44.1,31.5
United States,1974,25.8,23.1,43.1,32.1
United States,1980,27.5,24.1,37.6,29.3
United States,1985,25.7,24.7,32.6,27.9
United States,1990,24.2,21.6,28.4,22.8
United States,1995,24.7,22.6,27,22.6
United States,1997,25.7,22.3,27.6,22.1
United States,1998,24.8,22.4,26.4,22
United States,1999,24.3,22.2,25.7,21.5
United States,2000,24.6,21.9,25.7,21
United States,2001,24.4,21.8,25.2,20.7
United States,2002,24.6,21.2,25.2,20
United States,2003,24.3,21.1,24.1,19.2
United States,2004,23.9,20.5,23.4,18.5
United States,2005,24.8,20.3,23.9,18.1
United States,2006,25,20.2,23.6,17.8
United States,2007,23.6,19.8,22.3,17.4
United States,2008,24.8,21.1,23.1,18.3
United States,2009,25.7,21,23.5,17.9
