Entity,Year,Top marginal income tax rate (Reynolds (2008))
Argentina,1979,45
Argentina,1990,30
Argentina,2002,35
Australia,1979,62
Australia,1990,48
Australia,2002,47
Austria,1979,62
Austria,1990,50
Austria,2002,50
Belgium,1979,76
Belgium,1990,55
Belgium,2002,52
Bolivia,1979,48
Bolivia,1990,10
Bolivia,2002,13
Botswana,1979,75
Botswana,1990,50
Botswana,2002,25
Brazil,1979,55
Brazil,1990,25
Brazil,2002,28
Canada (Ontario),1979,58
Canada (Ontario),1990,47
Canada (Ontario),2002,46
Chile,1979,60
Chile,1990,50
Chile,2002,43
Colombia,1979,56
Colombia,1990,30
Colombia,2002,35
Denmark,1979,73
Denmark,1990,68
Denmark,2002,59
Egypt,1979,80
Egypt,1990,65
Egypt,2002,40
Finland,1979,71
Finland,1990,43
Finland,2002,37
France,1979,60
France,1990,52
France,2002,50
Germany,1979,56
Germany,1990,53
Germany,2002,49
Greece,1979,60
Greece,1990,50
Greece,2002,40
Guatemala,1979,40
Guatemala,1990,34
Guatemala,2002,31
Hong Kong,1979,25
Hong Kong,1990,25
Hong Kong,2002,16
Hungary,1979,60
Hungary,1990,50
Hungary,2002,40
India,1979,60
India,1990,50
India,2002,30
Indonesia,1979,50
Indonesia,1990,35
Indonesia,2002,35
Iran,1979,90
Iran,1990,75
Iran,2002,35
Ireland,1979,65
Ireland,1990,56
Ireland,2002,42
Israel,1979,66
Israel,1990,48
Israel,2002,50
Italy,1979,72
Italy,1990,50
Italy,2002,52
Jamaica,1979,58
Jamaica,1990,33
Jamaica,2002,25
Japan,1979,75
Japan,1990,50
Japan,2002,50
Malaysia,1979,60
Malaysia,1990,45
Malaysia,2002,28
Mauritius,1979,50
Mauritius,1990,35
Mauritius,2002,25
Mexico,1979,55
Mexico,1990,35
Mexico,2002,40
Netherlands,1979,72
Netherlands,1990,60
Netherlands,2002,52
New Zealand,1979,60
New Zealand,1990,33
New Zealand,2002,39
Norway,1979,75
Norway,1990,54
Norway,2002,48
Pakistan,1979,55
Pakistan,1990,45
Pakistan,2002,35
Philippines,1979,70
Philippines,1990,35
Philippines,2002,32
Portugal,1979,84
Portugal,1990,40
Portugal,2002,40
Puerto Rico,1979,79
Puerto Rico,1990,43
Puerto Rico,2002,33
Russia,1990,60
Russia,2002,13
Singapore,1979,55
Singapore,1990,33
Singapore,2002,26
South Korea,1979,89
South Korea,1990,50
South Korea,2002,36
Spain,1979,66
Spain,1990,56
Spain,2002,48
Sweden,1979,87
Sweden,1990,65
Sweden,2002,56
Thailand,1979,60
Thailand,1990,55
Thailand,2002,37
Trinidad and Tobago,1979,70
Trinidad and Tobago,1990,35
Trinidad and Tobago,2002,35
Turkey,1979,75
Turkey,1990,50
Turkey,2002,45
United Kingdom,1979,83
United Kingdom,1990,40
United Kingdom,2002,40
United States,1979,70
United States,1990,33
United States,2002,39
