Entity,Year,Abortion related,Airports & Aircraft,Business,Educational Institution,Food or Water Supply,Government (Diplomatic),Government (General),Journalists & Media,Maritime,Military,NGO,Other,Police,Private Citizens & Property,Religious Figures/Institutions,Telecommunications,Terrorists/Non-State Militia,Tourists,Transportation,Unknown,Utilities,Violent Political Party
Afghanistan,1973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Afghanistan,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Afghanistan,1988,0,1,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0
Afghanistan,1989,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1
Afghanistan,1990,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1991,0,0,2,0,0,0,2,0,0,3,4,0,0,15,0,0,0,0,0,0,3,1
Afghanistan,1992,0,2,1,0,0,5,11,2,0,2,1,0,1,2,4,0,3,0,0,0,0,2
Afghanistan,1994,0,0,0,0,0,3,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Afghanistan,1995,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Afghanistan,1996,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Afghanistan,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Afghanistan,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Afghanistan,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0
Afghanistan,2000,0,1,1,0,0,4,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Afghanistan,2001,0,0,1,0,0,3,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
Afghanistan,2002,0,2,4,1,0,4,6,0,0,13,1,0,1,3,1,0,0,0,0,1,0,0
Afghanistan,2003,0,1,3,6,0,7,13,1,0,30,10,0,4,12,5,0,0,1,4,2,1,0
Afghanistan,2004,0,1,2,3,0,11,13,0,0,17,8,0,10,22,0,0,0,0,0,0,1,0
Afghanistan,2005,0,2,11,11,0,5,22,0,0,19,4,0,35,29,14,0,1,0,0,0,1,0
Afghanistan,2006,0,1,12,28,0,8,56,4,0,30,7,0,76,46,4,0,0,0,3,5,2,0
Afghanistan,2007,0,0,25,19,0,5,37,5,0,30,7,0,149,49,5,0,1,0,6,3,0,0
Afghanistan,2008,0,5,36,24,5,6,97,6,0,41,14,0,59,84,7,0,3,0,13,4,0,0
Afghanistan,2009,0,9,70,25,2,11,101,4,0,4,14,0,35,188,13,0,4,0,9,9,2,0
Afghanistan,2010,0,6,57,28,1,14,157,2,0,10,17,1,41,161,11,0,7,1,18,1,0,0
Afghanistan,2011,0,6,29,9,0,5,89,2,0,48,6,0,75,116,7,0,4,0,6,8,3,0
Afghanistan,2012,0,8,37,24,3,10,139,5,0,501,8,1,386,250,8,0,3,0,10,70,0,3
Afghanistan,2013,0,4,32,26,0,7,158,6,0,350,14,0,505,223,13,0,3,0,13,69,5,3
Afghanistan,2014,0,5,30,25,1,8,239,11,0,300,15,4,610,353,22,0,9,0,11,172,3,0
Afghanistan,2015,0,2,48,46,0,14,204,8,0,267,12,0,707,375,52,0,23,0,16,138,1,2
Afghanistan,2016,0,4,26,29,1,11,141,16,0,306,12,1,421,408,21,0,28,1,28,145,13,2
Afghanistan,2017,0,0,33,20,1,9,130,5,0,295,4,1,441,265,44,0,22,0,9,128,2,4
Albania,1981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1992,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Albania,1994,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1996,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Albania,1997,0,0,4,2,0,1,11,2,0,1,0,0,6,7,0,0,0,0,4,3,0,0
Albania,1998,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Albania,1999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Albania,2000,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Albania,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Albania,2015,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Albania,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Albania,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Algeria,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Algeria,1991,0,7,1,0,0,1,1,0,0,3,0,0,15,0,1,0,1,0,0,0,0,0
Algeria,1992,0,5,8,3,0,3,17,5,0,9,0,0,136,3,2,0,0,1,4,0,1,0
Algeria,1994,0,3,20,24,0,6,39,16,1,14,1,0,37,49,4,0,1,2,3,5,1,1
