Entity,Year,Earthquake deaths (NGDC-NOAA)
Afghanistan,-2000,0
Afghanistan,-426,0
Afghanistan,-186,0
Afghanistan,-70,0
Afghanistan,-33,0
Afghanistan,-26,0
Afghanistan,79,0
Afghanistan,115,0
Afghanistan,294,0
Afghanistan,342,0
Afghanistan,344,0
Afghanistan,365,0
Afghanistan,458,0
Afghanistan,512,0
Afghanistan,525,0
Afghanistan,528,0
Afghanistan,533,0
Afghanistan,551,0
Afghanistan,587,0
Afghanistan,600,0
Afghanistan,649,0
Afghanistan,734,0
Afghanistan,744,0
Afghanistan,777,0
Afghanistan,811,0
Afghanistan,814,0
Afghanistan,820,0
Afghanistan,847,0
Afghanistan,850,0
Afghanistan,851,0
Afghanistan,854,0
Afghanistan,856,0
Afghanistan,871,0
Afghanistan,885,0
Afghanistan,887,0
Afghanistan,893,0
Afghanistan,978,0
Afghanistan,1000,0
Afghanistan,1001,0
Afghanistan,1008,0
Afghanistan,1013,0
Afghanistan,1026,0
Afghanistan,1033,0
Afghanistan,1037,0
Afghanistan,1042,0
Afghanistan,1057,0
Afghanistan,1072,0
Afghanistan,1101,0
Afghanistan,1139,0
Afghanistan,1143,0
Afghanistan,1156,0
Afghanistan,1157,0
Afghanistan,1158,0
Afghanistan,1169,0
Afghanistan,1202,0
Afghanistan,1209,0
Afghanistan,1219,0
Afghanistan,1222,0
Afghanistan,1268,0
Afghanistan,1269,0
Afghanistan,1289,0
Afghanistan,1290,0
Afghanistan,1291,0
Afghanistan,1293,0
Afghanistan,1303,0
Afghanistan,1305,0
Afghanistan,1306,0
Afghanistan,1310,0
Afghanistan,1314,0
Afghanistan,1319,0
Afghanistan,1340,0
Afghanistan,1341,0
Afghanistan,1344,0
Afghanistan,1349,0
Afghanistan,1361,0
Afghanistan,1372,0
Afghanistan,1440,0
Afghanistan,1456,0
Afghanistan,1458,0
Afghanistan,1463,0
Afghanistan,1487,0
Afghanistan,1490,0
Afghanistan,1491,0
Afghanistan,1494,0
Afghanistan,1495,0
Afghanistan,1498,0
Afghanistan,1499,0
Afghanistan,1500,0
Afghanistan,1501,0
Afghanistan,1502,0
Afghanistan,1509,0
Afghanistan,1511,0
Afghanistan,1515,0
Afghanistan,1531,0
