Entity,Year,"Air pollution death rates (from ozone) per 100,000- IHME"
Afghanistan,1990,1.116571002
Afghanistan,1995,1.352981326
Afghanistan,2000,1.475215049
Afghanistan,2005,1.481989329
Afghanistan,2010,1.501985207
Afghanistan,2015,1.522492312
Albania,1990,1.606890692
Albania,1995,1.440556207
Albania,2000,1.234750653
Albania,2005,1.063529362
Albania,2010,1.215620796
Albania,2015,1.469153813
Algeria,1990,0.401374382
Algeria,1995,0.405965147
Algeria,2000,0.443206682
Algeria,2005,0.480859717
Algeria,2010,0.520101412
Algeria,2015,0.601246575
American Samoa,1990,0
American Samoa,1995,1.80968E-05
American Samoa,2000,1.19944E-05
American Samoa,2005,0
American Samoa,2010,0
American Samoa,2015,1.71277E-05
Andorra,1990,2.064960063
Andorra,1995,2.171836786
Andorra,2000,2.20435486
Andorra,2005,2.242775008
Andorra,2010,2.167075945
Andorra,2015,2.352661431
Angola,1990,2.058041355
Angola,1995,1.990644159
Angola,2000,1.758762664
Angola,2005,1.723468631
Angola,2010,1.663742114
Angola,2015,1.706840703
Antigua and Barbuda,1990,0.070665146
Antigua and Barbuda,1995,0.074270349
Antigua and Barbuda,2000,0.074248106
Antigua and Barbuda,2005,0.074355751
Antigua and Barbuda,2010,0.070011964
Antigua and Barbuda,2015,0.069835528
Argentina,1990,0.095631424
Argentina,1995,0.142779049
Argentina,2000,0.220536276
Argentina,2005,0.286036561
Argentina,2010,0.372019622
Argentina,2015,0.452190398
Armenia,1990,2.197199501
Armenia,1995,2.728878462
Armenia,2000,2.660137943
Armenia,2005,2.7858463
Armenia,2010,2.532430517
Armenia,2015,2.505277735
Australia,1990,0.096387009
Australia,1995,0.101278886
Australia,2000,0.09843568
Australia,2005,0.094586221
Australia,2010,0.098886369
Australia,2015,0.111118959
Austria,1990,2.081297862
Austria,1995,2.072796633
Austria,2000,2.245526957
Austria,2005,2.249268618
Austria,2010,2.199476694
Austria,2015,2.228884296
Azerbaijan,1990,1.345155488
Azerbaijan,1995,1.328979852
Azerbaijan,2000,1.101053567
Azerbaijan,2005,0.97329812
Azerbaijan,2010,1.039879317
Azerbaijan,2015,0.97671109
Bahamas,1990,0.296160306
Bahamas,1995,0.271522799
Bahamas,2000,0.277835329
Bahamas,2005,0.270065925
