Entity,Year,"Political participation (How Was Life, OECD (2014))","Political competition (How Was Life, OECD (2014))","Index of Democracy (How Was Life, OECD (2014))","Polity2 (How Was Life, OECD (2014))"
East Asia,1820,0,0,0,-6.0932026
East Asia,1821,0,0,0,-6.092885
East Asia,1822,0,0,0,-6.092567
East Asia,1823,0,0,0,-6.0922484
East Asia,1824,0,0,0,-6.0919299
East Asia,1825,0,0,0,-6.0916104
East Asia,1826,0,0,0,-6.091291
East Asia,1827,0,0,0,-6.0909705
East Asia,1828,0,0,0,-6.0906506
East Asia,1829,0,0,0,-6.0903296
East Asia,1830,0,0,0,-6.0900087
East Asia,1831,0,0,0,-6.0901198
East Asia,1832,0,0,0,-6.0902286
East Asia,1833,0,0,0,-6.0903354
East Asia,1834,0,0,0,-6.0904398
East Asia,1835,0,0,0,-6.0905423
East Asia,1836,0,0,0,-6.0906425
East Asia,1837,0,0,0,-6.0907402
East Asia,1838,0,0,0,-6.090836
East Asia,1839,0,0,0,-6.0909295
East Asia,1840,0,0,0,-6.0910211
East Asia,1841,0,0,0,-6.0911975
East Asia,1842,0,0,0,-6.091372
East Asia,1843,0,0,0,-6.0915451
East Asia,1844,0,0,0,-6.0917163
East Asia,1845,0,0,0,-6.091886
East Asia,1846,0,0,0,-6.0920544
East Asia,1847,0,0,0,-6.0922208
East Asia,1848,0,0,0,-6.0923853
East Asia,1849,0,0,0,-6.0925488
East Asia,1850,0,0,0,-6.09271
East Asia,1851,0,0,0,-6.093544
East Asia,1852,0,0,0,-6.0943823
East Asia,1853,0,0,0,-6.0952253
East Asia,1854,0,0,0,-6.0960732
East Asia,1855,0,0,0,-6.0969262
East Asia,1856,0,0,0,-6.097784
East Asia,1857,0,0,0,-6.0986466
East Asia,1858,0,0,0,-6.0295858
East Asia,1859,0,0,0,-5.9598494
East Asia,1860,0,0,0,-5.889432
East Asia,1861,0,0,0,-5.8159065
East Asia,1862,0,0,0,-5.7397547
East Asia,1863,0,0,0,-5.6609125
East Asia,1864,0,0,0,-5.5793161
East Asia,1865,0,0,0,-5.4948997
East Asia,1866,0,0,0,-5.4075971
East Asia,1867,0,0,0,-5.3173409
East Asia,1868,0,0,0,-5.2240624
East Asia,1869,0,0,0,-5.2106185
East Asia,1870,0,0,0,-5.1969714
East Asia,1871,0,0,0,-5.1939826
East Asia,1872,0,0,0,-5.190979
East Asia,1873,0,0,0,-5.1879606
East Asia,1874,0,0,0,-5.1849275
East Asia,1875,0,0,0,-5.1818795
East Asia,1876,0,0,0,-5.1788168
East Asia,1877,0,0,0,-5.1757388
East Asia,1878,0,0,0,-5.172646
East Asia,1879,0,0,0,-5.169538
East Asia,1880,0,0,0,-5.1664152
East Asia,1881,0,0,0,-5.1637545
East Asia,1882,0,0,0,-5.1610785
East Asia,1883,0,0,0,-5.1583877
East Asia,1884,0,0,0,-5.1556811
East Asia,1885,0,0,0,-5.1529589
East Asia,1886,0,0,0,-5.1502218
East Asia,1887,0,0,0,-5.147469
East Asia,1888,0,0,0,-5.1447005
East Asia,1889,0,0,0,-5.1419168
East Asia,1890,.050000001,2.7,.01402495,-5.1391172
East Asia,1891,.050000001,2.7,.014086663,-5.13696
East Asia,1892,.050000001,2.0999999,.010375643,-5.1347852
East Asia,1893,.050000001,2.0999999,.010421234,-5.1325917
East Asia,1894,.050000001,2.0999999,.010466993,-5.1303811
East Asia,1895,.050000001,2.0999999,.01051292,-5.1281519
East Asia,1896,.050000001,2.0999999,.010559015,-5.125905
East Asia,1897,.050000001,2.0999999,.01060528,-5.1236405
East Asia,1898,.039999999,1.6,.0077467011,-5.1213574
East Asia,1899,.039999999,1.7,.0077805952,-5.1190567
East Asia,1900,.039999999,1.7,.0078146122,-5.1167383
East Asia,1901,.050000001,1.7,.0078584757,-5.1132207
East Asia,1902,.090000004,2.5,.022719843,-5.1096811
East Asia,1903,.079999998,2.4000001,.020860473,-5.1061182
East Asia,1904,.07,2.5,.01698163,-5.1025329
East Asia,1905,.07,2.5,.017076666,-5.0989246
East Asia,1906,.07,2.5,.017172163,-5.0952935
East Asia,1907,.07,2.5,.017268123,-5.09164
East Asia,1908,.14,2.4000001,.032686204,-5.0879626
East Asia,1909,.14,2.4000001,.032868583,-5.0842628
East Asia,1910,.14,2.4000001,.033051834,-5.0805397
East Asia,1911,.14,2.4000001,.033036359,-1.6315367
East Asia,1912,.12,24.1,.028893249,1.837896
East Asia,1913,.12,43.599998,.028879665,-1.631493
East Asia,1914,.12,2.4000001,.02886606,-4.2333117
East Asia,1915,.13,3.0999999,.039156877,-4.2331743
East Asia,1916,.13,3.0999999,.039138362,-4.2330332
East Asia,1917,.11,2.9000001,.031913534,-4.2328882
East Asia,1918,.11,2.9000001,.031898387,-4.2327394
East Asia,1919,.11,2.9000001,.031883214,-4.2325869
East Asia,1920,.25,2,.048316032,-4.2324305
East Asia,1921,.25,2,.048757896,-4.2250738
East Asia,1922,.25,2,.049203049,-4.2176538
East Asia,1923,.25,2.0999999,.049651504,-4.2101698
East Asia,1924,.28,3.5999999,.092744343,-4.2134557
