Entity,Year,"Daily time spent on domestic work, women (UN (2017))"
Albania,2010,7.15
Algeria,2012,5.8
Argentina,2005,6.77
Argentina,2013,0
Armenia,2004,7.5
Armenia,2008,6.88
Australia,1997,7.07
Australia,2006,7.35
Austria,2008,6.5
Azerbaijan,2008,7.83
Belgium,1998,6.25
Belgium,2005,6.32
Benin,1998,7.17
Bhutan,2006,8.42
Bolivia,2001,8.73
Brazil,2009,6.98
Brazil,2012,5.95
Bulgaria,2001,7.87
Bulgaria,2009,6.72
Cambodia,2003,7.5
Canada,1998,7.2
Canada,2005,7.3
Canada,2010,7.28
Chile,2007,6.38
China,2008,8.28
Colombia,2012,7.17
Costa Rica,2004,7.32
Costa Rica,2011,6.58
Cuba,2001,7.65
Denmark,2001,7.38
Denmark,2008,6
Ecuador,2012,7.95
Estonia,1999,7.82
Estonia,2009,7.03
Ethiopia,2013,8.17
Finland,1999,6.65
Finland,2009,6.12
France,1998,8.05
France,2009,7.53
Germany,2001,6.53
Germany,2012,6.32
Ghana,2009,7.33
Greece,2013,5.65
Guatemala,2006,9.35
Guatemala,2011,8.65
Honduras,2009,5.15
Hong Kong,2001,6.9
Hungary,1999,6.85
Hungary,2009,6.95
India,1998,7.37
Iran,2008,5.77
Iraq,2007,6.25
Ireland,2005,7.63
Italy,2002,7.12
Italy,2008,7.07
Japan,2001,6.47
Japan,2006,6.57
Japan,2011,6.42
Kazakhstan,2000,10.22
Kazakhstan,2003,10.67
Kazakhstan,2006,9.78
Kazakhstan,2012,6.33
Kyrgyzstan,2000,10.23
Kyrgyzstan,2005,9.22
Kyrgyzstan,2010,7.3
Kyrgyzstan,2015,6.13
Laos,2002,7
Laos,2007,6.4
Latvia,2003,7.82
Lesotho,2002,6.45
Lithuania,2003,8.52
Macedonia,2004,7.78
Macedonia,2009,5.87
Madagascar,2001,6.67
Malawi,2004,5.97
Malaysia,2003,0
Mali,2008,8.7
Malta,2002,7.37
Mauritius,2003,6.55
Mexico,2002,8.95
Mexico,2009,9.4
Moldova,2011,7.53
Mongolia,2000,8.98
Mongolia,2011,8.8
Morocco,1997,6.75
Morocco,2011,6.35
Netherlands,1997,4.75
Netherlands,1999,5.92
Netherlands,2001,5.72
Netherlands,2003,5.72
Netherlands,2006,6.4
Netherlands,2011,5.87
New Zealand,1998,6.85
New Zealand,2009,6.72
Nicaragua,1998,6.98
Norway,2000,6.92
Norway,2010,6.85
Oman,1999,6.52
Oman,2007,5.53
Pakistan,2007,6.08
Palestine,1999,5.55
Palestine,2012,5.48
Panama,2011,7.68
Peru,2010,8.67
Poland,2003,7.23
Poland,2013,7.12
Portugal,1999,7.7
Qatar,2012,5.32
Reunion,2010,6.08
Romania,2000,6.8
Romania,2011,6.07
Serbia,2010,7.1
Slovenia,2000,8.08
South Africa,2000,5.53
South Africa,2010,5.98
South Korea,1999,6.85
South Korea,2004,6.53
South Korea,2009,6.35
South Korea,2014,5.9
Spain,2002,7.32
Spain,2009,6.9
Sweden,2000,7.82
Sweden,2010,8.03
Switzerland,1997,7.17
Switzerland,2000,7.18
Switzerland,2004,7.15
Switzerland,2007,7.17
Switzerland,2010,6.85
Switzerland,2013,6.82
Tanzania,2006,6.95
Tanzania,2014,7.22
Thailand,2009,7.67
Tunisia,2005,6.75
Turkey,2006,7.32
Turkey,2014,5.85
United Kingdom,2000,6.47
United Kingdom,2005,6.07
United States,2003,7.33
United States,2004,7.43
United States,2005,7.37
United States,2006,7.27
United States,2007,7.42
United States,2008,7.17
United States,2009,7.02
United States,2010,7.02
United States,2011,6.97
United States,2012,6.97
United States,2013,6.9
United States,2014,6.65
Uruguay,2007,7.63
Uruguay,2013,7.9
