Entity,Year,"Rhinos Poached (AfRSG, 2019)","Rhinos Poached/day (AfRSG, 2019)","Weight of seized rhino horns (AfRSG, 2019)","Number of seized rhino horns and pieces (AfRSG, 2019)"
Africa,2006,60,0.16,,
Africa,2007,62,0.17,,
Africa,2008,262,0.72,,
Africa,2009,201,0.55,,
Africa,2010,426,1.17,,
Africa,2011,532,1.46,,
Africa,2012,751,2.06,,
Africa,2013,1123,3.08,,
Africa,2014,1324,3.63,,
Africa,2015,1349,3.70,,
Africa,2016,1167,3.20,,
Africa,2017,1124,3.08,,
Botswana,2006,0,,,
Botswana,2007,0,,,
Botswana,2008,0,,,
Botswana,2009,0,,,
Botswana,2010,0,,,
Botswana,2011,0,,,
Botswana,2012,2,,,
Botswana,2013,2,,,
Botswana,2014,1,,,
Botswana,2015,0,,,
Botswana,2016,1,,,
Botswana,2017,0,,,
Cambodia,2018,,,136,61
China,2018,,,1715,739
Czech Republic,2018,,,125,43
Democratic Republic of Congo,2006,0,,,
Democratic Republic of Congo,2007,2,,,
Democratic Republic of Congo,2008,2,,,
Ethiopia,2018,,,111,52
France,2018,,,67,48
India,2006,4,,,
India,2007,20,,,
India,2008,11,,,
India,2009,17,,,
India,2010,7,,,
India,2011,15,,,
India,2012,26,,,
India,2013,41,,,
India,2014,34,,,
India,2015,24,,,
India,2016,22,,,
India,2017,11,,,
India,2018,,,58,72
Kenya,2006,3,,,
Kenya,2007,1,,,
Kenya,2008,6,,,
Kenya,2009,21,,,
Kenya,2010,22,,,
Kenya,2011,27,,,
Kenya,2012,29,,,
Kenya,2013,59,,,
Kenya,2014,35,,,
Kenya,2015,11,,,
Kenya,2016,10,,,
Kenya,2017,9,,,
Kenya,2018,,,469,194
Laos,2018,,,69,50
Malawi,2006,0,,,
Malawi,2007,0,,,
Malawi,2008,0,,,
Malawi,2009,0,,,
Malawi,2010,0,,,
Malawi,2011,0,,,
Malawi,2012,2,,,
Malawi,2013,1,,,
Malawi,2014,1,,,
Malawi,2015,1,,,
Malawi,2016,1,,,
Malawi,2017,1,,,
Malawi,2018,,,138,61
Malaysia,2018,,,430,165
Mozambique,2006,0,,,
Mozambique,2007,9,,,
Mozambique,2008,5,,,
Mozambique,2009,15,,,
Mozambique,2010,16,,,
Mozambique,2011,10,,,
Mozambique,2012,16,,,
Mozambique,2013,15,,,
Mozambique,2014,19,,,
Mozambique,2015,13,,,
Mozambique,2016,5,,,
Mozambique,2017,4,,,
Mozambique,2018,,,1031,430
Namibia,2006,0,,,
Namibia,2007,0,,,
Namibia,2008,0,,,
Namibia,2009,2,,,
Namibia,2010,2,,,
Namibia,2011,1,,,
Namibia,2012,1,,,
Namibia,2013,4,,,
Namibia,2014,30,,,
Namibia,2015,97,,,
Namibia,2016,61,,,
Namibia,2017,44,,,
Namibia,2018,,,114,55
Nepal,1998,5,,,
Nepal,1999,8,,,
Nepal,2000,9,,,
Nepal,2001,15,,,
Nepal,2002,38,,,
Nepal,2003,22,,,
Nepal,2004,11,,,
Nepal,2005,15,,,
Nepal,2006,19,,,
Nepal,2007,2,,,
Nepal,2008,7,,,
Nepal,2009,11,,,
Nepal,2013,0,,,
Nepal,2014,0,,,
Nepal,2015,0,,,
Nepal,2016,0,,,
Nepal,2017,1,,,
Nigeria,2018,,,145,56
Other,2018,,,534,329
Qatar,2018,,,303,148
Rwanda,2017,0,,,
Singapore,2018,,,116,61
South Africa,1990,14,0.04,,
South Africa,1991,5,0.01,,
South Africa,1992,18,0.05,,
South Africa,1993,14,0.04,,
South Africa,1994,27,0.07,,
South Africa,1995,14,0.04,,
South Africa,1996,6,0.02,,
South Africa,1997,6,0.02,,
South Africa,1998,12,0.03,,
South Africa,1999,13,0.04,,
South Africa,2000,12,0.03,,
South Africa,2001,9,0.02,,
South Africa,2002,25,0.07,,
South Africa,2003,22,0.06,,
South Africa,2004,10,0.03,,
South Africa,2005,11,0.03,,
South Africa,2006,36,0.10,,
South Africa,2007,13,0.04,,
South Africa,2008,83,0.23,,
South Africa,2009,122,0.33,,
South Africa,2010,333,0.91,,
South Africa,2011,448,1.23,,
South Africa,2012,668,1.83,,
South Africa,2013,1004,2.75,,
South Africa,2014,1215,3.33,,
South Africa,2015,1175,3.22,,
South Africa,2016,1054,2.89,,
South Africa,2017,1028,2.82,,
South Africa,2018,778,2.13,2994,1055
Swaziland,2006,0,,,
Swaziland,2007,0,,,
Swaziland,2008,0,,,
Swaziland,2009,0,,,
Swaziland,2010,0,,,
Swaziland,2011,2,,,
Swaziland,2012,0,,,
Swaziland,2013,0,,,
Swaziland,2014,1,,,
Swaziland,2015,0,,,
Swaziland,2016,0,,,
Swaziland,2017,0,,,
Tanzania,2006,0,,,
Tanzania,2007,0,,,
Tanzania,2008,2,,,
Tanzania,2009,0,,,
Tanzania,2010,1,,,
Tanzania,2011,2,,,
Tanzania,2012,2,,,
Tanzania,2013,0,,,
Tanzania,2014,2,,,
Tanzania,2015,2,,,
Tanzania,2016,0,,,
Tanzania,2017,2,,,
Thailand,2018,,,328,149
Turkey,2018,,,61,23
Uganda,2006,0,,,
Uganda,2007,0,,,
Uganda,2008,0,,,
Uganda,2009,0,,,
Uganda,2010,0,,,
Uganda,2011,0,,,
Uganda,2012,0,,,
Uganda,2013,0,,,
Uganda,2014,0,,,
Uganda,2015,0,,,
Uganda,2016,0,,,
Uganda,2017,0,,,
Uganda,2018,,,149,80
United Arab Emirates,2018,,,84,59
United Kingdom,2018,,,78,45
United States,2018,,,112,44
Vietnam,2018,,,1757,761
World,2018,,,11281,4858
Zambia,2006,0,,,
Zambia,2007,1,,,
Zambia,2008,0,,,
Zambia,2009,0,,,
Zambia,2010,0,,,
Zambia,2011,0,,,
Zambia,2012,0,,,
Zambia,2013,0,,,
Zambia,2014,0,,,
Zambia,2015,0,,,
Zambia,2016,0,,,
Zambia,2017,0,,,
Zambia,2018,,,87,38
Zimbabwe,1980,0,,,
Zimbabwe,1981,0,,,
Zimbabwe,1982,0,,,
Zimbabwe,1983,0,,,
Zimbabwe,1984,19,,,
Zimbabwe,1985,71,,,
Zimbabwe,1986,159,,,
Zimbabwe,1987,184,,,
Zimbabwe,1988,141,,,
Zimbabwe,1989,126,,,
Zimbabwe,1990,172,,,
Zimbabwe,1991,153,,,
Zimbabwe,1992,105,,,
Zimbabwe,1993,4,,,
Zimbabwe,2006,21,,,
Zimbabwe,2007,38,,,
Zimbabwe,2008,164,,,
Zimbabwe,2009,39,,,
Zimbabwe,2010,52,,,
Zimbabwe,2011,42,,,
Zimbabwe,2012,31,,,
Zimbabwe,2013,38,,,
Zimbabwe,2014,20,,,
Zimbabwe,2015,50,,,
Zimbabwe,2016,35,,,
Zimbabwe,2017,36,,,
Zimbabwe,2018,,,71,40
