Entity,Year,Battle-related deaths
Africa (inc. North Africa),1946,0
Africa (inc. North Africa),1947,0
Africa (inc. North Africa),1948,0
Africa (inc. North Africa),1949,0
Africa (inc. North Africa),1950,0
Africa (inc. North Africa),1951,0
Africa (inc. North Africa),1952,2591
Africa (inc. North Africa),1953,2791
Africa (inc. North Africa),1954,23871
Africa (inc. North Africa),1955,23271
Africa (inc. North Africa),1956,23271
Africa (inc. North Africa),1957,24181
Africa (inc. North Africa),1958,24181
Africa (inc. North Africa),1959,24181
Africa (inc. North Africa),1960,20605
Africa (inc. North Africa),1961,27123
Africa (inc. North Africa),1962,26003
Africa (inc. North Africa),1963,7506
Africa (inc. North Africa),1964,10282
Africa (inc. North Africa),1965,10302
Africa (inc. North Africa),1966,8564
Africa (inc. North Africa),1967,23841
Africa (inc. North Africa),1968,37601
Africa (inc. North Africa),1969,37550
Africa (inc. North Africa),1970,10938
Africa (inc. North Africa),1971,8948
Africa (inc. North Africa),1972,8718
Africa (inc. North Africa),1973,7510
Africa (inc. North Africa),1974,6217
Africa (inc. North Africa),1975,7686
Africa (inc. North Africa),1976,19121
Africa (inc. North Africa),1977,20910
Africa (inc. North Africa),1978,29703
Africa (inc. North Africa),1979,21014
Africa (inc. North Africa),1980,24577
Africa (inc. North Africa),1981,23856
Africa (inc. North Africa),1982,24174
Africa (inc. North Africa),1983,28364
Africa (inc. North Africa),1984,54468
Africa (inc. North Africa),1985,53307
Africa (inc. North Africa),1986,56151
Africa (inc. North Africa),1987,50368
Africa (inc. North Africa),1988,27750
Africa (inc. North Africa),1989,34546
Africa (inc. North Africa),1990,64585
Africa (inc. North Africa),1991,25432
Africa (inc. North Africa),1992,6862
Africa (inc. North Africa),1993,15064
Africa (inc. North Africa),1994,8782
Africa (inc. North Africa),1995,6653
Africa (inc. North Africa),1996,7728
Africa (inc. North Africa),1997,23128
Africa (inc. North Africa),1998,23271
Africa (inc. North Africa),1999,61216
Africa (inc. North Africa),2000,59699
Africa (inc. North Africa),2001,10634
Africa (inc. North Africa),2002,7207
Africa (inc. North Africa),2003,6392
Africa (inc. North Africa),2004,5988
Africa (inc. North Africa),2005,1554
Africa (inc. North Africa),2006,3693
Africa (inc. North Africa),2007,3349
Africa (inc. North Africa),2008,4653
Africa (inc. North Africa),2009,5615
Africa (inc. North Africa),2010,3973
Africa (inc. North Africa),2011,6552
Africa (inc. North Africa),2012,6489
Africa (inc. North Africa),2013,7076
Africa (inc. North Africa),2014,10152
Africa (inc. North Africa),2015,9894
Africa (inc. North Africa),2016,9342
Americas,1946,1000
Americas,1947,4000
Americas,1948,2000
Americas,1949,40
Americas,1950,34
Americas,1951,0
Americas,1952,0
Americas,1953,28
Americas,1954,48
Americas,1955,0
Americas,1956,0
Americas,1957,40
Americas,1958,0
Americas,1959,0
Americas,1960,0
Americas,1961,0
Americas,1962,400
Americas,1963,25
Americas,1964,230
Americas,1965,4665
Americas,1966,400
Americas,1967,502
Americas,1968,1010
Americas,1969,3797
Americas,1970,1720
Americas,1971,1650
Americas,1972,2061
Americas,1973,3395
Americas,1974,2575
Americas,1975,2040
Americas,1976,2580
Americas,1977,1717
Americas,1978,4300
Americas,1979,9570
Americas,1980,3599
Americas,1981,19541
Americas,1982,15320
Americas,1983,16913
Americas,1984,16898
Americas,1985,13168
Americas,1986,11638
Americas,1987,11419
Americas,1988,6798
Americas,1989,8716
Americas,1990,2609
Americas,1991,2183
Americas,1992,2726
Americas,1993,912
Americas,1994,1558
Americas,1995,1127
Americas,1996,1309
Americas,1997,653
Americas,1998,964
Americas,1999,1449
Americas,2000,1023
Americas,2001,3004.25
Americas,2002,3141
Americas,2003,2772.75
Americas,2004,1819
Americas,2005,1497
Americas,2006,748
Americas,2007,522
Americas,2008,574
Americas,2009,877
Americas,2010,760
Americas,2011,405
Americas,2012,436
Americas,2013,178
Americas,2014,217
Americas,2015,199
Americas,2016,147
Asia and Oceania,1946,243024
Asia and Oceania,1947,344024
Asia and Oceania,1948,403722
Asia and Oceania,1949,394206
Asia and Oceania,1950,546211
Asia and Oceania,1951,393390
Asia and Oceania,1952,144285
Asia and Oceania,1953,93911
Asia and Oceania,1954,44932
Asia and Oceania,1955,6361
Asia and Oceania,1956,10965
Asia and Oceania,1957,6854
Asia and Oceania,1958,19320
Asia and Oceania,1959,24521
Asia and Oceania,1960,12535
Asia and Oceania,1961,14586
Asia and Oceania,1962,24173
Asia and Oceania,1963,55313
Asia and Oceania,1964,45493
Asia and Oceania,1965,75612
Asia and Oceania,1966,78648
Asia and Oceania,1967,88993
Asia and Oceania,1968,186075
Asia and Oceania,1969,143990
Asia and Oceania,1970,183814
Asia and Oceania,1971,189598
Asia and Oceania,1972,277907
Asia and Oceania,1973,191929
Asia and Oceania,1974,227410
Asia and Oceania,1975,97112
Asia and Oceania,1976,10411
Asia and Oceania,1977,10411
Asia and Oceania,1978,55817
Asia and Oceania,1979,112928
Asia and Oceania,1980,48421
Asia and Oceania,1981,42624
Asia and Oceania,1982,47524
Asia and Oceania,1983,67525
Asia and Oceania,1984,94692
Asia and Oceania,1985,79266
