Entity,Year,e10 (United Nations Population Division and Human Mortality Database (2015))
Afghanistan,1950,39.58
Afghanistan,1955,41.08
Afghanistan,1960,42.41
Afghanistan,1965,43.68
Afghanistan,1970,44.98
Afghanistan,1975,46.44
Afghanistan,1980,48.22
Afghanistan,1985,50.49
Afghanistan,1990,52.55
Afghanistan,1995,53.84
Afghanistan,2000,54.8
Afghanistan,2005,55.91
Afghanistan,2010,56.88
Afghanistan,2015,57.81
Afghanistan,2020,58.61
Afghanistan,2025,59.33
Afghanistan,2030,59.96
Afghanistan,2035,60.49
Afghanistan,2040,61.05
Afghanistan,2045,61.56
Afghanistan,2050,62.02
Afghanistan,2055,62.53
Afghanistan,2060,63.01
Afghanistan,2065,63.48
Afghanistan,2070,63.92
Afghanistan,2075,64.36
Afghanistan,2080,64.87
Afghanistan,2085,65.35
Afghanistan,2090,65.83
Afghanistan,2095,66.32
Albania,1950,59.3
Albania,1955,61.67
Albania,1960,64.84
Albania,1965,63.83
Albania,1970,63.3
Albania,1975,64.21
Albania,1980,64.77
Albania,1985,65.61
Albania,1990,64.71
Albania,1995,65.43
Albania,2000,67.38
Albania,2005,67.76
Albania,2010,68.81
Albania,2015,69.61
Albania,2020,70.41
Albania,2025,71.21
Albania,2030,72
Albania,2035,72.8
Albania,2040,73.59
Albania,2045,74.3
Albania,2050,74.99
Albania,2055,75.62
Albania,2060,76.18
Albania,2065,76.73
Albania,2070,77.25
Albania,2075,77.74
Albania,2080,78.24
Albania,2085,78.73
Albania,2090,79.26
Albania,2095,79.75
Algeria,1950,50.64
Algeria,1955,51.52
Algeria,1960,52.5
Algeria,1965,53.41
Algeria,1970,54.23
Algeria,1975,55.8
Algeria,1980,59.09
Algeria,1985,61.21
Algeria,1990,61.75
Algeria,1995,63.19
Algeria,2000,64.9
Algeria,2005,66.48
Algeria,2010,67.41
Algeria,2015,68.15
Algeria,2020,68.8
Algeria,2025,69.5
Algeria,2030,70.22
Algeria,2035,70.94
Algeria,2040,71.66
Algeria,2045,72.4
Algeria,2050,73.16
Algeria,2055,73.92
Algeria,2060,74.63
Algeria,2065,75.31
Algeria,2070,75.92
Algeria,2075,76.49
Algeria,2080,76.97
Algeria,2085,77.45
Algeria,2090,77.91
Algeria,2095,78.39
Angola,1950,41.65
Angola,1955,42.8
Angola,1960,43.94
Angola,1965,45.08
Angola,1970,46.23
Angola,1975,47.14
Angola,1980,47.48
Angola,1985,47.89
Angola,1990,47.93
Angola,1995,48.61
Angola,2000,50.39
Angola,2005,51.57
Angola,2010,52.74
Angola,2015,53.82
Angola,2020,54.74
Angola,2025,55.78
Angola,2030,56.85
Angola,2035,57.9
Angola,2040,58.89
Angola,2045,59.82
