Entity,Year,Share of single parent families
Afghanistan,2015,1
Albania,2011,5.2
Angola,2007,6.6
Angola,2011,7.4
Angola,2016,13.4
Argentina,1970,7.1
Argentina,1980,7
Argentina,2001,10.1
Argentina,2010,11.7
Armenia,2000,7
Armenia,2005,10.6
Armenia,2010,10
Aruba,2010,11.5
Australia,2006,9.3
Australia,2011,9.1
Austria,1981,6.2
Austria,1991,7.7
Austria,2001,8
Azerbaijan,2009,8.4
Bahamas,2010,12.9
Bangladesh,1994,5.1
Bangladesh,1997,5.2
Bangladesh,2000,4.4
Bangladesh,2004,5.3
Bangladesh,2007,6.4
Bangladesh,2011,5.3
Bangladesh,2014,6
Belarus,1999,10.5
Belarus,2009,12.3
Belgium,2011,9.2
Benin,1996,7
Benin,2001,8.3
Benin,2006,10.3
Benin,2012,11.5
Bermuda,2000,10.7
Bermuda,2010,12.3
Bolivia,1994,10.4
Bolivia,1998,9.8
Bolivia,2003,10.4
Bolivia,2008,11.7
Botswana,1981,6.3
Botswana,1991,8.9
Botswana,2001,8.7
Botswana,2011,9.3
Brazil,1960,6.2
Brazil,1970,6.6
Brazil,1980,6.9
Brazil,1991,8.1
Brazil,2000,10.1
Brazil,2010,10.5
Bulgaria,2001,6.5
Bulgaria,2011,7
Burkina Faso,1993,2.6
Burkina Faso,1999,2.6
Burkina Faso,2003,4.1
Burkina Faso,2010,5.7
Burkina Faso,2014,4.3
Burundi,2010,14.1
Burundi,2012,13.1
Burundi,2016,14.8
Cambodia,2000,9.3
Cambodia,2005,8.3
Cambodia,2010,7.3
Cambodia,2014,6
Cameroon,1991,4
Cameroon,1998,5.2
Cameroon,2004,7.2
Cameroon,2011,7.3
Canada,2001,10.2
Canada,2006,9
Canada,2011,9
Central African Republic,1994,6.3
Chad,1997,8.3
Chad,2004,7.7
Chad,2015,9.6
Chile,1970,7.4
Chile,1982,7.8
Chile,1992,8.3
Chile,2002,9.4
China,2000,5.4
Colombia,1990,9.3
Colombia,1995,9.4
Colombia,2000,10.7
Colombia,2005,11.2
Colombia,2010,12.4
Colombia,2015,12.7
Comoros,1996,7.6
Comoros,2012,8.9
Congo,2005,6.6
Congo,2009,9.9
Congo,2011,8.2
Costa Rica,1973,7.8
Costa Rica,1984,8.3
Costa Rica,2000,11.2
Costa Rica,2011,13.7
Cote d'Ivoire,1994,3.7
Cote d'Ivoire,1998,3.2
Cote d'Ivoire,2005,4.1
Cote d'Ivoire,2012,5.3
Croatia,2001,9.1
Croatia,2011,10
Cuba,2002,11.9
Cyprus,2001,5.7
Cyprus,2011,6.2
Czech Republic,2001,12.9
Czech Republic,2011,10.3
Democratic Republic of Congo,2007,7.8
Democratic Republic of Congo,2013,10.7
Dominican Republic,1996,9
Dominican Republic,1999,11
Dominican Republic,2002,10.5
Dominican Republic,2007,13.1
Dominican Republic,2013,13.2
Ecuador,1974,9.7
Ecuador,1982,9
Ecuador,1990,9.4
Ecuador,2001,11
Ecuador,2010,12.4
Egypt,1992,6.4
Egypt,1995,7.3
Egypt,2000,6.9
Egypt,2003,7.2
Egypt,2005,7.1
Egypt,2008,7.8
Egypt,2014,7.1
El Salvador,1992,9.8
El Salvador,2007,13.2
Estonia,2000,12.1
Ethiopia,2000,10.9
Ethiopia,2005,9.9
Ethiopia,2011,10.2
Ethiopia,2016,11.6
Fiji,1976,4.5
Fiji,1986,3.9
Fiji,1996,5
Fiji,2007,5.2
Finland,2010,6.7
French Polynesia,2007,7.5
Gabon,2000,5.3
Gabon,2012,8.6
Gambia,2013,4.8
Germany,2011,7.3
Ghana,1993,19.4
Ghana,1999,16.7
Ghana,2003,13.6
Ghana,2008,14.5
Ghana,2014,13.9
Greece,1971,5.6
Greece,1981,4.6
Greece,1991,5.4
Greece,2001,6.6
Greece,2011,8.1
Guatemala,1995,9.7
Guatemala,1999,9.2
Guatemala,2015,12.6
Guinea,1999,4.7
Guinea,2005,5.2
Guinea,2012,5.4
Guyana,2005,9.7
Guyana,2009,11.6
Haiti,1994,8.7
Haiti,2000,11.3
Haiti,2006,12.1
Haiti,2012,10.9
Honduras,2006,10.5
Honduras,2012,10.7
Hong Kong,2011,11.9
Hungary,1970,5.3
Hungary,2001,9.8
Hungary,2011,10.8
India,1983,5.4
India,1987,5.4
India,1993,5.1
India,1999,5.3
India,2004,5.7
India,2009,5.4
Indonesia,1971,7.7
Indonesia,1976,7
Indonesia,1980,6.3
Indonesia,1985,5.9
Indonesia,1990,5.9
Indonesia,1995,5.5
Indonesia,2000,6.3
Indonesia,2005,6
Indonesia,2010,6.1
Iran,2006,5.3
Iran,2011,7
Iraq,1997,5.4
Ireland,1971,8.7
Ireland,1979,7.8
Ireland,1981,7.7
Ireland,1986,8.2
Ireland,1991,8.5
Ireland,1996,9.6
Ireland,2002,9.2
Ireland,2006,9.7
Ireland,2011,10.1
Israel,1972,4.9
Israel,1983,5.5
Israel,1995,6.8
Italy,2001,8.9
Italy,2011,9.9
Jamaica,1982,9.7
Jamaica,1991,11.7
Jamaica,2001,14
Japan,2000,7.6
Japan,2005,8.4
Japan,2010,8.7
Jordan,1997,5.9
Jordan,2002,7.3
Jordan,2007,6.5
Jordan,2009,7.4
Jordan,2012,8.1
Kazakhstan,1995,9
Kazakhstan,1999,10.1
Kenya,1993,14.6
Kenya,1998,15.4
Kenya,2003,14.7
Kenya,2009,15.4
Kenya,2014,14.2
Kenya,2015,14.9
Kyrgyzstan,1999,9
Kyrgyzstan,2009,9
Latvia,2000,20.3
Latvia,2011,18.5
Lesotho,2004,10.7
Lesotho,2009,9
Lesotho,2014,9.4
Liberia,2007,8.7
Liberia,2009,7.4
Liberia,2011,9.3
Liberia,2013,7.4
Liechtenstein,2010,7.5
Lithuania,2001,4.8
Lithuania,2011,4.5
Luxembourg,2011,8
Macao,2011,8.6
Madagascar,1992,9.1
Madagascar,1997,8.8
Madagascar,2004,10
Madagascar,2009,8.6
Madagascar,2011,9.7
Malawi,1992,10.4
Malawi,2000,9.8
Malawi,2004,9.4
Malawi,2010,10.3
Malawi,2014,11.2
Malawi,2015,12.3
Malaysia,1970,12.1
Malaysia,1980,6.9
Malaysia,1991,6.5
Malaysia,2000,5.3
Maldives,2009,5.6
Mali,1996,3.3
Mali,2001,6.1
Mali,2006,5.4
Mali,2012,5.5
Malta,2011,9.3
Mayotte,2012,21.3
Mexico,1970,8.3
Mexico,1990,8.8
Mexico,1995,8
Mexico,2000,9.1
Mexico,2010,9.9
Mexico,2015,10.2
Moldova,2004,12.4
Mongolia,1989,8.5
