Entity,Year,1st (Incomes across the Distribution Database (2016)),2nd (Incomes across the Distribution Database (2016)),3rd (Incomes across the Distribution Database (2016)),4th (Incomes across the Distribution Database (2016)),5th (Incomes across the Distribution Database (2016)),6th (Incomes across the Distribution Database (2016)),7th (Incomes across the Distribution Database (2016)),8th (Incomes across the Distribution Database (2016)),9th (Incomes across the Distribution Database (2016)),mean (Incomes across the Distribution Database (2016))
Australia,1981,100,100,100,100,100,100,100,100,100,100
Australia,1985,99.18362268,96.28583264,96.83940361,98.351674,99.66774945,100.0887417,98.87776798,98.97396436,100.0259456,100.0746313
Australia,1989,98.65739691,98.07000337,97.67276616,99.29495481,100.593544,102.1568082,102.2873307,102.585414,104.3667678,103.2359662
Australia,1995,92.98323214,87.3649714,86.9220302,89.39107047,92.35002259,94.35918261,94.87914374,95.7366529,96.29778816,95.18840762
Australia,2001,101.6607242,95.60025453,97.06939605,99.65216006,103.8033933,106.0988589,105.9985823,106.2296969,110.5604638,107.301003
Australia,2003,102.8264847,99.4213227,99.79245204,103.4026559,104.930553,107.6702515,108.3597485,109.7123843,111.890035,109.3020984
Australia,2008,133.7603595,133.296261,136.5996665,140.5351995,142.8516803,142.6773403,142.4036227,145.2780081,152.8788952,151.684825
Australia,2010,134.9862982,132.0249421,135.7876982,139.948372,141.928183,144.6382865,146.5909744,148.0874961,155.2445179,151.8427192
Austria,1994,100,100,100,100,100,100,100,100,100,100
Austria,1997,98.11156928,96.80534922,95.49598245,97.25039278,96.95364126,96.5192545,94.78113264,95.86370974,95.06510038,95.02888492
Austria,2000,107.477285,102.948523,101.5949079,103.0784664,103.0610591,101.3794347,98.8087916,99.10614045,97.90654232,99.59176809
Austria,2004,116.4929884,110.8144352,109.6672349,109.1715065,109.5811116,107.3519743,105.0067762,107.9930542,108.0192724,108.7163602
Belgium,1985,100,100,100,100,100,100,100,100,100,100
Belgium,1988,103.2258299,103.7706497,105.078068,105.0072516,104.2755191,104.3284686,103.8681839,104.1045318,104.5772409,104.8628797
Belgium,1992,108.9825059,110.4682208,111.8198303,111.5585546,110.5914968,111.4467166,112.6796957,110.7902092,110.6978076,110.4543041
Belgium,1995,110.1411476,117.5807297,121.8116675,124.366768,126.8547871,126.8581005,129.5272565,129.2610017,130.8540141,128.8660181
Belgium,1997,111.5108495,119.3354236,123.0473187,122.8955727,124.2677036,126.9650626,128.9421248,129.791667,130.3086071,125.688708
Belgium,2000,117.8558893,122.3433707,129.1162085,132.1402704,133.5725718,135.6339622,135.691697,137.9051739,143.1325431,146.4546855
Canada,1981,100,100,100,100,100,100,100,100,100,100
Canada,1987,107.9155011,104.8886251,102.2507302,103.0616227,102.6898834,102.250408,102.0806623,101.6020911,103.3134534,103.5471172
Canada,1991,109.2550079,106.4860358,101.9822947,102.4122536,101.9486861,102.6612058,101.9718273,101.9450144,101.6928939,103.5263808
