Entity,Year,"Military expenditure per capita, current USD (OWID based on COW and SIPRI)"
Afghanistan,1931,0.63
Afghanistan,1932,0.51
Afghanistan,1935,0.95
Afghanistan,1936,0.97
Afghanistan,1938,0.87
Afghanistan,1950,0.52
Afghanistan,1951,0.62
Afghanistan,1952,0.73
Afghanistan,1953,1.02
Afghanistan,1954,0.52
Afghanistan,1955,0.67
Afghanistan,1956,0.49
Afghanistan,1957,0.71
Afghanistan,1958,0.61
Afghanistan,1959,1.05
Afghanistan,1960,1.32
Afghanistan,1961,1.29
Afghanistan,1962,1.17
Afghanistan,1963,1.28
Afghanistan,1964,1.23
Afghanistan,1965,1.15
Afghanistan,1966,1.36
Afghanistan,1967,1.42
Afghanistan,1968,1.55
Afghanistan,1969,1.57
Afghanistan,1970,1.43
Afghanistan,1971,2.13
Afghanistan,1972,2.25
Afghanistan,1973,2.2
Afghanistan,1974,2.3
Afghanistan,1975,2.64
Afghanistan,1976,2.71
Afghanistan,1977,3.29
Afghanistan,1978,3.7
Afghanistan,1979,3.6
Afghanistan,1980,14.82
Afghanistan,1981,20.55
Afghanistan,1982,21.02
Afghanistan,1983,19.57
Afghanistan,1984,14.18
Afghanistan,1985,19.74
Afghanistan,1990,29.14
Afghanistan,1995,10.17
Afghanistan,1996,9.96
Afghanistan,1997,9.44
Afghanistan,1998,11.94
Afghanistan,1999,11.4
Afghanistan,2000,11
Afghanistan,2001,11.1
Afghanistan,2005,4.67
Afghanistan,2006,4.68
Afghanistan,2007,5.81
Afghanistan,2008,6.66
Afghanistan,2009,9.09
Afghanistan,2010,9.75
Afghanistan,2011,62.6
Afghanistan,2012,69.64
Albania,1914,2.3
Albania,1915,2.19
Albania,1916,2.14
Albania,1917,2.06
Albania,1918,2
Albania,1919,1.95
Albania,1920,1.88
Albania,1921,1.78
Albania,1922,1.72
Albania,1923,1.45
Albania,1924,1.3
Albania,1925,1.2
Albania,1926,1.12
Albania,1927,1.3
Albania,1928,2.61
Albania,1929,3.12
Albania,1930,3.03
Albania,1931,3.16
Albania,1932,2.95
Albania,1933,2.53
Albania,1934,2.36
Albania,1935,2.19
Albania,1936,2.45
Albania,1937,2.73
Albania,1938,3.02
Albania,1939,6.53
Albania,1944,8.23
Albania,1945,9.14
Albania,1946,10.5
Albania,1947,10.8
Albania,1948,11.92
Albania,1949,13.32
Albania,1950,15.53
Albania,1951,16.11
Albania,1952,16.11
Albania,1953,17.5
Albania,1954,21.12
Albania,1955,22.87
Albania,1956,24.13
Albania,1957,25.68
Albania,1958,26.56
Albania,1959,27.01
Albania,1960,32.56
Albania,1961,35.68
Albania,1962,36.02
Albania,1963,40.83
Albania,1964,45.44
Albania,1965,44.41
Albania,1966,47.72
Albania,1967,46.7
Albania,1968,47.95
Albania,1969,45.59
Albania,1970,45.9
Albania,1971,52.87
Albania,1972,52.28
Albania,1973,54.42
Albania,1974,53.34
Albania,1975,54.93
Albania,1976,55.27
Albania,1977,54.99
Albania,1978,60.23
Albania,1979,64.09
Albania,1980,64.21
Albania,1981,69.13
Albania,1982,56.39
Albania,1983,46
Albania,1984,44.87
Albania,1985,63.88
Albania,1986,55.97
Albania,1987,63.84
Albania,1988,50.03
Albania,1989,52.3
Albania,1990,52.58
Albania,1991,31.7
Albania,1992,10.32
Albania,1993,30.13
Albania,1994,27.49
Albania,1995,24.66
Albania,1996,28.22
Albania,1997,25.19
Albania,1998,32.7
Albania,1999,44.97
Albania,2000,36.3
Albania,2001,34.48
Albania,2002,18.08
Albania,2003,23.46
Albania,2004,32.65
Albania,2005,36.3
Albania,2006,44.34
Albania,2007,62.54
Albania,2008,80.46
Albania,2009,78.71
Albania,2010,40
Albania,2011,61.83
Albania,2012,58.51
Algeria,1962,5.95
Algeria,1963,7.09
Algeria,1964,8.5
Algeria,1965,8.32
Algeria,1966,7.84
Algeria,1967,7.59
Algeria,1968,7.35
Algeria,1969,7.13
Algeria,1970,7.22
Algeria,1971,7.02
Algeria,1972,7.63
Algeria,1973,9.14
Algeria,1974,16.75
Algeria,1975,19.31
Algeria,1976,23.35
Algeria,1977,27.24
Algeria,1978,34.13
Algeria,1979,40.18
Algeria,1980,47.68
Algeria,1981,42.17
