Entity,Year,Biological,Chemical,Explosives,Fake Weapons,Firearms,Incendiary,Melee,Other,Radiological,Sabotage Equipment,Unknown,Vehicle
Afghanistan,1973,0,0,0,0,0,0,0,0,0,0,1,0
Afghanistan,1979,0,0,1,0,1,0,0,0,0,0,1,0
Afghanistan,1987,0,1,0,0,0,0,0,0,0,0,0,0
Afghanistan,1988,0,0,11,0,0,0,0,0,0,0,0,0
Afghanistan,1989,0,1,9,0,0,0,0,0,0,0,0,0
Afghanistan,1990,0,0,2,0,0,0,0,0,0,0,0,0
Afghanistan,1991,0,0,24,0,6,0,0,0,0,0,0,0
Afghanistan,1992,0,0,14,0,18,3,0,0,0,0,1,0
Afghanistan,1994,0,0,4,0,2,0,0,0,0,0,3,0
Afghanistan,1995,0,0,4,0,0,0,1,0,0,0,1,0
Afghanistan,1996,0,0,2,0,1,0,0,0,0,0,1,0
Afghanistan,1997,0,0,1,0,0,0,0,0,0,0,0,0
Afghanistan,1998,0,0,1,0,0,0,0,0,0,0,0,0
Afghanistan,1999,0,0,7,0,2,0,0,0,0,0,0,0
Afghanistan,2000,0,0,13,0,1,0,0,0,0,0,0,0
Afghanistan,2001,0,0,10,0,2,2,0,0,0,0,0,0
Afghanistan,2002,0,0,32,0,6,0,0,0,0,0,0,0
Afghanistan,2003,0,0,70,0,23,5,0,0,0,0,2,0
Afghanistan,2004,0,1,41,0,34,2,0,0,0,0,10,0
Afghanistan,2005,0,0,65,0,62,6,4,0,0,0,18,0
Afghanistan,2006,0,0,152,0,90,17,6,0,0,0,17,0
Afghanistan,2007,0,0,186,0,120,8,13,0,1,0,13,0
Afghanistan,2008,0,1,204,0,124,23,9,0,0,1,52,0
Afghanistan,2009,0,4,300,0,126,27,7,2,0,0,37,0
Afghanistan,2010,0,5,301,0,125,15,12,0,0,0,84,0
Afghanistan,2011,0,1,267,0,96,5,10,0,0,0,42,0
Afghanistan,2012,0,13,937,0,404,19,5,0,0,0,89,2
Afghanistan,2013,0,7,876,0,438,22,8,0,0,0,92,0
Afghanistan,2014,0,1,1083,0,476,26,14,0,0,0,224,0
Afghanistan,2015,0,14,847,0,733,60,17,2,0,0,254,1
Afghanistan,2016,0,6,715,0,479,29,18,0,0,4,366,0
Afghanistan,2017,0,3,598,0,431,35,11,1,0,0,335,0
Albania,1981,0,0,1,0,0,0,0,0,0,0,0,0
Albania,1990,0,0,1,0,0,0,0,0,0,0,0,0
Albania,1991,0,0,1,0,0,0,0,0,0,0,0,0
Albania,1992,0,0,1,0,1,0,1,0,0,0,0,0
Albania,1994,0,0,1,0,1,0,0,0,0,0,0,0
Albania,1996,0,0,4,0,1,0,0,0,0,0,1,0
Albania,1997,0,0,20,0,18,2,0,0,0,0,1,0
Albania,1998,0,0,7,0,0,0,0,0,0,0,0,0
Albania,1999,0,0,2,0,1,0,0,0,0,0,0,0
Albania,2000,0,0,2,0,0,0,0,0,0,0,0,0
Albania,2001,0,0,1,0,0,0,0,0,0,0,0,0
Albania,2003,0,1,0,0,0,0,0,0,0,0,0,0
Albania,2009,0,0,1,0,0,0,0,0,0,0,0,0
Albania,2013,0,0,1,0,0,0,0,0,0,0,0,0
Albania,2014,0,0,2,0,0,0,0,0,0,0,0,0
Albania,2015,0,0,4,0,0,0,0,0,0,0,0,0
Albania,2016,0,0,1,0,0,0,0,0,0,0,1,0
Albania,2017,0,0,1,0,0,0,0,0,0,0,0,0
Algeria,1972,0,0,0,0,1,0,0,0,0,0,0,0
Algeria,1976,0,0,1,0,0,0,0,0,0,0,0,0
Algeria,1978,0,0,0,0,0,0,1,0,0,0,0,0
Algeria,1979,0,0,1,0,0,0,0,0,0,0,0,0
Algeria,1990,0,0,0,0,2,0,0,0,0,0,0,0
Algeria,1991,0,0,8,0,16,2,1,0,0,0,3,0
Algeria,1992,0,0,30,0,149,18,7,0,0,1,10,0
Algeria,1994,0,0,10,0,133,17,11,0,0,0,56,0
Algeria,1995,0,0,49,0,90,4,13,1,0,0,28,0
Algeria,1996,0,0,72,0,34,0,15,0,0,0,8,0
Algeria,1997,0,0,97,0,51,4,131,0,0,0,61,0
Algeria,1998,0,0,101,0,17,0,24,0,0,0,9,0
Algeria,1999,0,0,44,0,46,1,13,0,0,0,2,0
Algeria,2000,0,0,41,0,60,4,22,0,0,0,11,0
Algeria,2001,0,0,18,0,66,1,20,0,0,0,8,0
Algeria,2002,0,0,51,0,61,0,14,0,0,0,6,0
Algeria,2003,0,0,21,0,38,0,4,0,0,0,12,0
Algeria,2004,0,0,30,0,30,1,1,0,0,0,5,0
Algeria,2005,0,0,48,0,37,0,8,0,0,0,11,0
Algeria,2006,0,0,76,0,57,0,7,0,0,0,12,0
Algeria,2007,0,0,93,0,25,0,3,0,0,0,3,0
Algeria,2008,0,0,74,1,21,1,2,0,0,0,8,0
Algeria,2009,0,0,79,0,21,1,5,0,0,0,2,0
Algeria,2010,0,0,73,0,17,0,2,0,0,0,8,0
Algeria,2011,0,0,7,0,5,0,2,0,0,0,1,0
Algeria,2012,0,0,31,0,8,0,0,0,0,0,2,0
Algeria,2013,0,0,17,0,5,0,0,0,0,0,0,0
Algeria,2014,0,0,4,0,8,0,0,0,0,0,1,0
Algeria,2015,0,0,7,0,6,0,0,0,0,0,3,0
Algeria,2016,0,0,7,0,2,0,0,0,0,0,0,0
Algeria,2017,0,0,12,0,2,0,0,0,0,0,0,0
Andorra,1974,0,0,0,0,1,0,0,0,0,0,0,0
Angola,1977,0,0,0,0,1,0,0,0,0,0,0,0
Angola,1978,0,0,2,0,0,0,0,0,0,0,0,0
Angola,1979,0,0,1,0,2,0,0,0,0,0,0,0
Angola,1981,0,0,1,0,0,0,0,0,0,0,0,0
Angola,1982,0,0,0,0,0,0,0,0,0,0,2,0
Angola,1983,0,0,3,0,3,0,0,0,0,0,1,0
Angola,1984,0,0,7,0,0,0,0,0,0,0,4,0
Angola,1985,0,0,0,0,0,0,0,0,0,0,6,0
Angola,1986,0,0,1,0,0,0,0,0,0,0,4,0
Angola,1987,0,0,1,0,2,0,0,0,0,0,0,0
Angola,1988,0,0,8,0,4,0,0,0,0,0,0,0
Angola,1989,0,0,8,0,4,0,0,0,0,0,0,0
Angola,1990,0,0,186,0,18,0,0,0,0,0,1,0
Angola,1991,0,0,10,0,6,0,0,0,0,0,0,0
Angola,1992,0,0,4,0,27,1,0,2,0,0,16,0
Angola,1994,0,0,3,0,2,0,0,0,0,0,4,0
Angola,1995,0,0,1,0,7,0,0,0,0,0,2,0
Angola,1996,0,0,2,0,2,0,0,0,0,0,0,0
Angola,1997,0,0,1,0,1,0,1,0,0,0,4,0
Angola,1998,0,0,1,0,11,1,0,0,0,0,7,0
Angola,1999,0,0,9,0,15,5,1,0,0,0,4,0
Angola,2000,0,0,1,0,10,2,2,0,0,0,7,0
Angola,2001,0,0,5,0,25,3,0,0,0,0,7,0
Angola,2002,0,0,0,0,4,0,0,0,0,0,2,0
Angola,2009,0,0,0,0,1,0,0,0,0,0,0,0
Angola,2010,0,0,0,0,1,0,0,0,0,0,1,0
Angola,2016,0,0,0,0,0,0,0,0,0,0,2,0
Angola,2017,0,1,0,0,1,0,0,0,0,0,4,0
Antigua and Barbuda,1992,0,0,0,0,0,1,0,0,0,0,0,0
Argentina,1970,0,0,4,0,11,1,0,0,0,0,5,0
Argentina,1971,0,0,2,0,3,0,0,0,0,0,2,0
Argentina,1972,0,0,13,0,5,0,0,0,0,0,2,0
Argentina,1973,0,0,13,0,19,4,0,0,0,0,24,0
Argentina,1974,0,0,39,0,12,1,0,0,0,0,19,0
Argentina,1975,0,0,22,0,12,1,0,0,0,0,3,0
Argentina,1976,0,0,20,0,24,2,0,0,0,0,8,0
Argentina,1977,0,0,6,0,5,3,0,0,0,0,3,0
Argentina,1978,0,0,13,0,8,0,0,0,0,0,4,0
Argentina,1979,0,0,9,0,5,0,0,0,0,0,2,0
Argentina,1980,0,0,5,0,0,0,0,0,0,0,1,0
Argentina,1981,0,0,0,0,0,1,0,0,0,0,1,0
Argentina,1982,0,0,6,0,1,1,0,0,0,0,1,0
Argentina,1983,0,0,11,0,2,1,0,0,0,0,4,0
Argentina,1984,0,0,33,0,5,5,0,0,0,0,3,0
Argentina,1985,0,0,36,0,4,0,0,0,0,0,3,0
Argentina,1986,0,0,26,0,2,4,1,0,0,0,0,0
Argentina,1987,0,0,64,0,3,5,0,0,0,0,8,0
Argentina,1988,0,0,27,0,3,2,0,0,0,0,1,0
Argentina,1989,0,0,23,0,8,1,0,0,0,0,0,0
Argentina,1990,0,0,30,0,1,0,0,0,0,0,0,0
Argentina,1991,0,0,15,0,9,0,1,0,0,0,2,0
Argentina,1992,0,0,32,0,3,1,3,0,0,1,1,0
Argentina,1994,0,1,7,0,0,0,1,0,0,0,5,0
Argentina,1995,0,0,5,1,1,4,2,0,0,0,3,0
Argentina,1996,0,0,13,0,3,0,2,0,0,0,1,0
Argentina,1997,0,1,1,0,4,0,2,0,0,0,3,0
Argentina,1999,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,2001,0,0,2,0,0,0,0,0,0,0,0,0
Argentina,2003,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,2005,0,0,3,0,0,0,0,0,0,0,0,0
Argentina,2009,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,2010,0,0,5,0,0,0,0,0,0,0,0,0
Argentina,2011,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,2012,0,0,2,0,0,0,0,0,0,0,0,0
Argentina,2013,0,0,0,0,0,2,0,0,0,0,0,0
Argentina,2014,0,0,0,0,1,0,0,0,0,0,0,0
Argentina,2015,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,2016,0,0,0,0,1,0,0,0,0,0,1,0
Argentina,2017,0,0,0,0,0,3,0,0,0,0,0,0
Armenia,1991,0,0,0,0,1,0,0,0,0,0,0,0
Armenia,1992,0,0,0,0,1,0,1,0,0,0,0,0
Armenia,1994,0,0,3,0,1,0,0,0,0,0,0,0
Armenia,1995,0,0,1,0,0,0,0,0,0,0,0,0
Armenia,1996,0,0,0,0,1,0,0,0,0,0,0,0
Armenia,1998,0,0,2,0,0,0,0,0,0,0,0,0
Armenia,1999,0,0,1,0,1,0,0,0,0,0,0,0
Armenia,2000,0,0,1,0,0,1,0,0,0,0,0,0
Armenia,2001,0,0,1,0,1,0,0,0,0,0,0,0
Armenia,2007,0,0,1,0,0,0,0,0,0,0,0,0
Armenia,2009,0,0,0,0,0,0,0,0,0,0,1,0
Armenia,2013,0,0,0,0,1,0,0,0,0,0,0,0
Armenia,2015,0,0,0,0,2,0,0,0,0,0,0,0
Armenia,2016,0,0,1,0,1,0,0,0,0,0,0,0
Australasia & Oceania,1970,0,0,1,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1971,0,0,1,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1972,0,0,8,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1973,0,0,0,0,0,1,0,0,0,0,0,0
Australasia & Oceania,1974,0,0,0,0,0,1,0,0,0,0,0,0
Australasia & Oceania,1975,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1976,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1977,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1978,0,0,2,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1979,0,0,2,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1980,0,0,4,0,2,0,0,0,0,0,1,0
Australasia & Oceania,1981,0,0,1,0,0,1,1,0,0,0,0,0
Australasia & Oceania,1982,0,0,2,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1983,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1984,0,0,4,0,1,4,0,0,0,0,2,0
Australasia & Oceania,1985,0,0,7,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1986,0,0,3,0,0,1,0,0,0,0,0,0
Australasia & Oceania,1987,0,0,2,0,0,1,0,0,0,0,0,0
Australasia & Oceania,1988,0,0,4,0,6,1,0,0,0,0,1,0
Australasia & Oceania,1989,0,0,6,0,18,4,0,0,0,0,1,0
Australasia & Oceania,1990,0,0,0,0,15,3,0,0,0,0,0,0
Australasia & Oceania,1991,0,0,3,0,2,5,0,0,0,0,0,0
Australasia & Oceania,1992,0,0,0,0,5,4,2,0,0,0,6,0
Australasia & Oceania,1994,0,0,4,0,5,2,1,0,0,0,2,0
Australasia & Oceania,1995,0,0,0,0,4,8,1,0,0,0,5,0
Australasia & Oceania,1996,0,0,9,0,3,0,0,0,0,0,7,0
Australasia & Oceania,1997,0,2,2,0,0,0,1,0,0,0,2,0
Australasia & Oceania,1998,0,0,4,0,1,1,0,0,0,0,0,0
Australasia & Oceania,1999,0,0,3,0,1,0,0,0,0,0,0,0
Australasia & Oceania,2000,0,0,1,0,2,0,0,0,0,0,3,0
Australasia & Oceania,2001,0,2,0,0,0,2,0,0,0,0,0,0
Australasia & Oceania,2002,0,0,1,0,1,0,0,0,0,0,0,0
Australasia & Oceania,2003,0,3,0,0,1,0,0,0,0,0,0,0
